Original Name	Matched Name	Similarity Score
alanine	L-Alanine	95
asparagine	L-Asparagine	95
aspartate	L-Asparagine	67
N-acetylalanine	N-Acetyl-L-alanine	91
2-aminobutyrate	2'-Deoxyadenosine-5'-monophosphate	86
creatine	Urea	68
creatinine	Urea	68
2-hydroxybutyrate (AHB)	2'-Deoxyadenosine-5'-monophosphate	86
cysteine	D-Cysteine	95
glutamate	N2-phenylacetyl-L-glutamine	70
glutamine	L-Glutamine	95
betaine	Betaine	100
glycine	Glycine	100
N-acetylglycine	Glycine	90
N-acetylthreonine	L-Threonine	82
serine	L-Serine	95
4-acetamidobutanoate	1,4-Diaminobutane dihydrochloride	86
3-methylhistidine	3-Methyl-2-oxovaleric acid calcium salt	86
histidine	L-Histidine	95
glutaroyl carnitine	Xanthine	68
lysine	L-Lysine	95
3-(4-hydroxyphenyl)lactate	3-Methyl-2-oxovaleric acid calcium salt	86
p-cresol sulfate	p-cresol sulfate	100
phenol sulfate	Phenol	90
phenylacetylglutamine	N2-phenylacetyl-L-glutamine	88
phenylalanine	L-Phenylalanine	95
phenyllactate (PLA)	Phenol	75
tyrosine	L-Tyrosine	95
C-glycosyltryptophan*	L-Tryptophan	83
indoleacetate	Indole	90
kynurenine	Urea	68
tryptophan	L-Tryptophan	95
citrulline	L-Citrulline	95
dimethylarginine (SDMA + ADMA)	L-Arginine	81
N-acetylornithine	N-Acetyl-L-alanine	69
ornithine	Ornithine HCl	95
trans-4-hydroxyproline	L-Hydroxyproline	88
urea	Urea	100
2-hydroxyisobutyrate	2'-Deoxyadenosine-5'-monophosphate	86
2-methylbutyroylcarnitine	3-Methyl-2-oxovaleric acid calcium salt	86
3-methyl-2-oxovalerate	2'-Deoxyadenosine-5'-monophosphate	86
4-methyl-2-oxopentanoate	3-Methyl-2-oxovaleric acid calcium salt	86
alpha-hydroxyisovalerate	L-Hydroxyproline	62
isobutyrylcarnitine	Xanthine	68
isoleucine	L-Isoleucine	95
isovalerylcarnitine	Xanthine	68
leucine	D-Leucine	95
levulinate (4-oxovalerate)	4-Nitrophenol	86
valine	L-Valine	95
erythronate*	Phosphorylcholine chloride calcium salt tetrahydrate	58
erythrose	Cytosine	59
fructose	D-Fructose-6-phosphate disodium	90
mannose	D-Mannose	95
1,5-anhydroglucitol (1,5-AG)	5-Methylcytidine	86
glucose	D-Glucose-6-phosphate sodium salt	90
glycerate	Glycerol	71
lactate	Methyl 3-indolyacetate	77
pyruvate	Sodium pyruvate	90
arabinose	Indole	66
threitol	Retinol	67
threonate	Sodium D-Pantothenate	79
biliverdin	L-Serine	56
pantothenate	Sodium D-Pantothenate	90
alpha-tocopherol	Phenol	75
gamma-tocopherol	Phenol	75
pyridoxate	Pyridoxal 5′-phosphate	72
alpha-ketoglutarate	L-Glutamine	53
citrate	Methyl 3-indolyacetate	69
malate	Maltose	77
succinylcarnitine	Xanthine	68
acetylphosphate	Adenosine cyclophosphate	72
phosphate	Riboflavin 5'-Monophosphate Sodium Salt	90
glycochenodeoxycholate	Glycochenodeoxycholic acid sodium salt	77
2-tetradecenoyl carnitine	3-Methyl-2-oxovaleric acid calcium salt	86
3-dehydrocarnitine*	3-Methyl-2-oxovaleric acid calcium salt	86
acetylcarnitine	Xanthine	68
carnitine	L-Carnitine inner salt	90
cis-4-decenoyl carnitine	4-Hydroxy-3-methoxyphenylacetic acid	86
decanoylcarnitine	Xanthine	68
hexanoylcarnitine	Xanthine	68
octanoylcarnitine	Xanthine	68
oleoylcarnitine	Xanthine	68
palmitoylcarnitine	Xanthine	68
stearoylcarnitine	Xanthine	68
docosahexaenoate (DHA; 22:6n3)	Hexanoic acid	56
docosapentaenoate (n3 DPA; 22:5n3)	Enterolactone	56
eicosapentaenoate (EPA; 20:5n3)	Enterolactone	56
linoleate (18:2n6)	Indole	75
linolenate [alpha or gamma; (18:3n3 or 6)]	5,6-Dimethylbenzimidazole	86
butyrylcarnitine	Xanthine	68
propionylcarnitine	Xanthine	68
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	5-Methylcytidine	86
dodecanedioate	Ethyl 3-indoleacetate	58
hexadecanedioate	Adenosine	50
octadecanedioate	Nonadecanoic acid	55
tetradecanedioate	Betaine	51
2-hydroxypalmitate	2'-Deoxyadenosine-5'-monophosphate	86
2-hydroxystearate	2'-Deoxyadenosine-5'-monophosphate	86
glycerol	Glycerol	100
glycerol 3-phosphate (G3P)	Glycerol	90
glycerophosphorylcholine (GPC)	Glycerol	79
myo-inositol	Myoinositol	96
scyllo-inositol	Myoinositol	77
3-hydroxybutyrate (BHBA)	3-Methyl-2-oxovaleric acid calcium salt	86
10-heptadecenoate (17:1n7)	2-Heptanone	58
10-nonadecenoate (19:1n9)	2-Nonanone	54
adrenate (22:4n6)	Urea	68
dihomo-linoleate (20:2n6)	Indole	75
eicosenoate (20:1n9 or 11)	D-Ribose	53
margarate (17:0)	α-D-Galactose-1-phosphate dipotassium salt hydrate	48
myristate (14:0)	Myristic acid	50
myristoleate (14:1n5)	Ribitol	64
nonadecanoate (19:0)	Nonadecanoic acid	61
oleate (18:1n9)	Indole	57
palmitate (16:0)	Maltose	51
palmitoleate (16:1n7)	Indole	60
pentadecanoate (15:0)	Enterolactone	56
stearate (18:0)	Phosphorylcholine chloride calcium salt tetrahydrate	53
stearidonate (18:4n3)	Spermidine	54
1-arachidonoylglycerophosphoinositol*	1-Methyl-hydantoin	86
1-docosahexaenoylglycerophosphocholine*	1-Methyl-hydantoin	86
1-heptadecanoylglycerophosphocholine	1-Methyl-hydantoin	86
1-linoleoylglycerophosphocholine	1-Methyl-hydantoin	86
1-palmitoylglycerophosphoethanolamine	1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine	87
1-palmitoylplasmenylethanolamine*	1-Methyl-hydantoin	86
1-stearoylglycerophosphoethanolamine	1-Methyl-hydantoin	86
2-linoleoylglycerophosphocholine*	2-Furoic acid	86
2-stearoylglycerophosphocholine*	2-Furoic acid	86
10-undecenoate (11:1n1)	Quercetin	50
5-dodecenoate (12:1n7)	Riboflavin 5'-Monophosphate Sodium Salt	86
caprate (10:0)	NADP hydrate	48
caprylate (8:0)	D-(+)-Galactose	48
laurate (12:0)	Urea	68
pelargonate (9:0)	L-Arginine	54
undecanoate (11:0)	D-Mannose	50
1-palmitoylglycerol (1-monopalmitin)	Glycerol	90
1-stearoylglycerol (1-monostearin)	Glycerol	90
palmitoyl sphingomyelin	Phenol	60
4-androsten-3beta,17beta-diol monosulfate	4-Nitrophenol	86
4-androsten-3beta,17beta-diol disulfate 1*	1-Methyl-hydantoin	86
4-androsten-3beta,17beta-diol disulfate 2*	2-Furoic acid	86
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	3-Hydroxybenzyl alcohol	86
androsterone sulfate	Indoxyl sulfate potassium salt	86
cholesterol	Cholestenone	78
epiandrosterone sulfate	Agmatine sulfate	62
hypoxanthine	Hypoxanthine	100
xanthine	Xanthine	100
N1-methyladenosine	Adenosine	90
allantoin	Allantoin	100
urate	DL-Isocitric acid trisodium salt hydrate	72
pseudouridine	Uridine	90
uridine	Uridine	100
gamma-glutamylleucine	D-Leucine	70
gamma-glutamylphenylalanine	L-Phenylalanine	84
gamma-glutamyltyrosine	L-Tyrosine	81
gamma-glutamylvaline	L-Valine	79
benzoate	4-Hydroxybenzaldehyde	68
catechol sulfate	Catechol	90
hippurate	Urea	68
piperine	Purine	71
erythritol	Tryptophol	60
1,7-dimethylurate	1,4-Diaminobutane dihydrochloride	86
caffeine	Adenosine	59
paraxanthine	Xanthine	90
theophylline	Thymine	64
