Metabolite	Diff between groups	Lwr	Upr	P adj
Valine	0.0174273974952822	-0.0282944488934457	0.0631492438840101	0.45454665687247
Glycerol	0.0244324636797724	0.0149404506634944	0.0339244766960504	5.41896754135962e-07
Phosphate	0.0119869691885756	-0.0106020425528714	0.0345759809300225	0.297867700275296
Glutamine	0.736522111825442	0.139010020290397	1.33403420336049	0.0157626989351217
Lactic acid	-0.00897959537885784	-0.0646014220475562	0.0466422312898405	0.751402491906665
2-aminobutanoic acid	-0.0384246977770601	-0.114292886630702	0.0374434910765817	0.320400095070237
Ethanolamine	0.0058797481221512	-0.0203035990248858	0.0320630952691882	0.659440951540959
Lysine	0.0263856981981982	0.00174078425000059	0.0510306121463959	0.0359034575353003
Alanine	0.0709870593226877	0.0471755524377247	0.0947985662076506	7.532779955354839e-10
2-hydroxybutanoic acid	0.0332728181409785	-0.0280519062045604	0.0945975424865174	0.287157170089781
3-hydroxybutanoic acid	-0.0410723274620582	-0.11408865717584	0.0319440022517231	0.269783086236667
Leucine	-0.0257425287356322	-0.0575773876625082	0.00609233019124378	0.112839851094184
Octanoic acid	-0.0466166114619326	-0.109144770299374	0.0159115473755087	0.143711432180556
Serine	-0.036885290607471	-0.0651806912224501	-0.00858988999249195	0.0106890821796376
Glyceric acid	0.029988290960452	1.89724304347216e-05	0.0599576094904693	0.0498555009047761
Proline	0.0605209377831472	0.0151777458997747	0.10586412966652	0.00896213477687968
Threonine	-0.0402274789978998	-0.0804743290074974	1.93710116978274e-05	0.0501100969457353
Erythritol and/or threitol	0.240265571959529	0.20419045090224	0.276340693016818	0.0
N-bromosuccimide	0.054005310198749	0.0221620677794063	0.0858485526180917	0.000912684615741233
Erythronic acid and/or threonic acid	0.1459387406028	0.0956558775304318	0.196221603675168	1.54853794231968e-08
2-aminomalonic acid	0.059491130918858	0.0028678986609374	0.116114363176779	0.039499015153537
Aspartic acid	-0.000195352722094422	-0.0239400663130999	0.023549360868911	0.987118921361351
Cysteine	0.287682805025593	0.14628202355525	0.429083586495935	7.11404501492208e-05
Methionine	-0.0187728668116993	-0.0816635790781115	0.0441178454547129	0.558058512064404
Creatinine	0.0681958773784355	0.0263161465001298	0.110075608256741	0.00144732206534615
Salicylic acid	0.0056135896330953	0.00203475983175405	0.00919241943443655	0.00215906174043901
Glutamic acid and/or pyroglutamic acid	0.0337558284766644	0.00780989122817366	0.0597017657251551	0.0108422990321557
Dodecanoic acid	0.10445678003009	0.0653584091794781	0.143555150880701	1.97792552447673e-07
Phenylalanine	0.0185742986707792	4.05762995215816e-05	0.0371080210420368	0.0495017479426083
Asparagine	-0.0421635466147769	-0.144833199384399	0.0605061061548448	0.420397193956724
Ornithine	0.0977143541597432	0.0474235403097804	0.148005168009706	0.000147421269348746
Glycerol-3-phosphate	0.0106613424320601	-0.0263898469055861	0.0477125317697063	0.572341207191493
Citric acid	0.0455248768472907	0.0355155057084829	0.0555342479860985	0.0
Citrilline	0.0720463264263826	-0.0139871838165627	0.158079836669328	0.100608209049154
Tetradecanoic acid	0.0637696098641013	0.0390575166743967	0.0884817030538059	5.04066019701987e-07
4-deoxypyridoxine	0.059344635411569	-0.0185642860360687	0.137253556859207	0.135247579442125
Sycllo-inositol and/or myo-inositol	0.32160403905197	0.270359279147442	0.372848798956497	0.0
4-hydroxyphenyllactic acid	0.154928007764381	0.106768675099445	0.203087340429317	0.0
Methionine sulfoxide	0.00541000000000001	0.00121222529165517	0.00960777470834484	0.0116250290589864
Pentadecanoic acid	0.0586572415679559	0.0310314303226336	0.0862830528132782	3.45033929625149e-05
Tyrosine	0.100603586172957	0.0690023669800158	0.132204805365897	0.0
Hypoxanthine	-0.114668361456483	-0.508685492804884	0.279348769891919	0.567935578633072
Histidine	-0.00585265894236486	-0.0359928200892232	0.0242875022044934	0.703175173712763
Hexadecanoic acid	0.0163240849084908	-0.00568264346625995	0.0383308132832415	0.145762462914809
Hexadecenoic acid	0.0225252748538012	-0.0182446395331904	0.0632951892407928	0.278445573128437
Indole-3-acetic acid	0.0777552152202138	0.0381452936361413	0.117365136804286	0.000126267686585857
Uric acid	0.0308209714106438	-0.0130775770425483	0.0747195198638358	0.168523821919657
Octadecanoic acid	-0.000440695650555267	-0.0202300516590341	0.0193486603579235	0.965142840922216
Octadecenoic acid	0.0461154994670968	-0.00244677795697732	0.0946777768911709	0.0626821028264227
Octadecadienoic acid	0.0310362214339711	0.010306804032938	0.0517656388350042	0.00339064312438708
Indole-3-propionic acid	0.0107001320524582	-0.113126255776441	0.134526519881357	0.865340328358004
Cystine	0.955345063621534	0.76731673705225	1.14337339019082	0.0
Tryptophan	-0.0449769271826154	-0.0707954585948969	-0.0191583957703338	0.000659657639952904
Caffeine	0.350036820261438	0.117998005003841	0.582075635519034	0.00317478593854648
Eicosatetraenoic acid	-0.00514181012877413	-0.0192815595913134	0.00899793933376516	0.475548576840993
Monoglyceride (hexadecanoic acid)	0.0114645628873108	-0.00473940128011099	0.0276685270547326	0.165217085148326
Docosahexaenoic acid	0.144348531031582	0.0979519146711332	0.190745147392031	0.0
Acetic acid	0.0113653343402006	-0.0167583784072079	0.0394890470876091	0.427814582428789
Decanoic acid	0.0664084793917566	0.0167869762283677	0.116029982555146	0.00878300958101541
Sucrose	0.132447506856646	0.0705528104859494	0.194342203227342	3.0203114556481802e-05
Eicosanoic acid	-0.0122127626071357	-0.0384346079901535	0.0140090827758822	0.360839774233217
