Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	1.0	20931892	-0.720	0.675
miRNA	0.0	34262	-0.004	0.003
ncRNA	0.0	4421991	-0.431	0.348
TTS	3.0	28468393	0.421	-0.946
pseudo	0.0	578215	-0.064	0.046
Exon	2.0	35013924	-0.462	0.736
Intron	110.0	962088562	0.539	-13.941
Intergenic	85.0	1545159908	-0.516	15.298
Promoter	6.0	31483328	1.276	-3.230
5UTR	0.0	2374057	-0.247	0.187
snoRNA	0.0	19	-0.000	0.000
rRNA	0.0	5631	-0.001	0.000
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	1.0	20931892	-0.719	0.675
Other	0.0	7145139	-0.645	0.563
RC?	0.0	10979	-0.001	0.001
RNA	0.0	113962	-0.013	0.009
miRNA	0.0	34262	-0.004	0.003
ncRNA	0.0	4421991	-0.431	0.348
TTS	3.0	28468393	0.422	-0.946
LINE	12.0	520779584	-1.771	18.482
LINE?	0.0	8168	-0.001	0.001
srpRNA	0.0	42953	-0.005	0.003
SINE	4.0	193418762	-1.927	7.553
RC	0.0	65629	-0.007	0.005
tRNA	0.0	265758	-0.030	0.021
DNA?	0.0	142070	-0.016	0.011
pseudo	0.0	578215	-0.064	0.045
DNA	1.0	28318869	-1.155	1.060
Exon	2.0	35013924	-0.462	0.735
Intron	96.0	609603944	1.002	-29.192
Intergenic	74.0	773369385	0.283	-3.569
Promoter	6.0	31483328	1.277	-3.232
5UTR	0.0	2374057	-0.247	0.187
snoRNA	0.0	19	-0.000	0.000
LTR?	0.0	192386	-0.022	0.015
scRNA	0.0	576021	-0.064	0.045
CpG-Island	1.0	2981731	2.092	-1.565
Low_complexity	0.0	18457473	-1.300	1.457
LTR	7.0	292469782	-1.716	9.932
Simple_repeat	0.0	55203169	-2.442	4.388
snRNA	0.0	236385	-0.027	0.019
Unknown	0.0	1202308	-0.130	0.095
SINE?	0.0	29758	-0.003	0.002
Satellite	0.0	3651494	-0.365	0.287
rRNA	0.0	165619	-0.019	0.013
