GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000005022	7397.83535534593	-0.116527727065721	0.0401974399360039	0.0005344456619752	0.0317616603198012	SLC25A5	292
ENSG00000072506	1858.52624877566	-0.138594094721808	0.0624066293207822	0.00250555781021677	0.0854946675768465	HSD17B10	3028
ENSG00000087191	3341.47352806722	-0.113918979689534	0.0447920416647732	0.00148288197093069	0.0606027093162877	PSMC5	5705
ENSG00000100764	2507.37398898263	-0.24166558230992	0.107132025782858	0.00100308424162747	0.0486632331235802	PSMC1	5700
ENSG00000109390	848.159955674008	-0.298913554065675	0.0767318207120179	4.92312905189944e-06	0.000792194497421232	NDUFC1	4717
ENSG00000110801	1196.06000228822	-0.263658161138449	0.112611599250464	0.000719261522303633	0.0382270194050511	PSMD9	5715
ENSG00000113712	6054.18326480685	0.148050382992316	0.0409076155972449	3.33206978243623e-05	0.00386384644771446	CSNK1A1	1452
ENSG00000117461	1073.61487153978	-0.199700443308088	0.103674871786334	0.00242554170908435	0.0831622629727647	PIK3R3	8503
ENSG00000119013	660.283076505155	-0.282823051884171	0.0926208494842866	0.000102415192027865	0.00896164345946895	NDUFB3	4709
ENSG00000120129	4917.57324686919	0.232938521934802	0.0696088313263368	5.66946049635205e-05	0.00557679414203237	DUSP1	1843
ENSG00000124172	2072.91041474746	-0.748026548544352	0.158247847760739	7.0124145809728e-08	2.0003613833683e-05	ATP5F1E	514
ENSG00000125356	689.31238861892	-0.48366036796792	0.0920392359492588	6.50918399844021e-09	2.38052541973725e-06	NDUFA1	4694
ENSG00000126067	3008.89603995946	-0.174613059365136	0.050325021441028	4.21542049487971e-05	0.00463825436842639	PSMB2	5690
ENSG00000127184	3345.32281681208	-0.381019120995072	0.0612130200553908	2.26834055292727e-11	1.40666701332181e-08	COX7C	1350
ENSG00000127922	1082.60637285165	-0.197470850097146	0.110233983950592	0.00309247525440392	0.0983297406738536	SEM1	7979
ENSG00000134001	4039.56589742671	-0.248598869480165	0.0749953046857997	4.44248037572628e-05	0.0048002346665897	EIF2S1	1965
ENSG00000135940	882.902295104368	-0.188252284219839	0.0745577691616167	0.000733442393256624	0.0386018038930599	COX5B	1329
ENSG00000136810	3474.05289007537	-0.130568450340325	0.0520639206014492	0.00137609373128676	0.0573895464600674	TXN	7295
ENSG00000137841	50.0188621696862	-1.03875281390937	0.456934224857528	0.000443775631343358	0.0275198775210883	PLCB2	5330
ENSG00000142168	2668.88623177702	-0.110681908862545	0.0409339631638631	0.00106609808933398	0.0498549411415426	SOD1	6647
ENSG00000143106	2236.84939858808	-0.225854274021212	0.0984041588877674	0.000951603222352562	0.0469644178561059	PSMA5	5686
ENSG00000143947	11557.5919066983	-0.335486222072437	0.0536593604421266	2.04661686053443e-11	1.32685892190011e-08	RPS27A	6233
ENSG00000145494	882.194702395272	-0.374727560925535	0.101093789008497	9.02591854822174e-06	0.00131734627516881	NDUFS6	4726
ENSG00000147684	1532.12625534676	-0.16043832234469	0.0739483188250509	0.00206059494338357	0.0759438389598963	NDUFB9	4715
ENSG00000154518	2391.24389575384	-0.242857775175995	0.0720436140941369	3.97018410691419e-05	0.00450585522235271	ATP5MC3	518
ENSG00000154723	1049.1502124701	-0.21949108005701	0.0906610763930743	0.000749248514681205	0.0392887189885957	ATP5PF	522
ENSG00000161057	1742.10972377327	-0.345055462570215	0.0545986255795034	1.36510350107865e-11	9.7352356179424e-09	PSMC2	5701
ENSG00000162909	8052.48306874655	-0.12310819260683	0.0408610264551391	0.000338206743168484	0.0228618141128535	CAPN2	824
ENSG00000164405	1765.03326624105	-0.381823769995369	0.0837963981908035	2.27447213728462e-07	5.69136773580535e-05	UQCRQ	27089
ENSG00000168036	7313.61245299234	-0.175059184825092	0.0588600595426329	0.000238304867786264	0.0179838218478068	CTNNB1	1499
ENSG00000169032	2766.68952624452	0.212583204943893	0.0500893427013169	1.67828952159436e-06	0.000327910184198635	MAP2K1	5604
ENSG00000171497	836.658697145451	-0.215232948800614	0.120954328866567	0.0023969841581991	0.0827801090760138	PPID	5481
ENSG00000172115	3426.28860367468	-0.326336597457517	0.0708593987673084	1.91945609585285e-07	5.06985227687949e-05	CYCS	54205
ENSG00000173660	2169.51952693067	-0.154765144937052	0.0683686472890153	0.00176709992728365	0.0688637876034063	UQCRH	7388
ENSG00000173692	4201.45027226777	-0.121191988911721	0.0506270326755759	0.00199887193430975	0.0744697789716461	PSMD1	5707
ENSG00000183648	377.997541421535	-0.930002258173847	0.227606661591853	1.21104617814191e-06	0.000250335530997652	NDUFB1	4707
ENSG00000184076	1312.16380860957	-0.23066884624572	0.0928624533173005	0.000610013410853002	0.0349422541325155	UQCR10	29796
ENSG00000184752	960.469385873392	-0.179151499830584	0.0702632040296472	0.000709851541159386	0.0382270194050511	NDUFA12	55967
ENSG00000198695	7184.42200282417	0.15849140537401	0.0642798141665939	0.00119570560210874	0.0529638167791211	MT-ND6	4541
ENSG00000198840	8590.01999409267	-0.748627239804387	0.0762568163584426	3.52798473571279e-24	1.67732154284905e-20	MT-ND3	4537
ENSG00000212907	5233.21198796183	-1.3317306516484	0.143237479719698	3.72605230100264e-22	1.06289367938401e-18	MT-ND4L	4539
ENSG00000281013	1336.59819346045	-0.226465758262603	0.0803131764834747	0.000249573987976584	0.0185399676589064	NDUFA6	4700
