GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000014216	2871.74689450462	0.151899622385349	0.073268386251372	0.00681907596368888	0.0640873888065927	CAPN1	823
ENSG00000015475	1253.90153868693	0.179860515962538	0.0689538153054383	0.00132456138262454	0.0222763715885775	BID	637
ENSG00000023287	1176.81477762245	-0.648610730482331	0.125784602269581	1.08500914715742e-08	2.42038927298909e-06	RB1CC1	9821
ENSG00000041357	3519.28031247665	-0.193879818497209	0.0437773225972926	1.321051981912e-06	0.000132362691374115	PSMA4	5685
ENSG00000065518	1339.23192369294	-0.210602396357105	0.0597140169854044	4.91279616169918e-05	0.00222544019232833	NDUFB4	4710
ENSG00000087460	15970.9476596954	0.159033929723453	0.0366893772679551	3.20556156942383e-06	0.000260669435774605	GNAS	2778
ENSG00000100519	1833.58625860375	-0.231628781781125	0.0736659799217476	0.000151905276702191	0.00508429008716291	PSMC6	5706
ENSG00000100764	2443.83349448127	-0.207124789848799	0.0877705251032758	0.00174670780542433	0.0266125339993967	PSMC1	5700
ENSG00000103035	2644.28096302874	-0.138171933234477	0.053434384101207	0.00219628624376912	0.0306745458861208	PSMD7	5713
ENSG00000107984	2285.90826884005	0.16135635923671	0.0634866151459444	0.00193917581455637	0.028341959093699	DKK1	22943
ENSG00000109390	829.514060898928	-0.179341132393183	0.0694113029888122	0.00132984711185759	0.0223018190120458	NDUFC1	4717
ENSG00000110717	1696.73311606159	0.138014415670668	0.0746129643969019	0.012731151325974	0.0934597127149081	NDUFS8	4728
ENSG00000111186	677.00366151624	0.255259193323875	0.0951224069803787	0.000611191472268265	0.0133569626185355	WNT5B	81029
ENSG00000112695	1992.80483046849	-0.161937603076474	0.070833597597685	0.00346315924547475	0.0417379528636574	COX7A2	1347
ENSG00000115266	283.10416580907	0.323738067934552	0.151389589257589	0.0017526249584406	0.0266243966872998	APC2	10297
ENSG00000115286	1228.40641570244	0.21194423350008	0.129729784655898	0.00808944996462447	0.0713092099617506	NDUFS7	374291
ENSG00000117362	3871.73925071389	0.123232131499154	0.0445237476166571	0.00173660281615634	0.0265612614429707	APH1A	51107
ENSG00000119013	639.31731042016	-0.299579350713122	0.0753787707699738	5.21929416526226e-06	0.000360999001761283	NDUFB3	4709
ENSG00000120129	5088.62428366064	0.450407798369495	0.0694656906470704	6.3499943616522e-12	3.95136754409547e-09	DUSP1	1843
ENSG00000123416	42601.9431216683	0.100940171883945	0.0351161310765214	0.00167660210886702	0.0259675061299093	TUBA1B	10376
ENSG00000124172	1993.78129176138	-0.621899818557996	0.140798196369956	3.84977212465125e-07	4.8593173051426e-05	ATP5F1E	514
ENSG00000125356	672.198086860226	-0.377089918861986	0.0801886947420045	1.61441176815973e-07	2.21944073662239e-05	NDUFA1	4694
ENSG00000126267	1002.87947871638	-0.165743951572839	0.0756378253274187	0.00408352464286126	0.0467371847556134	COX6B1	1340
ENSG00000126934	3474.06893253649	0.255607718782169	0.0623931288268907	4.29091494775099e-06	0.000315102406380497	MAP2K2	5605
ENSG00000127184	3235.47821730744	-0.378314805175622	0.0518309447043077	1.80089114812658e-14	1.93563054948187e-11	COX7C	1350
ENSG00000127540	1239.11259448231	-0.397359373803425	0.09801047162144	2.62572473593704e-06	0.000228264290830762	UQCR11	10975
ENSG00000127922	1038.54449287831	-0.328505400309323	0.0832766163895537	5.17686243397641e-06	0.000360999001761283	SEM1	7979
ENSG00000131174	813.594987354337	-0.56442919789688	0.170452044768402	3.30172118184814e-05	0.00161306816252027	COX7B	1349
ENSG00000134001	3903.46773944456	-0.144692117976508	0.0648794043043259	0.0048911877339074	0.052428388556652	EIF2S1	1965
ENSG00000134982	668.851904676697	-0.835178161161973	0.212497430343294	2.65823217750573e-06	0.000229403496603286	APC	324
ENSG00000136810	3352.64180203004	-0.197297100952267	0.0429867456764299	6.22042917102228e-07	6.93812585745249e-05	TXN	7295
ENSG00000137845	2813.94874969879	-0.240429939298262	0.105040301435295	0.00153450921254786	0.0246161281602384	ADAM10	102
ENSG00000141510	2814.53912576207	0.134110663949843	0.0467061726519916	0.00106636685379623	0.0191568051522245	TP53	7157
ENSG00000141873	924.965807428194	0.245796554751989	0.0969442670054424	0.000965460501428678	0.0181359758906689	SLC39A3	29985
ENSG00000142168	2589.59026000903	-0.146310128261987	0.038445673473528	3.28325209949414e-05	0.00161306816252027	SOD1	6647
ENSG00000142208	2562.85002387584	0.117861453474774	0.0592217463827621	0.0130691504837908	0.0947954393680116	AKT1	207
ENSG00000142875	476.432397027736	-0.246359488412308	0.156683028525873	0.00577795317855752	0.0574056642269626	PRKACB	5567
ENSG00000143106	2181.02435162194	-0.170489605454261	0.0777713219006844	0.00374465252038307	0.0441846574336218	PSMA5	5686
ENSG00000143947	11298.3737177012	-0.254986182939264	0.0454514830683171	2.00248877039807e-09	5.63700588867057e-07	RPS27A	6233
ENSG00000145494	857.197048072631	-0.267154915345995	0.111000333613131	0.000981485277574461	0.018274173916162	NDUFS6	4726
ENSG00000147123	1551.2089845253	0.148982432264492	0.0754514371221621	0.00867121304624078	0.074668428146908	NDUFB11	54539
ENSG00000149782	1637.99042673365	0.166194495260451	0.0785588705723973	0.00520157594226615	0.0543270603934741	PLCB3	5331
ENSG00000150991	27564.5834663138	0.138617408593185	0.0324745539851378	5.3560078443159e-06	0.000368163260135738	UBC	7316
