GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000041357	3619.27885946301	-0.104166377409975	0.0438387467063726	0.00203135984639577	0.0755393435591195	PSMA4	5685
ENSG00000065518	1370.9817071047	-0.200104477283884	0.0650426635811646	0.00011113609464714	0.0117152139440022	NDUFB4	4710
ENSG00000112695	2034.62493405895	-0.213735079692005	0.0620252695623638	3.00293848025551e-05	0.00450617415478342	COX7A2	1347
ENSG00000119013	655.839157368434	-0.281762167939789	0.0749498688444768	8.09056867793715e-06	0.00171992005811814	NDUFB3	4709
ENSG00000120129	5023.94280203196	0.300659014384674	0.0582341471755321	1.27044791662465e-08	9.19219416417909e-06	DUSP1	1843
ENSG00000124172	2084.47229715539	-0.392367060450182	0.15483158409611	0.000323069544101569	0.0231502923315478	ATP5F1E	514
ENSG00000125356	697.686384174995	-0.32245682825831	0.0780997428166315	1.73568053278598e-06	0.000567656543479107	NDUFA1	4694
ENSG00000127184	3322.65177344415	-0.322412560660823	0.0561079837575224	4.43688096027707e-10	6.28804629425933e-07	COX7C	1350
ENSG00000127922	1082.13235943306	-0.192198778774183	0.0854468172922421	0.00109933890463382	0.0539310297254015	SEM1	7979
ENSG00000134001	3975.21854613599	-0.197912327078493	0.0649703792508816	0.000101704627929466	0.011317727144474	EIF2S1	1965
ENSG00000143947	11557.6900786512	-0.143659574743076	0.0465143430573667	0.000158744044893869	0.0146723209610239	RPS27A	6233
ENSG00000147123	1572.18750905664	0.116420696679208	0.0520968924069093	0.00243380509738894	0.0845863324719236	NDUFB11	54539
ENSG00000154723	1044.87552481116	-0.223931119052165	0.0794670966285524	0.000221893271489901	0.0184983573715928	ATP5PF	522
ENSG00000161057	1747.67054478063	-0.206155075107325	0.0640505500846803	7.1133857553754e-05	0.00933118356952354	PSMC2	5701
ENSG00000162337	4600.84602726789	0.103001642627104	0.0413548665418575	0.00175946712038889	0.0684207412212205	LRP5	4041
ENSG00000164405	1795.32416803172	-0.289912265822283	0.0825151586783658	1.89817592283518e-05	0.00341003294306518	UQCRQ	27089
ENSG00000164919	1667.69415862575	-0.1533139739394	0.0815665758483831	0.00276130871034732	0.0926855068433687	COX6C	1345
ENSG00000169032	2763.61926389064	0.158633010209009	0.0427659910515412	1.67004070434964e-05	0.00317930883342981	MAP2K1	5604
ENSG00000172115	3397.2621972386	-0.262336059488496	0.0595687462996923	5.29828158213883e-07	0.000193084518800517	CYCS	54205
ENSG00000173660	2177.90512238723	-0.120244048721509	0.0557783484124737	0.00254048626123992	0.0875781142219331	UQCRH	7388
ENSG00000183648	374.364828896411	-0.36638644400626	0.289750042937159	0.00311742338010734	0.0996559779781181	NDUFB1	4707
ENSG00000184752	964.241048439484	-0.121312593219512	0.0584085130954942	0.00300874940450072	0.0981498686813469	NDUFA12	55967
ENSG00000196950	716.42138671754	-0.291012369386772	0.168103340079183	0.00197651791290289	0.0741484881737539	SLC39A10	57181
ENSG00000198840	8604.08158322341	-0.523118302505827	0.0619046080552089	1.22720833629963e-18	7.8265211647509e-15	MT-ND3	4537
ENSG00000212907	5188.84741907244	-0.766065002173992	0.177523186026012	4.6659110423742e-07	0.000175040280427891	MT-ND4L	4539
