GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000062716.13	4923.03819880347	-0.237751629604875	0.0797603692853351	0.00012703645401856	0.0633379172035761	VMP1
ENSG00000086589.12	1651.69010519322	-0.220337780548976	0.0636046066888414	2.73799670231963e-05	0.0246271442369513	RBM22
ENSG00000116017.11	84.4542073369549	-0.935203886840363	0.350438267534132	0.000184769463264291	0.0761047710155946	ARID3A
ENSG00000123545.6	377.64355535183	-0.356403210149427	0.128948954998107	0.00018871915400889	0.0761047710155946	NDUFAF4
ENSG00000128534.8	1017.73074542392	-0.454795782092446	0.1333436953539	2.28595864312053e-05	0.0220823604925444	LSM8
ENSG00000151422.14	643.109761614748	-0.452592896352114	0.174355326649245	0.000263740277794811	0.0852316186855243	FER
ENSG00000157483.9	2156.01651037062	-0.210216275393179	0.0760966919598445	0.00027250908406346	0.0859571510874457	MYO1E
ENSG00000162813.18	485.191455810339	-0.3520148092132	0.100157677661664	1.78577981231135e-05	0.0184006751860562	BPNT1
ENSG00000164284.15	756.997704531098	-0.36030864877724	0.0922404567819682	3.93807410812739e-06	0.00553335212865609	GRPEL2
ENSG00000165494.12	1416.14976946316	-0.381821953069618	0.104725299117058	1.03260538149208e-05	0.0122768836741089	PCF11
ENSG00000179304.18	426.789502980423	-0.967908394634217	0.208690328458109	1.1150722901471e-07	0.000430863932912838	FAM156B
ENSG00000189108.14	25.4380168743508	-1.97273104755742	0.483248669690266	1.12513656090766e-06	0.00276710976948068	IL1RAPL2
ENSG00000196511.15	191.630094320851	-0.534986859730031	0.179301595966189	9.09307207758782e-05	0.0563866763679375	TPK1
ENSG00000224740.8	966.212528836911	-0.46600686936154	0.139524882863499	2.86806804001762e-05	0.0246271442369513	FLOT1
ENSG00000256043.5	198.311892437438	-3.15047602102583	0.328722274713069	2.69716947489862e-23	4.1687451404033e-19	CTSO
ENSG00000262771.5	411.361690968226	-0.87959667768235	0.215386975150211	1.43225143347861e-06	0.00276710976948068	SSBP1
ENSG00000273889.2	59.9502910727445	-5.84480568629876	1.49747285969722	2.60585841198761e-06	0.00402761476156805	FAM83H
ENSG00000274474.3	1544.69337992032	-0.544235452936653	0.180654849730876	7.6683214632011e-05	0.05154240512036	YWHAE
ENSG00000285292.1	892.842679211894	-0.238208276742976	0.0777894478690935	0.000100699669186426	0.0576449661831629	ABCF2-H2BK1
ENSG00000285508.1	88.8158792911226	-1.28923431062689	0.315186343282184	1.38606951526318e-06	0.00276710976948068	MKKS
