GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000058335.16	122.069668748142	1.04505467611938	0.27326945255927	5.86810780419643e-06	0.007558122851805	RASGRF1
ENSG00000070366.14	1273.27859637233	0.261256372455886	0.0905936850868008	0.000179877167519676	0.0761047710155946	SMG6
ENSG00000074964.17	360.835348630816	0.476809779003053	0.176493439638526	0.000256697939386836	0.0852316186855243	ARHGEF10L
ENSG00000079482.14	303.437031869246	0.382763389923389	0.137632764831478	0.000207746173630567	0.0761047710155946	OPHN1
ENSG00000099308.13	226.853145823525	0.621703502555755	0.224679500632935	0.000211730405905187	0.0761047710155946	MAST3
ENSG00000100307.13	278.463020769658	0.869971213798565	0.12537693683732	2.07149755522001e-13	1.60085331067402e-09	CBX7
ENSG00000103148.17	663.98723058054	0.346873974063136	0.115229035831074	0.000110599770491612	0.0610510733113697	NPRL3
ENSG00000109046.15	2687.42509607937	0.27412204466645	0.0811876050002597	3.63139855479235e-05	0.0295404716120372	WSB1
ENSG00000120129.6	4906.76462276654	0.256274106333776	0.0784853476839858	5.90387587956957e-05	0.0456251527973137	DUSP1
ENSG00000128594.8	25.0119583121616	1.61245968030696	0.547021544108454	0.000123604767833914	0.0633379172035761	LRRC4
ENSG00000140323.6	101.662896563029	0.987918326243417	0.361436509789458	0.000231492161129228	0.079509840942519	DISP2
ENSG00000143554.14	156.423979464725	0.835496141926827	0.297895509856592	0.000196160184707839	0.0761047710155946	SLC27A3
ENSG00000143614.11	635.053695540474	0.866536667252352	0.275239973616736	7.00509774330693e-05	0.05154240512036	GATAD2B
ENSG00000144711.17	415.17950545796	0.34217529721496	0.126127447899502	0.000264694467967467	0.0852316186855243	IQSEC1
ENSG00000145632.15	1848.48844096769	0.504408542428218	0.10362104259702	5.65016107209054e-08	0.000291096298434105	PLK2
ENSG00000147421.18	139.720530900725	0.676402386647912	0.223442693285184	9.63668633702201e-05	0.0572863938557739	HMBOX1
ENSG00000152518.8	3244.23501934695	0.214785911763295	0.0777198055275201	0.000296990352702471	0.090005546889596	ZFP36L2
ENSG00000154237.13	1253.33742750509	0.478404339521725	0.13476124203936	1.72222295197874e-05	0.0184006751860562	LRRK1
ENSG00000159216.19	1326.76039253843	0.308946997290194	0.10624984749029	0.000161786626413291	0.0735462969954067	RUNX1
ENSG00000160007.20	1563.00188608935	0.313311078803872	0.0740279829018877	1.19381743961608e-06	0.00276710976948068	ARHGAP35
ENSG00000162413.17	1732.47911671013	0.260093794421682	0.0916151995672787	0.000211293589820342	0.0761047710155946	KLHL21
ENSG00000166147.15	4606.96559201513	0.236088424087934	0.0755394185089962	9.1205157168636e-05	0.0563866763679375	FBN1
ENSG00000172037.14	7447.47602308518	0.203126864498765	0.0632434775933243	7.67000076195834e-05	0.05154240512036	LAMB2
ENSG00000174306.22	1132.30449442045	0.704715695252998	0.172973281331188	2.21283662663838e-06	0.00380017810014698	ZHX3
ENSG00000178425.14	483.986370341367	0.423098089013791	0.144763974596667	0.000138513679332027	0.0669021071173688	NT5DC1
ENSG00000185453.13	375.54436805791	0.390242695177905	0.135125461715595	0.000153530792653188	0.0719082403408385	ZSWIM9
ENSG00000243716.12	1304.19418041497	0.467647018914752	0.15633664777344	0.000116171797199836	0.0619155619834713	NPIPB5
ENSG00000284454.2	357.079019596133	0.44421992045147	0.159925963360845	0.000210944590904667	0.0761047710155946	NA
