GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	770.669253223077	0.0119566313592077	0.0499423721295782	0.500154432699111	0.884535418863737	TSPAN6
ENSG00000000419.14	1369.0162801684	0.0384345582907035	0.058507033365611	0.15347323800452	0.681392478978385	DPM1
ENSG00000000457.14	426.158613158054	-0.00193733345130641	0.0494916824511439	0.889263486889935	0.98359238743057	SCYL3
ENSG00000000460.17	717.627647665373	-0.00248941323621355	0.0479680226415609	0.887600442383371	0.983317399914099	C1orf112
ENSG00000000938.13	17.3576428195717	-3.3969445064292e-05	0.0514465324574076	0.990104295449738	NA	FGR
ENSG00000000971.17	992.273790099877	-0.0238685582165021	0.055530284217316	0.19050561694167	0.714208064567176	CFH
ENSG00000001036.14	2448.61307672481	-0.0101897325071329	0.0438918262732273	0.678950790455188	0.93641529901444	FUCA2
ENSG00000001084.13	918.355245468798	0.0173891084419391	0.0522365563558301	0.316228263794147	0.800856825080567	GCLC
ENSG00000001167.15	1553.78428336019	0.0165705713912103	0.0475627192017735	0.469643435221885	0.875729539607267	NFYA
ENSG00000001460.18	91.309349934117	0.00277315059430046	0.0512144027603772	0.69024866037972	NA	STPG1
ENSG00000001461.17	634.017068742217	0.0317371226760405	0.0586019564900028	0.156687593702104	0.685515741045253	NIPAL3
ENSG00000001497.18	1526.4122529556	-0.0252215227282334	0.0503893004159428	0.301229043345107	0.79213368874116	LAS1L
ENSG00000001561.7	14.4292457707161	-0.000254980621888	0.0514627084135732	0.937879016236049	NA	ENPP4
ENSG00000001617.12	2091.16932199754	-0.0429708009052629	0.0580177596326045	0.13673232537672	0.65982930313131	SEMA3F
ENSG00000001629.10	1986.81947800281	0.334269423162655	0.125343895242731	0.000299586928608459	0.0461404354777109	ANKIB1
ENSG00000001630.18	2316.3633825131	-0.00234874012585966	0.0443512285242752	0.965422714068443	0.996887484756592	CYP51A1
ENSG00000001631.17	1007.25971736885	0.0112097167822387	0.047788165423441	0.585561213498491	0.912463017612997	KRIT1
ENSG00000002016.18	224.973763111171	-0.00144468879038927	0.0505387594677286	0.885809642702743	0.983317399914099	RAD52
ENSG00000002330.14	694.834143036699	-0.00970601047361461	0.0506134562457259	0.495370223102422	0.883954712162401	BAD
ENSG00000002549.13	4636.25748103164	0.00408562632743073	0.0413842893691951	0.885174803138372	0.983317399914099	LAP3
ENSG00000002586.20	3006.12629861382	-0.0127429402813895	0.0472322280135	0.538294680428171	0.899979211642324	CD99
ENSG00000002822.16	918.834682318657	-0.00322135561286411	0.0483612108643041	0.848420448868572	0.978095069366287	MAD1L1
ENSG00000002834.19	7835.50744364209	-0.0261870012707036	0.0429264007111802	0.35486951779576	0.824028358884704	LASP1
ENSG00000002919.15	852.816457804624	-0.0139878143534401	0.0509247478892273	0.38847034239038	0.842012927578514	SNX11
ENSG00000003056.8	4086.70024732807	0.00254647875537455	0.0431684537843364	0.915510442289708	0.986020838289152	M6PR
ENSG00000003249.15	261.425897577377	-0.0194985497201024	0.0540365237464591	0.220100522586749	0.739432212681346	DBNDD1
ENSG00000003393.16	1704.93409702312	0.0115203302550718	0.0489557219084243	0.545176281873935	0.901020289857169	ALS2
ENSG00000003400.16	322.940090106943	0.00206804181387029	0.0499826062284226	0.880469895172603	0.983286258982227	CASP10
ENSG00000003402.21	1449.30265265301	-0.00261006734956593	0.0467869478723696	0.917233542933149	0.986773303501623	CFLAR
ENSG00000003436.16	5263.90464340424	0.0425085684156696	0.0556977954022204	0.145235619134562	0.672700232792515	TFPI
ENSG00000003509.16	356.016040151441	-0.00224422677337789	0.048946605694085	0.884514798767206	0.983317399914099	NDUFAF7
ENSG00000003756.17	3870.74405642992	-0.0280204735877293	0.0535177917888701	0.235897709700044	0.752674526508012	RBM5
ENSG00000003987.14	85.4493508159073	-0.015306710808287	0.0540043773162209	0.115301153441688	NA	MTMR7
ENSG00000003989.18	1289.81785626468	0.020580896199519	0.0513035203688616	0.337025975198761	0.813272292894405	SLC7A2
ENSG00000004059.11	2097.47261352943	-0.0107800549197097	0.0486205557837533	0.565468207847273	0.908293040219491	ARF5
ENSG00000004139.14	526.450013774421	-0.0449045282918028	0.0766074347202801	0.0408572636048162	0.466299418805061	SARM1
ENSG00000004142.12	2450.62573620694	0.0243819441596383	0.0489063694413758	0.386157030901856	0.840972314261384	POLDIP2
ENSG00000004399.13	2192.64283887726	0.00838819691016554	0.0460990801873571	0.686237568147697	0.940217370304133	PLXND1
ENSG00000004455.18	3953.07804725511	0.00121545077655234	0.0433861476612712	0.956431092942977	0.994617309375905	AK2
ENSG00000004468.13	10.1553948088631	0.00102767536673698	0.0515264757736832	0.696981401483558	NA	CD38
ENSG00000004478.8	2555.33598113047	-0.0133666433791362	0.0463610190920622	0.553131746381908	0.904759828309573	FKBP4
ENSG00000004487.18	2782.33263270369	0.00262549861318943	0.0428780296888577	0.893856618609332	0.984316262235579	KDM1A
ENSG00000004534.15	2053.67081765026	0.0611536163004758	0.0746426209801907	0.0643779422384603	0.538829411246023	RBM6
ENSG00000004660.15	76.2309610882242	0.0143752999930816	0.0536958081420484	0.123268735243014	NA	CAMKK1
ENSG00000004700.16	3226.53841697678	0.0237815630970964	0.0471581218666304	0.388006728481142	0.842012927578514	RECQL
ENSG00000004766.17	708.449628630235	0.0179139131355712	0.0515309665422509	0.342154110610151	0.817472260995288	VPS50
ENSG00000004776.13	34.854566770648	-0.000681580975903551	0.0512305553283856	0.90732849485854	NA	HSPB6
ENSG00000004777.19	126.087873804459	-0.00214174759472123	0.0509730605561066	0.791256208656051	0.965360522906208	ARHGAP33
ENSG00000004779.10	1436.66304532491	-0.0285205814420023	0.0529852307650018	0.235211846236701	0.752674526508012	NDUFAB1
ENSG00000004799.8	25.8490035034958	-0.00286439811005563	0.0514483110791911	0.567213592998743	NA	PDK4
ENSG00000004838.14	21.1851094625073	-0.00231181944524974	0.0515205151844851	0.527782486852237	NA	ZMYND10
ENSG00000004864.14	783.252559372852	0.0289680813689298	0.0561434237655633	0.190229823407633	0.714208064567176	SLC25A13
ENSG00000004866.22	793.35047123616	0.0132364678712412	0.0484528377650403	0.518831848085293	0.893377042781286	ST7
ENSG00000004897.12	3138.60584146333	-0.0258860612002858	0.0503696140117669	0.295829361110428	0.7904034398003	CDC27
ENSG00000004961.15	962.242614180396	-0.0112972206190077	0.0476578455361219	0.585317564334958	0.912463017612997	HCCS
ENSG00000004975.12	1738.67752159164	-0.0216891877586851	0.0518250680705719	0.30752630349282	0.794843230189176	DVL2
ENSG00000005007.14	3837.53537268073	-0.0402048524361581	0.0537074792609804	0.15167730517514	0.679122353833574	UPF1
ENSG00000005020.13	419.850399621646	0.0191169129521952	0.0533398956056092	0.258822037777424	0.76543821370511	SKAP2
ENSG00000005022.6	7925.9179620369	-0.026994024193516	0.0450314197546776	0.321222086477618	0.804211554537031	SLC25A5
ENSG00000005059.16	855.42405050731	-0.00303970977301093	0.0481409498496491	0.865552531998254	0.980031625766898	MCUB
ENSG00000005075.16	1159.98880213612	-0.0056243697239331	0.0466896195193424	0.782085035651797	0.962609011585156	POLR2J
ENSG00000005100.13	1519.17435951328	-0.000474486876711417	0.0465367250566467	0.978994237216831	0.997282563600306	DHX33
ENSG00000005156.12	441.060436876355	-0.0286266717435085	0.0612099599705754	0.0529795329018241	0.509542393655772	LIG3
ENSG00000005175.10	1091.6024126022	0.128037698125077	0.127191810230591	0.0137375463339827	0.308810287117162	RPAP3
ENSG00000005187.12	37.9115937474015	0.0029717176322586	0.051341724772134	0.625225414302802	NA	ACSM3
ENSG00000005189.20	298.64645412068	-0.00568412468359337	0.0505875954564852	0.627874942487731	0.926250603086619	REXO5
ENSG00000005194.15	1288.15850941428	-0.017219070190361	0.0466459194792316	0.471005260202291	0.875801739678709	CIAPIN1
ENSG00000005206.17	957.683784600722	-0.0476466899068753	0.0801157475146559	0.0322528164959815	0.431193595688382	SPPL2B
ENSG00000005238.20	348.400631253122	-0.0182987507335604	0.0528592104848702	0.279410696258199	0.779009074390199	ATOSB
ENSG00000005243.10	133.22209117594	0.0067337101595448	0.050918600397264	0.548854666633836	0.902488661153237	COPZ2
ENSG00000005249.14	181.842557129298	-0.00715935609133565	0.0504744659436865	0.640699990471695	0.927789591576182	PRKAR2B
ENSG00000005302.19	674.855381291261	0.00527887238795162	0.0477590128716586	0.780792934846872	0.962137363373457	MSL3
ENSG00000005339.15	2738.68198345394	0.00106193464424764	0.0467357066867231	0.960759510086369	0.995977454652934	CREBBP
ENSG00000005436.14	646.442454139487	0.00684445827541406	0.0481983204275391	0.710176407965064	0.944780339144207	GCFC2
ENSG00000005448.17	913.977346893684	-0.0237791511867846	0.0518655493554495	0.295525313729849	0.7904034398003	WDR54
ENSG00000005469.12	406.466660594425	-0.000293265908222567	0.0485397021630983	0.984719899247876	0.997746655013406	CROT
ENSG00000005471.19	13.908251405712	0.00142231687882752	0.0515177887359959	0.637881183497611	NA	ABCB4
ENSG00000005483.23	1055.32477717898	0.00908916300717229	0.047983527136769	0.641739437904557	0.927789591576182	KMT2E
ENSG00000005486.17	714.38228558711	-0.0237479484240914	0.057105707791394	0.116679403545672	0.62572859762222	RHBDD2
ENSG00000005700.15	727.171953051201	0.0123711256120683	0.0494318968977386	0.511135770235051	0.887749828309795	IBTK
ENSG00000005801.18	416.758848988871	-0.0175697202116951	0.0527262835254936	0.291374097042295	0.786917199997876	ZNF195
ENSG00000005810.20	1727.79216968817	-0.0758881446389617	0.121133759372207	0.0250976948333182	0.397275594465733	MYCBP2
ENSG00000005812.11	1825.29162860148	0.0209450836667831	0.0491975018775544	0.379758970955734	0.838444133144304	FBXL3
ENSG00000005844.19	11.4588619448003	0.000590105630749198	0.0514731033192654	0.8620936952914	NA	ITGAL
ENSG00000005882.12	317.239144872386	-0.00865400732861268	0.0510618530725424	0.476958254641955	0.878484017335879	PDK2
ENSG00000005884.18	7090.06694919247	0.0465180596244642	0.0614297655500361	0.123935093281066	0.638268530557753	ITGA3
ENSG00000005889.16	1727.06948576935	-0.0189324483124498	0.0525071123359539	0.298330473821161	0.791085140709978	ZFX
ENSG00000005893.17	4110.02253840733	-0.0104815419346246	0.0454866007699016	0.670146199341811	0.935356835477051	LAMP2
ENSG00000005961.19	27.4572348429249	-0.00302039564806897	0.0515193285624636	0.490227213706628	NA	ITGA2B
ENSG00000005981.13	17.1033183078363	-0.00048364701468383	0.05141146109397	0.905420214315959	NA	ASB4
ENSG00000006007.12	1795.19679963721	-0.016541785194149	0.0483260068825753	0.448718105572741	0.86830664428018	GDE1
ENSG00000006015.18	250.346573568752	-0.0149946746464378	0.0525522776682102	0.298122978488017	0.791085140709978	REX1BD
ENSG00000006016.12	76.3652762875907	-0.00105880744594382	0.051008853606923	0.885139910647694	NA	CRLF1
ENSG00000006025.13	209.861556918275	0.00475193350388784	0.0509851570124084	0.60145104438685	0.917962185783179	OSBPL7
ENSG00000006042.12	45.3464138034625	-0.0059303625364876	0.0517687947223816	0.293518891715964	NA	TMEM98
ENSG00000006062.18	647.568933853583	-0.054073089962218	0.0851296776187046	0.0387821113356092	0.46155489804876	MAP3K14
ENSG00000006071.16	25.153880050911	-0.00943231812688382	0.052641997365405	0.0543019302371737	NA	ABCC8
ENSG00000006118.15	1695.30742415819	-0.053001480101793	0.073393534960559	0.0718569396594153	0.55503392495426	TMEM132A
ENSG00000006125.18	6854.42594655023	-0.0216961541917629	0.0448110080456781	0.401896815081256	0.850105267239172	AP2B1
ENSG00000006194.11	832.031084779344	-0.0217228767958193	0.0521254572791654	0.301053323225546	0.791854309901119	ZNF263
ENSG00000006210.7	16.1033443561101	-0.0006502158869494	0.0514232395544012	0.870331551396747	NA	CX3CL1
ENSG00000006282.22	658.898564757164	-0.0294709071644459	0.0589691990827769	0.142279832909297	0.671168370714195	SPATA20
ENSG00000006327.14	5072.88132481553	-0.201543031050717	0.150970884271983	0.00595727394353087	0.227134244112618	TNFRSF12A
ENSG00000006432.16	39.0859347052361	0.00757349096656602	0.0519938184171373	0.241633388707756	NA	MAP3K9
ENSG00000006451.8	1685.17529652276	0.0499166896881897	0.0723797452461222	0.0745647973706755	0.562046954784119	RALA
ENSG00000006453.14	255.50809815008	-0.00514338593113389	0.0500205542559691	0.700198752727026	0.942243957816172	BAIAP2L1
ENSG00000006459.11	357.950622777166	0.0156603842132608	0.0520497018763862	0.329670895484556	0.809273145477527	KDM7A
ENSG00000006468.15	381.031894489509	0.0142981494770706	0.0518156270218458	0.349821075872244	0.820360419741739	ETV1
ENSG00000006530.18	945.769350186064	0.00636835145661669	0.0488839462025792	0.705324669630736	0.944258522231386	AGK
ENSG00000006534.17	831.107421489321	-0.021142976549097	0.0529133268586057	0.276694585360891	0.778198092844152	ALDH3B1
ENSG00000006576.17	1679.19949232643	-0.0182426864125585	0.049605033614674	0.428287031212364	0.863774074451833	PHTF2
ENSG00000006607.14	1561.23095415766	-0.0685135020966609	0.104790675095791	0.0335920020060208	0.43654281284221	FARP2
ENSG00000006625.18	1167.74856120779	0.0131389743501443	0.0483569186245058	0.523915561349103	0.894139810226972	GGCT
ENSG00000006634.8	1250.6916827941	0.0400912451040092	0.0615602828630424	0.0963929855317609	0.590571432155838	DBF4
ENSG00000006638.13	54.1296452540805	-0.000103331070069881	0.0509974536664413	0.992763488398762	NA	TBXA2R
ENSG00000006652.15	2645.7336863629	0.0335768782021286	0.0531807238680656	0.216727263055356	0.738177374932035	IFRD1
ENSG00000006695.12	577.117763050971	-0.00658679693119316	0.0491166728859946	0.688265404873843	0.940281023369961	COX10
ENSG00000006704.11	306.324223584926	0.00702503076762365	0.0498620149061425	0.637291187566961	0.927789591576182	GTF2IRD1
ENSG00000006712.15	1082.48178609251	-0.00311305603691852	0.0472586570322471	0.87012181173951	0.980784460678644	PAF1
ENSG00000006715.16	1345.18329778741	-0.0248136164178052	0.052796022636029	0.266601859799983	0.770224851464858	VPS41
ENSG00000006740.18	16.8252424941202	-0.00402416017705554	0.0516548499259321	0.315971428431731	NA	ARHGAP44
