GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000001617.12	2807.87638154815	-0.562539313045267	0.0772439630850302	8.71513152925938e-14	2.29637746527814e-12	SEMA3F
ENSG00000002079.14	18.0093584427198	-0.364666033319277	0.661695071705089	0.00945253623410468	0.032328537915701	MYH16
ENSG00000002330.14	566.091734631995	-0.436073114254045	0.122780727969952	0.000146119359251046	0.000965014892770425	BAD
ENSG00000002586.20	2965.77181175327	-0.166839111419334	0.0692401720874381	0.0136932939854719	0.0435118046315867	CD99
ENSG00000002822.16	780.362136479227	-0.18721728214022	0.0794911691346173	0.0152183725907438	0.0473187143718661	MAD1L1
ENSG00000002834.19	8292.50813688339	-0.21818419066235	0.0532330867069349	3.25487735827246e-05	0.000261039940360479	LASP1
ENSG00000003249.15	309.315399923931	-0.356349470958917	0.104647591876193	0.000339938362020087	0.00198191634742071	DBNDD1
ENSG00000004139.14	438.763798917777	-0.595869966602222	0.151171681020361	1.80163598406949e-05	0.000153168920015809	SARM1
ENSG00000004399.13	2272.89691499083	-0.592674338762874	0.0954418651325962	1.24491415368591e-10	2.57137436200252e-09	PLXND1
ENSG00000004478.8	2789.76609994201	-0.333397723509191	0.0600631200243112	1.38497807439091e-08	2.20850182473858e-07	FKBP4
ENSG00000004660.15	114.266180363547	-1.05743266041706	0.200292465331475	1.2535194075077e-08	2.01558585608448e-07	CAMKK1
ENSG00000004799.8	27.1253052364623	-1.07122421277241	0.42623573138171	0.000844785556562432	0.00431019898686429	PDK4
ENSG00000004975.12	1645.24208421979	-0.339091996833135	0.0936206557725177	0.000158633472024815	0.00103434401166011	DVL2
ENSG00000005007.14	3482.82116167969	-0.356367307048017	0.0764047015296429	1.6020635637158e-06	1.76341588830177e-05	UPF1
ENSG00000005059.16	804.66566814492	-0.263454577037869	0.119301467241564	0.0177978160745772	0.0537426989316316	MCUB
ENSG00000005075.16	998.121563747161	-0.302091140813591	0.0851616921562874	0.000238569971652909	0.00146551485979839	POLR2J
ENSG00000005206.17	762.978227020698	-0.476946048831672	0.14314375441029	0.000276047395097721	0.00166216775021864	SPPL2B
ENSG00000005238.20	313.075622191697	-0.287414418976928	0.156258574528721	0.0385680497132999	0.099383139469107	ATOSB
ENSG00000005448.17	835.350289536906	-0.305083505589969	0.0933906155907032	0.000652027768931447	0.00344007303638282	WDR54
ENSG00000005486.17	623.015377652487	-0.363588215453281	0.143584267945696	0.00529631459814082	0.020123380008936	RHBDD2
ENSG00000005884.18	8605.79839638612	-0.587413108139812	0.0518834106735209	2.57323705375032e-30	1.46655451048555e-28	ITGA3
ENSG00000006015.18	235.22458877862	-0.586895743397237	0.201607587703927	0.000754889009913531	0.00390987279856931	REX1BD
ENSG00000006025.13	208.168976833046	-1.10904301941713	0.22423426261605	5.53458007618742e-08	7.96689599741553e-07	OSBPL7
ENSG00000006062.18	557.522135505108	-0.212017842654799	0.0985209337124117	0.0240339031883574	0.0682401389175636	MAP3K14
ENSG00000006194.11	748.651236651137	-0.200072450206956	0.0937203358631546	0.0259406146482621	0.0725507412227293	ZNF263
ENSG00000006282.22	619.025825904456	-0.3928766143536	0.101713956785971	5.00584025466628e-05	0.000379644503887653	SPATA20
