GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	791.545888554644	0.0102740876433011	0.066679839257419	0.847231391046494	0.929895579530568	TSPAN6
ENSG00000000419.14	1191.35498498945	0.0122947467315768	0.0821526011862342	0.825284409230224	0.919261051410836	DPM1
ENSG00000000457.14	345.691056723752	0.0809800672520441	0.0963696943944593	0.193599291253807	0.434757447216727	SCYL3
ENSG00000000460.17	702.105631944916	-0.0508993002714519	0.0806235363157187	0.377023903521733	0.623641429306553	C1orf112
ENSG00000000938.13	24.573655469434	-0.032007242072108	0.114369844178959	0.186995489961419	NA	FGR
ENSG00000000971.17	965.836654972111	0.119356245423354	0.0924138026343188	0.0696486283034678	0.244061489835255	CFH
ENSG00000001036.14	2480.78292440353	0.0514946995662115	0.05190901410077	0.261628696970423	0.512329033844149	FUCA2
ENSG00000001084.13	640.483899134651	0.162404033747737	0.143342187364463	0.0412858515813074	0.179392636216489	GCLC
ENSG00000001167.15	1305.74570404873	0.0618723529954348	0.0809105543193644	0.293903614214603	0.546227165325604	NFYA
ENSG00000001460.18	83.1943657677978	0.208024598175682	0.408447336126422	0.0167917365867952	0.102365662453919	STPG1
ENSG00000001461.17	557.150329159133	0.00356963790243959	0.0802410547517934	0.948955016404776	0.977173664837825	NIPAL3
ENSG00000001497.18	1556.60659637574	-0.0064427064912967	0.0537509971101942	0.890650791725098	0.951948083179401	LAS1L
ENSG00000001561.7	12.1196617691997	0.0137521484786296	0.110420247391308	0.400764868390563	NA	ENPP4
ENSG00000001617.12	3162.85997882666	-0.186470085579171	0.120208316182265	0.0182569680326546	0.108408555537009	SEMA3F
ENSG00000001629.10	1895.03970510152	0.218405814308286	0.115152594166544	0.00802042691212386	0.0648304501366552	ANKIB1
ENSG00000001630.18	2532.46373561364	0.0820076318975109	0.0580259510823603	0.0990211822985873	0.300526690918196	CYP51A1
ENSG00000001631.17	1043.43872764134	0.241557524410437	0.134582388071453	0.00791169973695652	0.0643368407659202	KRIT1
ENSG00000002016.18	246.70319316844	0.0204972636267724	0.0956950475115307	0.683783183345811	0.842865451954977	RAD52
ENSG00000002079.14	18.1277735553873	-0.0150696974683557	0.111373293382514	0.164380710229363	NA	MYH16
ENSG00000002330.14	594.15525644089	-0.413278929405183	0.129368631320939	8.52383779389099e-05	0.0028926286412844	BAD
ENSG00000002549.13	4924.95621945883	-0.0220216224680824	0.0430710015559398	0.57820985677327	0.776979487881701	LAP3
ENSG00000002586.20	3055.24561222915	-0.267183126865089	0.0659815551790774	6.47279753838912e-06	0.000425070363750754	CD99
ENSG00000002822.16	829.332251972338	-0.116572260103306	0.0894182082540882	0.0697079636872129	0.244198976596295	MAD1L1
ENSG00000002834.19	8934.66788402088	-0.0862411536101237	0.0721257800895145	0.125398411183059	0.343897358343788	LASP1
ENSG00000002919.15	612.48288844848	-0.0380723392250248	0.0884872152210615	0.509379688813456	0.729920705514998	SNX11
ENSG00000003056.8	3984.99055622091	0.0146640519027499	0.0462153669796724	0.726899736655894	0.866263783644547	M6PR
ENSG00000003137.9	9.28331350471222	-0.000639090759809729	0.108819015322224	0.970461159171138	NA	CYP26B1
ENSG00000003147.19	7.25534627903857	-0.0134080652357629	0.110447606392174	0.389063834771838	NA	ICA1
ENSG00000003249.15	350.913824452508	-0.0354811305531855	0.0753838616034381	0.524721624347778	0.741174632507982	DBNDD1
ENSG00000003393.16	1352.09137771798	0.0536468354509685	0.0651202714132615	0.330904091339627	0.582377778601352	ALS2
ENSG00000003400.16	258.412281594716	-0.0404037892554371	0.0965719185395106	0.453533158730364	0.687768681571078	CASP10
ENSG00000003402.21	1622.64108127733	-0.127253037012545	0.0994498694625443	0.0598491693172034	0.22235705138676	CFLAR
ENSG00000003436.16	5975.90338737986	0.117910460304003	0.0967398652795579	0.075295874337294	0.254952502041189	TFPI
ENSG00000003509.16	292.751083372485	0.00508314030659933	0.0907687889619741	0.922452835321462	0.966360222154044	NDUFAF7
ENSG00000003756.17	3408.30817317453	0.0519718050729646	0.0522133922082726	0.259870112720773	0.510349434457141	RBM5
