GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000020129.16	1232.8732519984	-0.192461545231501	0.0560576340410698	2.66124982036212e-05	0.0371815856822547	NCDN
ENSG00000020577.14	1818.51167116346	-0.263948807700462	0.0708217752324659	7.31216794640737e-06	0.0191853749636817	SAMD4A
ENSG00000104899.8	431.289433798123	-0.336972248784889	0.118396311039717	0.000139256781127486	0.0889215103459136	AMH
ENSG00000110237.5	1965.41713232718	-0.226845645111634	0.0769818748616885	0.000112021201252978	0.0843199584859916	ARHGEF17
ENSG00000111752.11	812.703202738424	-0.278666955211773	0.0960206622974988	0.000120304763247643	0.0864389723934313	PHC1
ENSG00000132680.11	1267.7097452536	-0.271091658242171	0.0740511316857747	9.73536188669833e-06	0.0192358581678801	KHDC4
ENSG00000137877.10	117.323253776668	-0.845534536673123	0.233283616792868	8.49608557890632e-06	0.0191853749636817	SPTBN5
ENSG00000142102.16	922.733939085261	-0.273363854517078	0.0812982679614152	2.82266735109164e-05	0.0371815856822547	PGGHG
ENSG00000151164.19	43.301732334824	-1.00966839773462	0.337643691036075	7.87718802301463e-05	0.0654337341995047	RAD9B
ENSG00000153896.19	77.2869652425737	-0.645587884142859	0.205111169993663	5.51083083227743e-05	0.0544435643536309	ZNF599
ENSG00000154237.13	1686.51671488567	-0.182270241382537	0.062986853305376	0.000165144181949877	0.0900149684166103	LRRK1
ENSG00000196187.12	929.49938001899	-0.302219634920039	0.100075662324658	8.27908321623391e-05	0.0654337341995047	TMEM63A
ENSG00000196535.20	1205.596495134	-0.276645653224279	0.0888679069793882	6.04179726220192e-05	0.0561780525433092	MYO18A
ENSG00000223705.12	161.030658531127	-0.640802331336367	0.16030272352762	2.34835669232755e-06	0.0152858758251324	NSUN5P1
ENSG00000254413.8	222.995797044009	-0.542769915865739	0.168445532388646	3.95560788026758e-05	0.0446616384024212	CHKB-CPT1B
ENSG00000266086.3	459.902779730655	-0.308675078794779	0.108639955442458	0.00014653624006082	0.0890883979477453	NA
ENSG00000282458.1	1381.98816718736	-0.271345603480903	0.0726253337684442	7.11717269053474e-06	0.0191853749636817	WASH5P
