GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	761.602503264094	-3.75237039959287e-05	0.001442786398774	0.135779662279108	0.99936960534367	TSPAN6
ENSG00000000419.14	987.456676445464	-6.69690674908661e-06	0.0014425863373116	0.564301081842396	0.99936960534367	DPM1
ENSG00000000457.14	315.867292244399	1.40755403216262e-06	0.00144258420301363	0.937307076991397	0.99936960534367	SCYL3
ENSG00000000460.17	794.576181550236	-1.34912119296926e-05	0.00144247889825312	0.312585531869787	0.99936960534367	C1orf112
ENSG00000000938.13	21.4047650200489	-2.44807355627755e-06	0.00144268691468459	0.338595565956283	0.99936960534367	FGR
ENSG00000000971.17	769.729066371306	-2.03951862646326e-05	0.00144261862821108	0.0493053194192343	0.99936960534367	CFH
ENSG00000001036.14	2524.26836911053	9.17016490624318e-06	0.00144216819188735	0.39109049631333	0.99936960534367	FUCA2
ENSG00000001084.13	611.118807584616	1.30827181737273e-05	0.00144262356291098	0.100401292903985	0.99936960534367	GCLC
ENSG00000001167.15	1433.49364218935	1.17985842270383e-05	0.00144239818030127	0.2307334091725	0.99936960534367	NFYA
ENSG00000001460.18	83.1795341526599	-5.2453791328399e-06	0.00144267786319047	0.187300875656912	0.99936960534367	STPG1
ENSG00000001461.17	711.049384376639	2.58455010240425e-06	0.00144254020402499	0.661630348006574	0.99936960534367	NIPAL3
ENSG00000001497.18	1745.16025905675	-1.43856857217936e-05	0.00144229304216086	0.451795995092826	0.99936960534367	LAS1L
ENSG00000001561.7	17.8232204279678	2.02467874031362e-06	0.00144268591855189	0.447606497030197	0.99936960534367	ENPP4
ENSG00000001617.12	4135.36045503804	-3.61345563510576e-05	0.00144269173973526	0.10814272686405	0.99936960534367	SEMA3F
ENSG00000001629.10	2094.85439081608	3.61066224551857e-06	0.00144258255016777	0.691899641821434	0.99936960534367	ANKIB1
ENSG00000001630.18	2771.35674866854	-6.08832756457165e-05	0.00144290039876579	0.305133170013635	0.99936960534367	CYP51A1
ENSG00000001631.17	1023.22144065067	3.15017429146975e-05	0.00144261799331424	0.208076584189806	0.99936960534367	KRIT1
ENSG00000002016.18	271.229725614633	7.01023864457043e-06	0.00144266408982341	0.189548672924248	0.99936960534367	RAD52
ENSG00000002079.14	16.9769446832821	-1.51183013861899e-06	0.00144269392390727	0.148206429313071	0.99936960534367	MYH16
ENSG00000002330.14	642.35064426016	-9.07505690735656e-06	0.0014425867620585	0.334542243052859	0.99936960534367	BAD
ENSG00000002549.13	3898.42330201095	2.43122445852702e-05	0.00144228980579334	0.884740041958752	0.99936960534367	LAP3
ENSG00000002586.20	3397.47960463977	4.81102490892975e-06	0.0014424826898429	0.454703732321058	0.99936960534367	CD99
ENSG00000002822.16	1028.02143133555	1.42639161090346e-05	0.00144249858969666	0.514532612187056	0.99936960534367	MAD1L1
