GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000004455.18	4298.18031560655	-0.267026317501691	0.0577664363234909	2.07941644051605e-07	5.3924939438328e-05	AK2
ENSG00000005022.6	7397.83535534593	-0.116527727065721	0.0401974399360039	0.0005344456619752	0.0317616603198012	SLC25A5
ENSG00000008300.17	297.667886822952	0.403232284028215	0.183185214287674	0.00104712409250532	0.0498549411415426	CELSR3
ENSG00000008513.17	1939.76209369753	-0.227405769768774	0.0806435842606889	0.000244602455902923	0.0182657844426356	ST3GAL1
ENSG00000021776.11	1999.95735802201	0.201393572741602	0.0703071210376318	0.000285236880046138	0.020041052315754	AQR
ENSG00000026025.16	51520.3384981032	0.134336894913678	0.0472049671001007	0.000513269765622135	0.0308893108315127	VIM
ENSG00000033050.9	1861.42209890909	-0.330747672832004	0.22152181020983	0.00265589249013805	0.0895531786922909	ABCF2
ENSG00000035141.9	1486.05197049588	-0.188423213138018	0.0635049277085813	0.000206272410752503	0.0159894749704508	FAM136A
ENSG00000040199.18	1402.42162131217	0.207081098314944	0.0714093191323029	0.000244346964795618	0.0182657844426356	PHLPP2
ENSG00000047644.20	1495.37255730588	0.231029280604389	0.0765614079733833	0.00015636520170987	0.0125294206291454	WWC3
ENSG00000055147.19	680.25368312773	0.309515511437794	0.097301043746665	7.5394939930001e-05	0.00712157634583844	FAM114A2
ENSG00000062485.19	4265.21089551497	-0.189095615341371	0.0395760887720716	1.43509202864535e-07	3.93629184703242e-05	CS
ENSG00000065183.16	1797.8527260483	-0.322151742877721	0.118266521322658	0.000230150738271889	0.0176486020428599	WDR3
ENSG00000065978.19	20945.8966702205	-0.225747326661346	0.0560151696445497	3.17677451738797e-06	0.000539408749303626	YBX1
ENSG00000066230.12	898.094994499839	0.30061078765663	0.152408968458996	0.00192373882609403	0.0725880605200508	SLC9A3
ENSG00000067057.19	11504.5785384159	0.113061040895151	0.0432525745754401	0.00138266595590541	0.057495523408393	PFKP
ENSG00000068305.19	2983.53437435255	0.239453028303362	0.0837385915770157	0.000254840431324611	0.0187360261442419	MEF2A
ENSG00000068976.14	24.319140277236	1.25168299841585	0.405714229350177	9.32491587627769e-05	0.0083392322256614	PYGM
ENSG00000069424.16	1046.2735542191	-0.196493406622881	0.100758614791496	0.00236928739984974	0.0822217668711844	KCNAB2
ENSG00000070371.16	357.096311265198	0.318807778309088	0.136729735821027	0.000821991631060888	0.0424785022964545	CLTCL1
ENSG00000070404.10	2482.29416375311	0.149742868065346	0.0718181739733009	0.00312906408800836	0.098957519040495	FSTL3
ENSG00000071082.11	11975.7299719539	-0.380936282071175	0.0754580571347844	1.99991026582553e-08	6.39078101259165e-06	RPL31
ENSG00000071242.12	4979.1698095115	0.214357068295493	0.0791422307383765	0.000430590612634468	0.0270441194216091	RPS6KA2
ENSG00000072274.14	5010.77951534001	-0.139194533138792	0.065318289793239	0.00276697132453825	0.0914030484319517	TFRC
ENSG00000072506.14	1858.52624877566	-0.138594094721808	0.0624066293207822	0.00250555781021677	0.0854946675768465	HSD17B10
ENSG00000074410.14	3439.3087425579	0.248023109900064	0.0811331049818408	0.000134610378762415	0.0113712639585623	CA12
ENSG00000075239.14	849.843096886847	-0.203757524405081	0.0734312330553904	0.000329016530121826	0.022453410378601	ACAT1
ENSG00000075407.19	660.879128748871	-0.257756793001338	0.147583746017075	0.00242214104566538	0.0831622629727647	ZNF37A
ENSG00000075790.12	1238.18626862125	-0.298048031858218	0.104904995689012	0.000179192045387384	0.014120531178786	BCAP29
ENSG00000078237.7	618.840618404485	-0.410302844747921	0.25825980907873	0.00199971431999863	0.0744697789716461	TIGAR
ENSG00000081052.14	120.21992601488	0.831500683829376	0.355234000569885	0.00071179291280782	0.0382270194050511	COL4A4
ENSG00000085231.14	90.7847266116138	-0.733031030386509	0.408105007435571	0.00138916667450294	0.0575979194140563	AK6
ENSG00000087191.14	3341.47352806722	-0.113918979689534	0.0447920416647732	0.00148288197093069	0.0606027093162877	PSMC5
ENSG00000087302.9	2513.75890058505	-0.279919093921527	0.106815563919666	0.000337342983861655	0.0228618141128535	RTRAF
ENSG00000089280.19	14649.7753286732	-0.149156592048364	0.0626521190726777	0.00136192620305577	0.0573013375639658	FUS
ENSG00000089351.15	743.850982305828	0.168180935674126	0.0769819583235268	0.00200663959280814	0.0745330742505792	GRAMD1A
ENSG00000091732.17	729.433429536233	0.215777025533056	0.109285681877093	0.00241417780083798	0.0831622629727647	ZC3HC1
ENSG00000092199.19	15271.0576805665	-0.102873331747192	0.0375506719797215	0.00107163531696718	0.0499501128297479	HNRNPC
ENSG00000092841.19	10027.1168635328	-0.130629110431176	0.0368617412100248	4.91017275288563e-05	0.00518768844254872	MYL6
ENSG00000099622.14	1872.7013270647	-0.16313303712112	0.0619294656516979	0.00062221513967609	0.0350781958544784	CIRBP
ENSG00000100028.12	2066.77091805601	-1.24024982972927	0.157675790847327	1.00832349403378e-16	1.30742890867307e-13	SNRPD3
ENSG00000100142.16	1036.49534262883	-0.437084160362687	0.110829965238794	3.04757038808626e-06	0.000527816193179595	POLR2F
ENSG00000100216.6	1645.79512407974	-0.217417352415766	0.0995240093663889	0.00112655344624149	0.0517423719891785	TOMM22
ENSG00000100632.11	3302.6144903359	-0.240210001395798	0.0566206670548972	1.36949531710488e-06	0.000275114249406577	ERH
ENSG00000100764.14	2507.37398898263	-0.24166558230992	0.107132025782858	0.00100308424162747	0.0486632331235802	PSMC1
ENSG00000100813.15	7720.5592004429	-0.1403844325903	0.0465433087341655	0.00027481231416867	0.0197962022070088	ACIN1
ENSG00000100836.11	4509.11728796492	-0.12056793441854	0.0424707920202663	0.000604888409708508	0.0347884007567438	PABPN1
ENSG00000101255.12	2197.55283240865	0.187136754379314	0.0612733601313642	0.000172837647557587	0.0136954631506325	TRIB3
ENSG00000101290.14	1995.10002904662	0.18995309814298	0.0913168914997234	0.00223655029145423	0.0796053722017434	CDS2
ENSG00000101361.17	7168.78665761712	-0.138372620333278	0.0522494339142737	0.000781060484592451	0.0407800425038336	NOP56
ENSG00000101898.7	39.0153821026558	-0.883185184357377	0.494448538699684	0.00151751557841567	0.0618409276998361	MCTS2
ENSG00000101972.20	2778.35416370847	0.615733102680552	0.0715374774662083	4.99371792923404e-19	8.90317485308315e-16	STAG2
ENSG00000102218.6	571.957333237168	0.24347429712326	0.122816683453826	0.00210134123884276	0.0770473781224016	RP2
ENSG00000102309.15	355.889929328503	-0.550695176398926	0.172793533800837	4.5437922338756e-05	0.0048727901226893	PIN4
ENSG00000102317.18	4980.06976045079	-0.150361307631692	0.0537079524933422	0.000453992270898393	0.027910740344068	RBM3
ENSG00000102524.12	51.4857849575421	-0.622028446187298	0.560346321959727	0.00284151253944442	0.0927425477118896	TNFSF13B
ENSG00000102898.13	2528.34087724076	-0.291645968819223	0.0693753199119424	1.299547405523e-06	0.000264792066356779	NUTF2
ENSG00000103363.16	2423.26614013201	-0.283261917220904	0.0615991505921962	2.17228044812959e-07	5.5327207199415e-05	ELOB
ENSG00000104979.9	1529.31006468446	-0.161531646621978	0.0671352147295504	0.00118629753441891	0.052899132182443	C19orf53
ENSG00000105185.12	1643.7074197951	-0.290048785308332	0.0840704918416235	2.4764957311192e-05	0.0030450222942201	PDCD5
ENSG00000105193.9	9315.80099785231	-0.119821798018151	0.0499663154969158	0.00174181947102956	0.0680645783980675	RPS16
ENSG00000105520.11	1041.1717048519	0.204881375600979	0.0902513852776418	0.00133162850031137	0.056784170462532	PLPPR2
ENSG00000105993.15	3107.20384627095	-0.212161127375952	0.0782051660034952	0.000353499856278388	0.0235606002341058	DNAJB6
ENSG00000107223.13	3215.45193481424	-0.132296564924456	0.062497852590962	0.00276266717339989	0.0914030484319517	EDF1
ENSG00000107554.17	1995.52114569822	-0.149371279894241	0.0735442165488237	0.00307327417866464	0.0982827569737529	DNMBP
ENSG00000107679.15	1696.67679957772	0.21670707030056	0.108752933202539	0.00233095986514634	0.0818878831442911	PLEKHA1
ENSG00000108107.15	9050.12898889894	-0.386876042821148	0.0457076963274985	1.41431453224978e-18	2.24137424149762e-15	RPL28
ENSG00000108469.15	591.20710586591	-0.450271663433852	0.158485813086442	0.000137526077406191	0.0115384378943794	RECQL5
ENSG00000108852.16	231.52075215186	0.333418176444306	0.157984157093386	0.00128200037134915	0.0562620655278553	MPP2
ENSG00000109390.13	848.159955674008	-0.298913554065675	0.0767318207120179	4.92312905189944e-06	0.000792194497421232	NDUFC1
ENSG00000109475.17	6893.94368104367	-0.15704590830153	0.0579606300743122	0.000543524915404843	0.032167202773524	RPL34
ENSG00000109534.17	832.066117017971	-0.307027417199784	0.114589932105274	0.000280658853021803	0.0198647171634213	GAR1
ENSG00000110172.12	440.886882842213	-0.287669872905277	0.135998737628135	0.00117206289689709	0.052899132182443	CHORDC1
ENSG00000110700.7	8601.01276668721	-0.318538175741326	0.0465608575412527	4.20371964990693e-13	3.52692078627191e-10	RPS13
ENSG00000110713.18	4404.72428662786	0.131708296449213	0.0520751826077383	0.00132106111069739	0.0567618432762228	NUP98
ENSG00000110801.14	1196.06000228822	-0.263658161138449	0.112611599250464	0.000719261522303633	0.0382270194050511	PSMD9
ENSG00000111057.11	6006.7221103791	-0.189860653879243	0.0890844053903652	0.00152979316403885	0.0621636464350034	KRT18
ENSG00000111639.8	1735.02869641826	-0.162366781252091	0.0591970283115335	0.000453042589863016	0.027910740344068	MRPL51
ENSG00000111667.14	2489.61804533249	-0.281271873915534	0.131739072147313	0.00106303967441062	0.0498549411415426	USP5
ENSG00000111906.18	442.73893143022	-0.354878521848385	0.126181452939983	0.000182389724949841	0.0142935420162614	HDDC2
ENSG00000112081.17	13079.47197827	-0.264794953080681	0.0776740140835763	3.17106016608954e-05	0.00373791992966406	SRSF3
ENSG00000112304.11	494.885212369567	-0.29793838500816	0.165570289266409	0.00198865172089314	0.0744465603545902	ACOT13
ENSG00000112425.16	120.464062739419	-0.704712995630734	0.45635627500006	0.00162304250063541	0.0649024106433149	EPM2A
ENSG00000113300.13	1483.51075866866	-0.297998626053659	0.127653985408424	0.000659394338490136	0.0368821233328816	CNOT6
ENSG00000113384.14	3024.7299151701	0.131591422739455	0.056835662698546	0.0022668255802832	0.0798314401273561	GOLPH3
ENSG00000113621.15	970.619912728196	-0.284391678140255	0.0759742465389724	9.08315503132371e-06	0.00131734627516881	TXNDC15
ENSG00000113712.19	6054.18326480685	0.148050382992316	0.0409076155972449	3.33206978243623e-05	0.00386384644771446	CSNK1A1
ENSG00000114316.13	1963.7075171668	-0.161427987141578	0.0668215537998744	0.0011432733522644	0.0520974690841761	USP4
ENSG00000114383.10	802.747195427623	-0.466147950087366	0.114210950308948	1.65154951656913e-06	0.000327167371594799	TUSC2
ENSG00000115541.11	1394.7405943552	-0.304963689865351	0.0924618964808984	4.22297416345154e-05	0.00463825436842639	HSPE1
