GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	822.155649960281	0.0254692169272666	0.0429128898212401	0.287240896648941	0.762345065260673	TSPAN6
ENSG00000000419.14	1006.92685556778	-0.0367922274973212	0.0508073614566993	0.127332117384949	0.588662978341799	DPM1
ENSG00000000457.14	323.047453123288	0.00286332341220739	0.0441684851230809	0.825350656964881	0.962808453410193	SCYL3
ENSG00000000460.17	692.376512422515	-0.00334922215056692	0.0385414031967752	0.877431590474587	0.972838821117598	C1orf112
ENSG00000000938.13	37.1332649489553	-0.00739227994904994	0.0465157474199982	0.241067783854055	NA	FGR
ENSG00000000971.17	938.579620612688	-0.0183554510225211	0.0427524181267477	0.392279581118204	0.828889011092321	CFH
ENSG00000001036.14	2540.95676147644	-0.0503872754347518	0.0406039173088341	0.0698249039109298	0.472395665840369	FUCA2
ENSG00000001084.13	635.692552322826	-0.0101170560298059	0.0437736973878065	0.565313100956236	0.89674515473519	GCLC
ENSG00000001167.15	1238.33013939164	-0.000550630196714256	0.0368169374187667	0.982796454774583	0.995591509613309	NFYA
ENSG00000001460.18	99.5229162668319	-0.000226664467035157	0.0449887090245019	0.98288949277164	0.995591509613309	STPG1
ENSG00000001461.17	653.674513129624	0.0352594615876402	0.050020025348062	0.162508515138513	0.641556313333064	NIPAL3
ENSG00000001497.18	1658.08783629276	-0.0378765934482876	0.0396473872909167	0.14476532908422	0.620161170445003	LAS1L
ENSG00000001561.7	23.205727286416	-0.00209070844444232	0.0457624971083384	0.723021541879001	NA	ENPP4
ENSG00000001617.12	4043.74496726513	-0.00014641085743756	0.0384906989866587	0.998408083078233	0.999441396330277	SEMA3F
ENSG00000001629.10	1955.82104041015	0.0204381578121919	0.0439038178417201	0.36349774882367	0.816956964388172	ANKIB1
ENSG00000001630.18	3207.14390405912	0.0110472972013858	0.0337342262946013	0.590079879674292	0.903279923601493	CYP51A1
ENSG00000001631.17	914.778794168965	-0.00716795454638002	0.0410749736136646	0.711847401521221	0.940210998355363	KRIT1
ENSG00000002016.18	245.181053657778	-0.032721310901403	0.06144870573922	0.0311983290450825	0.33078527595181	RAD52
ENSG00000002079.14	11.989822998688	-0.000430375307414368	0.0459727582449194	0.889150872917654	NA	MYH16
ENSG00000002330.14	821.523946125994	0.104414141304454	0.0794069202450478	0.0137459390405142	0.229509586060191	BAD
ENSG00000002549.13	3881.95383195296	0.00195360478087995	0.0333117116654158	0.932460264978915	0.98758890477182	LAP3
ENSG00000002586.20	3810.9511161982	0.0102896079255668	0.0361514139845476	0.65238490782471	0.925894491010578	CD99
ENSG00000002745.13	19.7276876920769	0.0029362928459013	0.0459620018879074	0.533055588250113	NA	WNT16
ENSG00000002822.16	1022.99969708674	0.00177874009718664	0.0406634247851514	0.912979427381572	0.982621938760606	MAD1L1
ENSG00000002834.19	10626.3572506349	-0.0102267524165539	0.030069896551295	0.617791126321834	0.913154981720683	LASP1
ENSG00000002919.15	683.103648351058	0.0266097820310261	0.0514820089565957	0.17874245609411	0.66267273804165	SNX11
ENSG00000003056.8	4122.81962580611	-0.0093205752002009	0.0314860787829924	0.713483095567236	0.940210998355363	M6PR
ENSG00000003137.9	11.4818613924372	-0.00108354776298494	0.0459977173041774	0.712349812351998	NA	CYP26B1
ENSG00000003147.19	6.18730202912231	-0.000507171500471924	0.0459758296230232	0.868688812745282	NA	ICA1
ENSG00000003249.15	462.157401818069	0.156996983788648	0.116244712011013	0.0068198696325256	0.163371472736439	DBNDD1
ENSG00000003393.16	1403.66481514853	-0.00554601937750242	0.0402896238857797	0.770922927356368	0.950015793474275	ALS2
ENSG00000003400.16	275.051087547905	0.00625759092016121	0.0437650936733327	0.678834374502604	0.931122293389034	CASP10
ENSG00000003402.21	1530.39072342767	0.0236103739784283	0.0446600781918313	0.296933257363881	0.769800564045081	CFLAR
ENSG00000003436.16	5743.60256028456	0.00787359102549688	0.039737393754824	0.713851020239435	0.940210998355363	TFPI
ENSG00000003509.16	273.798200719533	-0.0320981962332979	0.0563456179799095	0.106377684199068	0.552595615659945	NDUFAF7
ENSG00000003756.17	3326.10193417994	-0.0333998978899474	0.0475492708671815	0.181356222909756	0.66390456052928	RBM5
ENSG00000003987.14	59.5936015807766	-0.00949564251859531	0.0470653784829501	0.144270964119132	0.620161170445003	MTMR7
ENSG00000003989.18	1571.64408596087	0.0183272598204355	0.0403679737221273	0.430053093180061	0.851494443264775	SLC7A2
ENSG00000004059.11	2720.56651561398	0.0523148708307298	0.0546637393961596	0.0749161629554327	0.483580798834283	ARF5
ENSG00000004139.14	628.372804527755	0.0162819774446876	0.0468113963104437	0.302878003249844	0.774755992746089	SARM1
ENSG00000004142.12	2993.64763420376	0.0229704997978357	0.0299613876364049	0.325486893023645	0.793195514045967	POLDIP2
ENSG00000004399.13	3522.50287506198	-0.00272768768992725	0.0430925747809421	0.858793252978082	0.969057459360742	PLXND1
ENSG00000004455.18	4298.01437006117	-0.061325246606963	0.0560229177803851	0.0500227683858598	0.401788671764258	AK2
ENSG00000004478.8	3089.79440405709	-0.119329906708475	0.0614373342918696	0.00401873595580099	0.11744730035057	FKBP4
ENSG00000004487.18	3023.13367824242	-0.00495282380439032	0.0298771300450989	0.965502243462152	0.992519248974961	KDM1A
ENSG00000004534.15	1911.50727350282	-0.053796903496001	0.055922795226625	0.0721423326745565	0.477422685878218	RBM6
ENSG00000004660.15	205.606837902162	0.00548037767777435	0.0442146069699995	0.689762767998768	0.933130663355483	CAMKK1
ENSG00000004700.16	2867.22748134711	0.00553111060461185	0.0398281735449087	0.87839183602947	0.97332011715367	RECQL
ENSG00000004766.17	594.590785256467	-0.0101592588901678	0.0439637672344124	0.535300647156106	0.887480779108977	VPS50
ENSG00000004776.13	36.5431363990084	-0.00451676355814575	0.0460028981500026	0.453136265114552	NA	HSPB6
ENSG00000004777.19	176.394117443533	-0.0441773772019504	0.0851926580883633	0.000421869259537834	0.0273563850010378	ARHGAP33
ENSG00000004779.10	1442.32029870852	-0.0740948872644572	0.0611897682145398	0.0301882758766057	0.326038491791791	NDUFAB1
ENSG00000004799.8	33.6833109925266	0.00128045341777376	0.0453881381966022	0.87290745046555	NA	PDK4
ENSG00000004838.14	16.8202952740999	-0.0024603656903519	0.0459150192716323	0.607092426699989	NA	ZMYND10
ENSG00000004864.14	1048.34578764784	-0.0241708138624573	0.0422386292571869	0.281258960660846	0.756077731042618	SLC25A13
ENSG00000004866.22	698.419852369576	0.00406358081525944	0.0417363587711939	0.82388625939074	0.962410256363338	ST7
ENSG00000004897.12	3114.29663016688	0.0123723587101835	0.0413010734898053	0.543598244619328	0.888979944818978	CDC27
ENSG00000004961.15	955.741701167457	0.00339172038461905	0.0386841986708278	0.873591304557554	0.972778975593012	HCCS
ENSG00000004975.12	2400.01572776494	0.0162815303043771	0.0393573945633723	0.487030193609679	0.871212351728336	DVL2
ENSG00000005007.14	4675.05989875788	-0.00239385262726499	0.0369053945028108	0.757938935313446	0.947768301235614	UPF1
ENSG00000005020.13	345.52446411932	0.00967773831275684	0.0442964569633318	0.537787293755718	0.887480779108977	SKAP2
ENSG00000005022.6	7415.42545565223	-0.0733994501048434	0.0370524675871552	0.00986200246727943	0.19747227860306	SLC25A5
