GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000001084.13	628.422183131536	0.194457007361871	0.102753736529121	0.00230485214625377	0.0908364332160561	GCLC
ENSG00000012048.25	1638.76935531821	0.201346610038171	0.0829402222563129	0.000727293046810336	0.0422711534479462	BRCA1
ENSG00000015475.19	1250.12368101574	0.192181371202756	0.0689886947892464	0.000284454397390203	0.0238050628073745	BID
ENSG00000051108.15	1272.31135921082	0.269737488120465	0.136009935139565	0.00167521702418469	0.0762373260692247	HERPUD1
ENSG00000060138.13	13851.8349415448	0.112030302405254	0.0368873274521654	0.000257145562321066	0.0229397762107816	YBX3
ENSG00000066117.15	1963.31666051465	0.132235619018508	0.0608537706915062	0.00201286742643626	0.085162052733193	SMARCD1
ENSG00000067057.19	11275.5178091514	0.113811387984763	0.037487110179152	0.000245466576202286	0.0222427508577631	PFKP
ENSG00000071242.12	4902.59219276116	0.233555902572768	0.057485248717482	2.75923802663805e-06	0.000858197600285155	RPS6KA2
ENSG00000072422.17	153.201857959452	0.386846040023078	0.178751988566265	0.000961385495991833	0.0524342383311565	RHOBTB1
ENSG00000074410.14	3361.38456869876	0.208102945442155	0.0706404546538915	0.000170368263216105	0.0183233455429059	CA12
ENSG00000078699.22	500.928946082757	0.61505388918347	0.168183084103706	1.21011810988771e-05	0.00273059592325251	CBFA2T2
ENSG00000085117.12	5982.34468078162	0.112152318149663	0.0397438182346226	0.000476393390397431	0.0320604393958692	CD82
ENSG00000089351.15	734.842179146983	0.16386208892732	0.0616831431590635	0.00045977700865864	0.0314947250931168	GRAMD1A
ENSG00000093010.15	2147.73512725481	0.157428104195104	0.0570235074935692	0.000381996591898443	0.0289211630234689	COMT
ENSG00000099381.20	1664.34336012395	0.132196240479172	0.0586550677018948	0.00167605522206412	0.0762373260692247	SETD1A
ENSG00000099864.18	993.841680234336	0.296889215039272	0.0947420364074161	7.85504097313364e-05	0.0113358985941694	PALM
ENSG00000099875.16	3766.41191127038	0.234794990813531	0.0674020112358936	2.67605713110394e-05	0.0054992974044186	MKNK2
ENSG00000100221.11	2313.0877523534	0.139143826196528	0.0531410730088255	0.000633596502870232	0.0389405539323729	JOSD1
