GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000004142.12	3044.80506616405	0.170387621354257	0.0437949282583528	8.72607087503312e-06	0.00319115643778063	POLDIP2
ENSG00000007520.4	1430.75918481335	0.218016609023195	0.0739452848576731	0.000191905997738938	0.0175419010784205	TSR3
ENSG00000008853.18	635.758725446748	0.646131986234098	0.161664896800362	3.36649081269615e-06	0.00207754564278511	RHOBTB2
ENSG00000010278.15	6158.54055671165	0.103580243267294	0.0439655421780877	0.00282471997184696	0.094227314196003	CD9
ENSG00000013588.9	1960.83345342638	0.261541087912472	0.076589215918507	3.66001582562744e-05	0.00785630353527072	GPRC5A
ENSG00000026025.16	51379.1132596219	0.12236465985328	0.0464660761266933	0.00115093399382395	0.0550253878649662	VIM
ENSG00000055950.17	1185.95437128917	0.225543117403885	0.0766135979878363	0.000187740503130283	0.0175419010784205	MRPL43
ENSG00000058600.16	1148.54725865178	0.207846262471878	0.108890953212977	0.00263637355779572	0.0903873351030379	POLR3E
ENSG00000059122.17	1303.83926305628	0.308890178364589	0.126308697608687	0.000642701442930862	0.0383093865696597	FLYWCH1
ENSG00000060138.13	14194.7181594011	0.115568212325266	0.0452533954500719	0.00138425919973786	0.0596863551886969	YBX3
ENSG00000064961.19	4535.77352806162	0.139277100632881	0.0605978542706486	0.00192567386203218	0.0728509720831637	HMG20B
ENSG00000067057.19	11538.7144516966	0.121729732382229	0.0451309928782286	0.000976804648080417	0.049209025995643	PFKP
ENSG00000067225.21	40249.0924740977	0.163122469671528	0.0414307310119214	8.25315101802363e-06	0.00319115643778063	PKM
ENSG00000074800.16	63501.5022932702	0.131415732726142	0.0301285826143606	1.62522344596315e-06	0.00145885966413092	ENO1
ENSG00000075218.19	2196.76914975583	0.135649379388532	0.051785519809776	0.000874939992343573	0.0459529653425555	GTSE1
ENSG00000081692.13	592.262384933321	0.370781920755697	0.124926495797048	0.000137653676119473	0.0153842186851746	JMJD4
ENSG00000084623.12	3216.73237667591	0.101398852644948	0.0432849072039189	0.00301717833715224	0.0973600342423199	EIF3I
ENSG00000085117.12	6146.04180495731	0.134230031871981	0.0479778809193614	0.000546577252811507	0.0350448298328624	CD82
ENSG00000087460.29	16182.2446761667	0.137205500124589	0.042539494249913	0.000138666747314213	0.0153842186851746	GNAS
ENSG00000089157.16	29687.6408184406	0.101383777792248	0.0425687046511347	0.00271193148947469	0.0917572530177519	RPLP0
ENSG00000091542.9	3237.93723699174	0.155116989145419	0.0483363484133375	0.000121396412594278	0.0144252796498475	ALKBH5
ENSG00000095321.18	1570.70060992391	0.17424236528709	0.0622386272991349	0.000367967916633969	0.0275208395212568	CRAT
ENSG00000097021.21	2021.40392575258	0.172609340600247	0.0731382307525207	0.00122541809448601	0.0568064707274878	ACOT7
ENSG00000099804.9	1465.8013683987	0.156392344098475	0.0778055806941884	0.00297730174270919	0.096703544103653	CDC34
ENSG00000100084.14	1727.44799971827	0.255766467836485	0.0762511604705277	4.58828776323319e-05	0.0090609506748329	HIRA
ENSG00000100097.12	17190.8486690208	0.129608938843689	0.0606127000895175	0.00314339305057919	0.0987490336110112	LGALS1
