GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	799.51592648677	-0.0355778127063529	0.069781229824004	0.493118818386721	0.690231851529003	TSPAN6
ENSG00000000419.14	958.613125414825	-0.307208886777053	0.0768856925078594	5.87976259453845e-06	0.000238092934361645	DPM1
ENSG00000000457.14	317.078732990865	0.0117181292994992	0.0829064085337812	0.823400786719613	0.91365223868923	SCYL3
ENSG00000000460.17	674.628983572483	-0.106472026465113	0.0707170442923411	0.0535125625864959	0.173441813226433	C1orf112
ENSG00000000938.13	34.7750861329356	-0.0340403752931925	0.106890298407952	0.205484358345536	NA	FGR
ENSG00000000971.17	892.464497405359	-0.254358671960835	0.0819978061835243	0.000210977332315395	0.00353435675940744	CFH
ENSG00000001036.14	2510.58366356155	-0.0359010100044503	0.0409657795086969	0.338111450872007	0.551504551451504	FUCA2
ENSG00000001084.13	622.973064749803	0.00756473714181028	0.0663789178091118	0.881504794100931	0.943219065875323	GCLC
ENSG00000001167.15	1221.71223912393	0.0291378433811439	0.0601486987402399	0.551190951350946	0.736038835972296	NFYA
ENSG00000001460.18	94.8856289854841	0.0193269304357526	0.092859086459433	0.651216832269388	0.80581670195831	STPG1
ENSG00000001461.17	652.130425491313	0.040360624035492	0.0647729082149641	0.424163992663664	0.632564528116172	NIPAL3
ENSG00000001497.18	1647.40432020836	-0.00701822255264566	0.0452785577360777	0.863011448562242	0.933094436094295	LAS1L
ENSG00000001561.7	22.0494680076938	-0.0225936771672628	0.103098156697895	0.350315139334108	NA	ENPP4
ENSG00000001617.12	4137.73228111274	0.120183118538697	0.0750976130851416	0.0393860019136509	0.141707134785532	SEMA3F
ENSG00000001629.10	1895.54395554816	-0.031296463556647	0.0637264027207718	0.530785168901279	0.718425166644125	ANKIB1
ENSG00000001630.18	3122.11291591829	0.011265718722543	0.0441237118756869	0.778358445489306	0.889315376049654	CYP51A1
ENSG00000001631.17	865.076323553437	-0.0846461612896605	0.0791427394656041	0.135121607220999	0.319938777619181	KRIT1
ENSG00000002016.18	250.983397965093	0.0444457751007627	0.0897374954683939	0.393663935772339	0.606274147378708	RAD52
