GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000023171.20	832.405003717828	-0.334217388715987	0.11011403460432	7.80041433186323e-05	0.0280247613086577	GRAMD1B
ENSG00000049239.13	2811.54410949929	-0.268091199613589	0.0853308321531515	5.42886422600668e-05	0.0209315818743204	H6PD
ENSG00000068024.18	655.249509910773	0.437558073492391	0.122244666081344	1.36079276649224e-05	0.00632688589785568	HDAC4
ENSG00000076641.4	1308.99984913932	0.531836712855076	0.182612783750046	0.000130102544734292	0.0395511735992247	PAG1
ENSG00000078900.15	464.545809679571	-0.300933397776154	0.11472276198536	0.000258537371664427	0.0669993241192009	TP73
ENSG00000084636.18	153.783094192431	0.953313214197407	0.337938442749769	0.000166857548060969	0.0479578930863236	COL16A1
ENSG00000105875.15	460.239531031681	0.570518288379715	0.205873105284042	0.000192634151063357	0.0534238712282377	WDR91
ENSG00000116985.12	137.813223251801	-0.986316553701302	0.220555043410047	2.832721225105e-07	0.000298531047509732	BMP8B
ENSG00000118515.12	1031.53020688503	0.301110193474471	0.0996851623984354	9.06873085265444e-05	0.0298663536080753	SGK1
ENSG00000120129.6	3080.7427131516	0.460376311736276	0.0826930216352572	1.22710950603774e-09	4.41551000132208e-06	DUSP1
ENSG00000120738.8	11021.9658062525	0.280189318895855	0.0660309347440532	9.55355927471431e-07	0.000755113325073419	EGR1
ENSG00000121454.6	79.6814091773315	0.955639260126153	0.314680167618845	8.7976244820125e-05	0.0295899676195008	LHX4
ENSG00000125968.9	5676.41899068461	0.382232370111127	0.0774480469818101	3.64868954237256e-08	4.43680648352503e-05	ID1
ENSG00000126777.18	3826.33923879498	-0.543855840083516	0.181832347303548	8.09068498609281e-05	0.0284216773911456	KTN1
ENSG00000127419.17	244.747280233228	-0.52134840610302	0.186505549877162	0.000149138546141973	0.0444826818379681	TMEM175
ENSG00000128965.13	600.864407226417	0.487398083496138	0.163309529860636	0.000103302030475328	0.0326599699550798	CHAC1
ENSG00000130513.7	2291.57311236715	0.237597706223615	0.0901275814887205	0.000284075973058179	0.0724302093887693	GDF15
ENSG00000135315.12	227.225071734556	-0.680509250399789	0.264440017283106	0.000256360701046177	0.0669993241192009	CEP162
ENSG00000136944.19	30.6611306584773	-1.97647791235871	0.488483865012621	2.03879269166851e-06	0.00134288478624566	LMX1B
ENSG00000136997.22	1286.78554610198	0.486824778890687	0.112402306049981	6.30954155984006e-07	0.000590637502796897	MYC
ENSG00000138778.14	740.180245768645	-1.28241761552712	0.510591521917613	0.000246890701473341	0.0669993241192009	CENPE
ENSG00000139318.8	1217.11839872678	0.467391064930153	0.0919759530240589	1.69736511927052e-08	2.7597409026694e-05	DUSP6
ENSG00000140836.17	1405.52107235689	-0.909296798204598	0.15464220756401	1.518148420297e-10	7.99963007601832e-07	ZFHX3
ENSG00000142871.18	17065.4987251567	0.381228433862452	0.0501199611286782	1.40903260726605e-15	1.11369937278309e-11	CCN1
ENSG00000143554.14	194.145470710198	-0.968829598602023	0.228180342364256	7.28309171468472e-07	0.000605953230661769	SLC27A3
ENSG00000144674.19	1043.63051655088	-0.932796352313142	0.219101472478345	6.72537642354766e-07	0.000590637502796897	GOLGA4
ENSG00000145743.18	246.010013286845	-0.758460187437462	0.154730649744745	3.55827098080906e-08	4.43680648352503e-05	FBXL17
ENSG00000151914.22	2225.41462960638	-0.623035681034938	0.196548186420787	4.52450775777037e-05	0.0178808546587085	DST
ENSG00000158050.5	331.69465533784	0.575842578205686	0.139919055978537	1.62642511290565e-06	0.00111784905151359	DUSP2
ENSG00000160888.7	5384.4903844794	0.263694558720426	0.0795956257520173	3.53288380299522e-05	0.0143199556814739	IER2
ENSG00000161860.8	49.3188056803807	-1.16876569110699	0.430828278133342	0.000165034190957877	0.0479578930863236	SYCE2
ENSG00000164651.18	18.6766591927688	-2.19064836098847	0.574280946430313	6.35774849097798e-06	0.003350109604846	SP8
ENSG00000164741.15	940.630241221705	0.307572081045054	0.097362293746729	5.82189123427379e-05	0.0214028968910233	DLC1
ENSG00000169429.12	478.460163362378	0.455134383475139	0.143648215758611	5.64644057497708e-05	0.0212521268117232	CXCL8
ENSG00000169499.15	1035.90658656797	-0.35246511287424	0.107508695833082	3.47579714612354e-05	0.0143199556814739	PLEKHA2
ENSG00000170345.10	1179.12618232659	0.481307764542771	0.0967576005067723	2.97438913027726e-08	4.27446757922027e-05	FOS
ENSG00000173846.13	1116.03753479902	0.326933303905495	0.0897942785506288	1.0684168889223e-05	0.00527797943127616	PLK3
ENSG00000186496.12	18.3495859706056	2.84786683999655	0.5348465092167	4.70797408746454e-09	9.30295679682994e-06	ZNF396
ENSG00000187535.14	684.70977698554	0.390025965707725	0.130532344325166	9.94894567192421e-05	0.0320965169758731	IFT140
ENSG00000198393.8	520.863991528597	0.545984229668737	0.131311572914888	1.36782933895466e-06	0.000982847554099784	ZNF26
ENSG00000204574.14	279.4016275021	0.933545504132347	0.311337531917769	0.000105724549795896	0.0327704643759513	ABCF1
ENSG00000205534.6	251.880082136635	0.514698225652857	0.183815414712035	0.000174350164350123	0.0492165606794061	SMG1P2
ENSG00000206492.11	90.0155402159823	1.6126791261557	0.458275438600667	2.06424791464796e-05	0.00932332315278714	GNL1
ENSG00000225840.2	47717.9317568444	-1.82995859696135	0.165109061531389	1.96255917723322e-30	3.10241354737028e-26	NA
ENSG00000226936.4	18.315700554951	-8.08210850620125	2.71078726828175	1.95524860888503e-09	4.41551000132208e-06	B3GALT4
ENSG00000227231.3	748.84561423345	0.340071603509442	0.0867703812509741	3.61916092804988e-06	0.00197281710174526	IER3
ENSG00000235863.4	30.8866361674583	1.85821835185847	0.39019029454181	1.0339649886016e-07	0.000116749418141529	B3GALT4
ENSG00000238196.5	33.8556066235671	-1.58080988458989	0.457218826174891	2.21877833371176e-05	0.00974290219425429	NOTCH4
ENSG00000251705.1	487.661491991411	-0.73380145817434	0.145702476225093	1.74578751434046e-08	2.7597409026694e-05	RNA5-8SP6
ENSG00000265972.6	13711.2092306898	0.285314530107611	0.0713971998440477	3.19494568604641e-06	0.00197281710174526	TXNIP
ENSG00000269897.5	39.3616303994826	-2.73043433065774	0.649991009932074	6.38091251999544e-07	0.000590637502796897	COMMD3-BMI1
