GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000023171.20	832.405003717828	-0.334217388715987	0.11011403460432	7.80041433186323e-05	0.0280247613086577	GRAMD1B
ENSG00000049239.13	2811.54410949929	-0.268091199613589	0.0853308321531515	5.42886422600668e-05	0.0209315818743204	H6PD
ENSG00000078900.15	464.545809679571	-0.300933397776154	0.11472276198536	0.000258537371664427	0.0669993241192009	TP73
ENSG00000116985.12	137.813223251801	-0.986316553701302	0.220555043410047	2.832721225105e-07	0.000298531047509732	BMP8B
ENSG00000126777.18	3826.33923879498	-0.543855840083516	0.181832347303548	8.09068498609281e-05	0.0284216773911456	KTN1
ENSG00000127419.17	244.747280233228	-0.52134840610302	0.186505549877162	0.000149138546141973	0.0444826818379681	TMEM175
ENSG00000135315.12	227.225071734556	-0.680509250399789	0.264440017283106	0.000256360701046177	0.0669993241192009	CEP162
ENSG00000136944.19	30.6611306584773	-1.97647791235871	0.488483865012621	2.03879269166851e-06	0.00134288478624566	LMX1B
ENSG00000138778.14	740.180245768645	-1.28241761552712	0.510591521917613	0.000246890701473341	0.0669993241192009	CENPE
ENSG00000140836.17	1405.52107235689	-0.909296798204598	0.15464220756401	1.518148420297e-10	7.99963007601832e-07	ZFHX3
ENSG00000143554.14	194.145470710198	-0.968829598602023	0.228180342364256	7.28309171468472e-07	0.000605953230661769	SLC27A3
ENSG00000144674.19	1043.63051655088	-0.932796352313142	0.219101472478345	6.72537642354766e-07	0.000590637502796897	GOLGA4
ENSG00000145743.18	246.010013286845	-0.758460187437462	0.154730649744745	3.55827098080906e-08	4.43680648352503e-05	FBXL17
ENSG00000151914.22	2225.41462960638	-0.623035681034938	0.196548186420787	4.52450775777037e-05	0.0178808546587085	DST
ENSG00000161860.8	49.3188056803807	-1.16876569110699	0.430828278133342	0.000165034190957877	0.0479578930863236	SYCE2
ENSG00000164651.18	18.6766591927688	-2.19064836098847	0.574280946430313	6.35774849097798e-06	0.003350109604846	SP8
ENSG00000169499.15	1035.90658656797	-0.35246511287424	0.107508695833082	3.47579714612354e-05	0.0143199556814739	PLEKHA2
ENSG00000225840.2	47717.9317568444	-1.82995859696135	0.165109061531389	1.96255917723322e-30	3.10241354737028e-26	NA
ENSG00000226936.4	18.315700554951	-8.08210850620125	2.71078726828175	1.95524860888503e-09	4.41551000132208e-06	B3GALT4
ENSG00000238196.5	33.8556066235671	-1.58080988458989	0.457218826174891	2.21877833371176e-05	0.00974290219425429	NOTCH4
ENSG00000251705.1	487.661491991411	-0.73380145817434	0.145702476225093	1.74578751434046e-08	2.7597409026694e-05	RNA5-8SP6
ENSG00000269897.5	39.3616303994826	-2.73043433065774	0.649991009932074	6.38091251999544e-07	0.000590637502796897	COMMD3-BMI1
