GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000116985.12	135.310297337721	-1.0061323306169	0.301865308887175	2.48638416267389e-05	0.0295650202973946	BMP8B
ENSG00000119711.13	589.472334534282	-0.414318866207418	0.118826351440262	1.64660050009926e-05	0.0231392277550312	ALDH6A1
ENSG00000132017.11	883.261056159054	-0.807689905873432	0.215473124591235	5.65328050146318e-06	0.0109235512489522	DCAF15
ENSG00000140836.17	1453.32607001136	-0.755390409195493	0.164916997274098	1.64083909314602e-07	0.000845469690061703	ZFHX3
ENSG00000145743.18	231.794996834707	-0.628212296306087	0.168276337320202	6.40598450882956e-06	0.011002634281943	FBXL17
ENSG00000147162.15	2733.73091959609	-0.247964593329604	0.0732228775223555	2.33339748435075e-05	0.0295650202973946	OGT
ENSG00000169871.13	1831.56017064252	-0.254464048465923	0.076950007221596	3.09000412819001e-05	0.0341180598668295	TRIM56
ENSG00000172775.18	1307.9739071036	-0.229199610733213	0.0755387744683886	7.70144082088937e-05	0.0661382623385044	PSME3IP1
ENSG00000173214.7	282.068272889548	-0.717450766079685	0.183404517136233	3.06463369258156e-06	0.00676758680284655	MFSD4B
ENSG00000174231.18	9826.34154883735	-0.244055616967816	0.0926234093776648	0.000150465688309436	0.096912442078636	PRPF8
ENSG00000225840.2	51102.0624664581	-1.04858449695247	0.331920010405746	4.11876756209083e-05	0.0424452726498667	NA
ENSG00000251705.1	509.178323834277	-0.668075409891411	0.167989452124031	2.35482499454947e-06	0.00676758680284655	RNA5-8SP6
ENSG00000253861.1	26.841611196583	-8.50785766906289	2.96662463671134	1.12857674708759e-07	0.000845469690061703	SLC2A3P1
ENSG00000272916.5	477.075286845186	-0.374627745015818	0.130285818585671	0.000121939826067983	0.0856793559708583	NA
