GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000065413.20	151.720599952801	-1.11685862242953	0.306732584812867	9.26880360101081e-06	0.012570182919989	ANKRD44
ENSG00000067533.6	995.625119808008	0.531404787891729	0.119727490800628	3.71427861324227e-07	0.000920401888066298	RRP15
ENSG00000099899.16	1174.30987599273	-0.355872863812004	0.111697863610122	5.11978029795691e-05	0.0381884412424606	TRMT2A
ENSG00000100380.15	6033.2784608505	0.20461030977043	0.0674983101887316	9.12997895836798e-05	0.0504448244818272	ST13
ENSG00000114270.18	903.7797763586	-0.397529465295379	0.151811167257263	0.000263006953700277	0.0891713121659256	COL7A1
ENSG00000116095.11	622.844315348409	0.569333955282595	0.142641379352656	2.53065233704721e-06	0.00377522715640703	PLEKHA3
ENSG00000116191.19	837.525750002703	0.54753834871116	0.189826863267389	0.000129024207843902	0.0601494728942292	RALGPS2
ENSG00000116641.18	1222.66191540503	0.679647485900167	0.191776492735959	1.43002876112494e-05	0.0152918078685962	DOCK7
ENSG00000123411.15	229.527427609743	0.693748714701025	0.236956701486074	0.000109842693205245	0.0566564126251517	IKZF4
ENSG00000127586.17	1543.98418182855	-0.330936166271018	0.105462666675819	6.01738237924845e-05	0.040803322878922	CHTF18
ENSG00000130338.13	541.053039581778	0.672719639777234	0.241168453558606	0.000165009072337591	0.0703315811752052	TULP4
ENSG00000140836.17	1365.4671447542	-0.570912723695672	0.159742678903685	1.25573372558743e-05	0.0152918078685962	ZFHX3
ENSG00000144711.17	578.719146303345	0.39813768185395	0.14905973278675	0.000239362008557357	0.0850191058013966	IQSEC1
ENSG00000145819.18	539.589178104429	0.448021911399683	0.166456945976106	0.000220192539157879	0.0821208074789311	ARHGAP26
ENSG00000151422.14	588.166097218346	-0.728251833999548	0.18051293252599	2.07987264686809e-06	0.00344750446066424	FER
ENSG00000157693.15	422.009338131962	0.49120664114925	0.190069262480613	0.00029700329605516	0.0984598926789083	TMEM268
ENSG00000159217.10	762.948895927974	0.432031160793112	0.156480104587212	0.000184968107882248	0.0745771414429022	IGF2BP1
ENSG00000162066.16	1044.3097952539	-0.356461626993574	0.116928300152248	7.89123471789846e-05	0.0490505998006705	AMDHD2
ENSG00000162591.17	2362.47987302499	-0.265842242613146	0.07870364409558	2.74618077000781e-05	0.024098543957045	MEGF6
ENSG00000163884.4	47.6165310637053	-1.24623620819062	0.440092965551993	0.000148503916005586	0.0659134592340894	KLF15
ENSG00000164142.16	138.318650209285	0.869156565805881	0.289741618302345	8.79392696264072e-05	0.0504448244818272	FHIP1A
ENSG00000167280.17	260.538317798448	-0.832835271930153	0.243404358825874	2.13866189934675e-05	0.0208299453020307	ENGASE
ENSG00000167528.13	186.132104032616	-1.42897705116724	0.237268481965962	6.68314504164341e-11	4.98495788656182e-07	ZNF641
ENSG00000171310.11	530.690867741564	0.846385892357053	0.192540324549102	4.31881835129648e-07	0.000920401888066298	CHST11
ENSG00000171490.13	4115.89744443308	0.251165457420808	0.0848646604894332	0.000110137817812669	0.0566564126251517	RSL1D1
ENSG00000174028.6	104.49947581961	1.29974556936657	0.450298737695136	0.000127362801488997	0.0601494728942292	FAM3C2P
ENSG00000178188.16	1368.3784042011	-0.390461229237068	0.111293087355782	1.4350805078452e-05	0.0152918078685962	SH2B1
ENSG00000178695.6	3603.85085071275	0.199235376990061	0.0707246546621167	0.00018030067664022	0.0745771414429022	KCTD12
ENSG00000178773.15	1555.54877268041	-0.336353817856302	0.115364722286681	0.000118845238650409	0.0590977756728934	CPNE7
ENSG00000179912.21	937.504026169924	-0.462272202706072	0.141862892261882	3.92840379053638e-05	0.0325577376373454	R3HDM2
ENSG00000180758.12	184.339430343666	0.985306726024907	0.200274634919786	3.55829257472061e-08	0.000132759073713584	GPR157
ENSG00000183426.17	1090.75988020383	-0.277071011491862	0.102197892139253	0.000219608045786105	0.0821208074789311	NPIPA1
ENSG00000186517.14	32.5437800742042	1.40905499604641	0.516962627449535	0.000199773267048197	0.0784267788901315	ARHGAP30
ENSG00000196950.14	630.925196269597	-0.654073648648361	0.132913934365469	3.55970166814811e-08	0.000132759073713584	SLC39A10
ENSG00000198695.2	7712.51198181066	0.172539708130813	0.0638311544491783	0.000252466013901996	0.087588092916046	MT-ND6
ENSG00000225840.2	37146.6255434301	-1.57228913214955	0.238432039841686	1.82692510661741e-12	2.72540687405185e-08	NA
ENSG00000249072.1	12519.7187548332	0.507467008796493	0.159247314930637	5.02240731654768e-05	0.0381884412424606	NA
ENSG00000251705.1	363.653260812593	-0.749407814961713	0.176898184838904	9.07713807275704e-07	0.00169265932211737	RNA5-8SP6
ENSG00000261992.2	294.855559028285	0.992203430924151	0.331031468848016	8.95645629214324e-05	0.0504448244818272	GATAD2B
ENSG00000262795.5	118.350315077723	1.20950958613729	0.355620437091271	2.23407376881949e-05	0.0208299453020307	IFNGR2
ENSG00000275349.4	649.451183112807	-0.814301195737182	0.305887317186018	0.000234564401261648	0.0850191058013966	SMN1
ENSG00000276879.2	44.6375837095898	-1.35602541023638	0.480991252671849	0.000150225071320488	0.0659134592340894	IFI27L2
ENSG00000277773.4	667.671358340718	0.829672156535865	0.269539841310439	7.05677191786931e-05	0.045770836291641	SMN2
