GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000049239.13	2726.72835781429	-0.312135596736068	0.0571031741010631	1.87822452487754e-09	4.6385885016059e-06	H6PD
ENSG00000055609.21	1015.35438217823	-0.554629337293963	0.180241921880238	6.11298012516368e-05	0.0362328557978702	KMT2C
ENSG00000110514.20	1963.45143420681	-0.179664428808737	0.0693607481003005	0.000275894495033995	0.0992440233054451	MADD
ENSG00000133026.14	3093.55684751275	-0.582212292157756	0.0875493150511546	1.191237178241e-12	8.82587625358755e-09	MYH10
ENSG00000134569.10	88.8100886770484	-1.0066730503664	0.245344645665761	1.37856615468294e-06	0.00202701324062299	LRP4
ENSG00000136944.19	30.7863566991737	-1.61579823382009	0.477855991866246	2.45361532959208e-05	0.0191356168178397	LMX1B
ENSG00000139133.7	137.731420949468	-0.780828966762445	0.230343053462454	2.2096832788483e-05	0.0191356168178397	ALG10
ENSG00000140836.17	1335.84633046479	-0.739248793609746	0.180903519723452	1.50473381339269e-06	0.00202701324062299	ZFHX3
ENSG00000149646.12	26.4062357172825	-2.42000606877737	0.54498841419162	4.44448844343549e-07	0.000823230371935339	CNBD2
ENSG00000153266.13	19.1403754568735	-1.64845567096054	0.557964967443272	0.000111526838229762	0.052861470050316	FEZF2
ENSG00000154222.15	903.022900315879	-0.249409656820549	0.0922896899100408	0.000209268857808942	0.0795114342311	CC2D1B
ENSG00000164651.18	18.8925387050977	-1.69646533467538	0.533425991545629	5.55354799033248e-05	0.0342885308836444	SP8
ENSG00000169499.15	1013.18131580151	-0.346885358629814	0.0913088509812902	5.0221983116664e-06	0.00572453342940559	PLEKHA2
ENSG00000182325.11	311.583766422447	-0.458519270596063	0.142709599917087	4.2574576733336e-05	0.0286759126379351	FBXL6
ENSG00000185359.14	3640.21694918788	-0.226726302546043	0.0634829783533408	1.23429163381264e-05	0.0121931556198905	HGS
ENSG00000196296.14	297.953703305318	-0.444783770096928	0.173677315694377	0.000281296327360554	0.0992440233054451	ATP2A1
ENSG00000225840.2	46850.858072101	-1.7403104444356	0.166278554546857	4.22131452809659e-27	6.25514386773352e-23	NA
ENSG00000238196.5	31.7425764906889	-1.33197831180955	0.483705470645632	0.000191242438329994	0.0745744855572064	NOTCH4
ENSG00000251705.1	478.589325331977	-0.796255156485804	0.143792996049671	1.18496314881414e-09	3.5117567878256e-06	RNA5-8SP6
ENSG00000278268.2	97.4209823306182	-1.66697840628529	0.493393341853456	1.944075573045e-05	0.018004569900863	MOAP1
ENSG00000285901.2	301.250669953987	-0.535422157340683	0.191820716764313	0.000153992236684436	0.0616718098159454	NA
