GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	924.545058127139	0.434665898857983	0.0893534250121705	3.76010494854263e-07	3.8556628770827e-06	TSPAN6
ENSG00000000419.14	1135.93742847911	0.296041783762906	0.0979143899494064	0.00131685127234115	0.00540914464837057	DPM1
ENSG00000000971.17	1013.46373095394	0.259947246198241	0.139541095213333	0.0353349074382378	0.0863123215904234	CFH
ENSG00000001497.18	1548.77267982849	0.19290656983507	0.0749950848118227	0.00765534015077632	0.0242411282027648	LAS1L
ENSG00000001617.12	2634.54142936363	-0.629046105146908	0.0670739805507938	1.14632850158751e-21	9.39746762095071e-20	SEMA3F
ENSG00000001630.18	2764.19641599518	0.193116355767234	0.0694781473733597	0.00414560691800196	0.0143183311608387	CYP51A1
ENSG00000002330.14	923.363214164277	0.31019707024212	0.101107561655997	0.00110219957539279	0.00465707123565199	BAD
ENSG00000002549.13	4336.03710724635	0.276156504229142	0.0692427573016273	3.95559929430708e-05	0.000253885896710828	LAP3
ENSG00000003056.8	4423.88713001952	0.219412160505126	0.0614215915961961	0.000252362177748909	0.00130772561272294	M6PR
ENSG00000003137.9	10.4436377550668	-0.167890748125767	0.356958632716768	0.0272459856516342	0.0699640241557554	CYP26B1
ENSG00000003249.15	335.654055536359	-0.341413276019577	0.146664400410168	0.00787854932189287	0.0248182877692339	DBNDD1
ENSG00000003436.16	5639.44483837729	0.578684977610644	0.0960045023229198	3.67064534952405e-10	6.64403960812216e-09	TFPI
ENSG00000003756.17	3577.65764328346	-0.391302812943343	0.0901877332861723	5.12771030035283e-06	4.14227024993049e-05	RBM5
ENSG00000004139.14	576.056110100217	-0.512881934474524	0.233968182391014	0.00485090310460242	0.0163462141589191	SARM1
ENSG00000004142.12	2988.42563038934	0.212948780798879	0.0749385570594516	0.00322830465744513	0.0115866000376314	POLDIP2
ENSG00000004399.13	2504.97458514743	-0.454465825001013	0.127669333450202	9.83313993907245e-05	0.000567640351028273	PLXND1
ENSG00000004455.18	3930.04576692232	0.387176588484366	0.0972856968768328	2.68611548812764e-05	0.000180089456395715	AK2
ENSG00000004478.8	2867.93460741747	0.293826340504021	0.0713900440592961	2.15307902853934e-05	0.000147544477966336	FKBP4
ENSG00000004534.15	1667.57112596198	-0.342211102850544	0.0728467286043769	1.14459167630648e-06	1.06384543687418e-05	RBM6
ENSG00000004700.16	2868.68198957536	0.366147998388978	0.150262829555729	0.00566400652987331	0.0186560623243744	RECQL
ENSG00000004776.13	32.9554314224784	-1.3952278820997	0.53061772858724	0.000322121200568622	0.00162143939970587	HSPB6
ENSG00000004779.10	1486.31581998065	0.302898317248761	0.0730334047284758	1.82325697586643e-05	0.000127307542064329	NDUFAB1
ENSG00000004799.8	56.8762446354534	2.32377304883245	0.300869504612146	7.47313333744723e-16	2.99195679406737e-14	PDK4
ENSG00000004897.12	2818.26715687158	0.226838541519288	0.113240622765853	0.0297262880574633	0.0750006688100206	CDC27
ENSG00000004961.15	944.405317378411	0.235090979045003	0.0882663994105407	0.0051166996706509	0.0171079293692415	HCCS
ENSG00000004975.12	1919.95218776159	-0.211242101345745	0.0884428008336473	0.0118075801874116	0.0349936203947504	DVL2
ENSG00000005007.14	4280.37417438963	-0.446677562047541	0.0932651205195239	4.87563389306632e-07	4.89268598051616e-06	UPF1
ENSG00000005022.6	8055.03013323969	0.258094177084714	0.0497799808233403	1.39688963031036e-07	1.55707970734019e-06	SLC25A5
ENSG00000005059.16	876.462666465405	0.282492711105732	0.101140269249326	0.00261917728792287	0.00974112647601462	MCUB
ENSG00000005075.16	1130.05123279019	0.358585143347426	0.0995246267420656	0.000134153736298694	0.000749307134178792	POLR2J
ENSG00000005100.13	1375.74313720583	-0.218351033461294	0.0895743408128002	0.010056761759612	0.0305288923791985	DHX33
ENSG00000005156.12	419.920697059267	-0.370021100114575	0.182233669245112	0.0136437142810765	0.0394100874479866	LIG3
ENSG00000005175.10	875.800332715703	0.386446250536215	0.146524031820857	0.00298083556455965	0.0108441104102576	RPAP3
ENSG00000005206.17	1159.86242492803	-0.655321367127186	0.138085666007981	2.95849536396744e-07	3.10561837190457e-06	SPPL2B
ENSG00000005339.15	2373.18190170943	-1.04253948011809	0.20685893036184	3.12015902463605e-08	3.96052301252769e-07	CREBBP
ENSG00000005448.17	1420.43257742805	0.353921905380749	0.112599648538175	0.000711200303529311	0.00320143448660173	WDR54
ENSG00000005471.19	15.0013362877632	-0.565356821123883	1.84354628481371	0.00819750162874524	0.0256797594492072	ABCB4
ENSG00000005486.17	958.669472854706	-0.605702603828085	0.108907360756677	4.61073912452815e-09	6.71417218002248e-08	RHBDD2
ENSG00000005801.18	349.756281675615	0.28135917683325	0.135381280737497	0.0198412164195738	0.0540375825636977	ZNF195
ENSG00000005812.11	1769.8827962485	0.359428846813984	0.088922003145943	2.29404037949978e-05	0.000156030999297496	FBXL3
ENSG00000005844.19	11.7889163500142	-2.49061014774395	0.989857486355498	0.00036116108497377	0.00178495370034564	ITGAL
ENSG00000005884.18	8477.41098029204	-0.2801672321182	0.0681482910375056	2.22421051677857e-05	0.000151948490947827	ITGA3
ENSG00000005961.19	34.3851625984841	-0.68642334322748	0.483616281610482	0.0100899226319221	0.0306235575433891	ITGA2B
ENSG00000006015.18	309.784268709121	0.307482086514519	0.164869548061522	0.0282315062739451	0.0720149750096321	REX1BD
ENSG00000006025.13	222.653851680331	-1.25202580203442	0.153518334207888	2.39986141826933e-17	1.17669154476788e-15	OSBPL7
ENSG00000006062.18	651.1699889917	-1.13515293434443	0.110971650383291	1.10226680058794e-25	1.34476549671729e-23	MAP3K14
ENSG00000006118.15	3025.29158374744	-0.47194340930929	0.111825472259184	7.73797568681655e-06	5.95293919024506e-05	TMEM132A
ENSG00000006451.8	1569.67148950319	0.24608746355446	0.0873026119725972	0.00308678076699881	0.0111535870344868	RALA
ENSG00000006453.14	271.923375664992	-0.640144857924752	0.153228281066748	4.30113981425153e-06	3.52789096252055e-05	BAIAP2L1
ENSG00000006534.17	1149.54263254105	0.234449838385244	0.113361674600363	0.024835385980415	0.0648465571925429	ALDH3B1
ENSG00000006607.14	1546.93351215311	-0.39514614080465	0.157055810815772	0.00369305108899423	0.0129830113407463	FARP2
ENSG00000006625.18	1012.87619065594	0.34260362487288	0.0796479126759872	7.87992567744518e-06	6.04413705179879e-05	GGCT
ENSG00000006634.8	1101.62430302581	0.513232208967378	0.172110449364646	0.000651614940392835	0.00298277200159235	DBF4
ENSG00000006638.13	76.762891086712	-0.919185133516311	0.333276593368347	0.00039396064098497	0.00192677593794858	TBXA2R
ENSG00000006712.15	1021.24161385472	-0.228991056833393	0.121065532114492	0.0368691853153892	0.0891883149534176	PAF1
ENSG00000006744.19	2046.2573572458	-0.317798039912704	0.115102998433076	0.00263284159987221	0.00978724754040789	ELAC2
ENSG00000007047.16	453.325313834876	-0.837676642580202	0.215388696895583	8.73515388867942e-06	6.60207191957068e-05	MARK4
ENSG00000007171.19	7.6305414003954	-3.063170301891	1.23846939931878	0.00107264215534256	0.00455204534507739	NOS2
ENSG00000007384.15	869.400077151017	-0.628426309579785	0.11829006372331	1.73140299815833e-08	2.30665159531085e-07	RHBDF1
ENSG00000007392.17	959.006836075551	-0.320421701242308	0.100620370221424	0.000659439586843017	0.00300953076834925	LUC7L
ENSG00000007516.15	106.889506280031	-0.706428562222503	0.259540978020564	0.000685936919564829	0.00310943246541911	BAIAP3
ENSG00000007520.4	1372.71457560913	0.256746948789723	0.110337590903639	0.0120129962559702	0.0354434959733538	TSR3
ENSG00000007541.17	782.851132378991	-0.415049997908517	0.122714810997254	0.000223754660277597	0.00117680064709474	PIGQ
ENSG00000007545.16	949.034132884536	-1.07860449077487	0.117843414809676	4.01212821249391e-21	3.01766575361071e-19	CRAMP1
ENSG00000007866.22	277.750710212833	-0.413296045892181	0.164663763065842	0.00349182784805573	0.0123654237429863	TEAD3
ENSG00000007923.17	1392.02371765001	-0.260953894784726	0.0855012457444731	0.00135088784671124	0.00552989598334053	DNAJC11
ENSG00000007944.15	622.044178997972	-0.387268428569902	0.0923272941457802	1.00498272355921e-05	7.49696789543882e-05	MYLIP
ENSG00000007968.7	144.746879419863	-0.472592989856732	0.195849089493677	0.00353242260184733	0.0124957433317403	E2F2
ENSG00000008018.9	3185.41593652287	0.50041358066416	0.066199344432278	1.12610704143496e-14	3.90333389261595e-13	PSMB1
ENSG00000008056.14	23.0155517335139	-1.97584849178194	0.611444075652843	4.95969125095165e-05	0.00031036129338548	SYN1
ENSG00000008086.13	226.095588051758	-0.363458652985908	0.162943216835408	0.0090482538591471	0.0279270209748257	CDKL5
ENSG00000008128.23	932.384719981072	-0.313589280147366	0.111610785898792	0.00232784023694422	0.00880340654899042	CDK11A
ENSG00000008256.17	1723.08291468932	-0.479781019650773	0.111718937927326	4.39960655695738e-06	3.59343721631511e-05	CYTH3
ENSG00000008282.10	2791.94823853995	0.289104979233743	0.0901439357865818	0.000732294344249038	0.00328113608149063	SYPL1
ENSG00000008294.22	3790.84243709513	-0.309848935778492	0.111575257223443	0.00260065172430391	0.00968152278144278	SPAG9
ENSG00000008300.17	242.871974362625	-0.604471630336046	0.242566653186347	0.00166351733052054	0.00659701497801005	CELSR3
ENSG00000008323.16	26.8607234739866	-0.437506389727979	0.47660778643958	0.0357773473543001	0.087077320123708	PLEKHG6
ENSG00000008324.12	459.516471902604	0.277845633406248	0.107495440702104	0.00544306501217513	0.0180472607101737	SS18L2
ENSG00000008394.13	1870.26624990425	0.503375338832531	0.0983342261861308	8.0939178373414e-08	9.47184010360783e-07	MGST1
ENSG00000008441.19	1217.42629462796	-0.857250783465195	0.185725728095276	3.48168118709481e-07	3.59394858846416e-06	NFIX
ENSG00000008516.18	204.043939532984	-1.84457446132212	0.251676973102037	1.05479394311303e-14	3.67257918080746e-13	MMP25
ENSG00000008517.19	3236.6155343648	0.290670381163644	0.0932540236603377	0.00100239111685074	0.00429746761607231	IL32
ENSG00000008710.20	3066.56864821373	-0.825804740783816	0.130396948028601	2.45098546073608e-11	5.36378089387638e-10	PKD1
ENSG00000008838.21	1897.99760899805	-0.493277482977266	0.120186726357665	9.59686333125547e-06	7.17012749432187e-05	MED24
ENSG00000008952.17	3109.55044187527	0.376894908767913	0.183132521901812	0.013619540278682	0.0393475959496361	SEC62
ENSG00000008988.11	15089.5538990561	0.611079579218141	0.0835631708273546	5.43417822681538e-14	1.70439589972222e-12	RPS20
ENSG00000009307.17	12419.0955667115	0.380355869299025	0.0823135790928501	1.55177571611115e-06	1.39948853000152e-05	CSDE1
ENSG00000009724.18	150.615048714958	-0.565020119201067	0.262066518443272	0.00433714677418031	0.014873783116235	MASP2
ENSG00000009780.16	257.5128531351	-0.334182110613687	0.142388550342235	0.00782959924562111	0.0246869781667996	FAM76A
ENSG00000009790.15	8.37528036164664	0.354612171135591	0.570047408128194	0.0300754089677165	0.0757458365646618	TRAF3IP3
ENSG00000009844.16	2358.38132764715	0.407819802031113	0.0933119037503832	4.49447968551574e-06	3.66320190675334e-05	VTA1
ENSG00000010017.13	2070.96593502297	-0.303375768421279	0.100353978694615	0.00123212860627419	0.0051208692665269	RANBP9
ENSG00000010219.14	357.069885733791	0.330668453348172	0.156335014369798	0.0145793023925555	0.0416467019303567	DYRK4
ENSG00000010244.19	4545.6381849462	0.175823880757963	0.077422819177571	0.0192986078956865	0.0527545220070161	ZNF207
ENSG00000010256.11	4907.82372294744	0.346331912201729	0.0840304030989388	1.66778984795831e-05	0.000117832813060949	UQCRC1
ENSG00000010270.14	1237.63453300938	0.433397996522457	0.08853165172887	3.27739096769556e-07	3.40804668815269e-06	STARD3NL
ENSG00000010278.15	6062.64333364593	0.446114381575814	0.0873464526237527	1.05267043282031e-07	1.20458461492746e-06	CD9
ENSG00000010292.13	5415.68423299623	-0.147020395230333	0.065366241760868	0.0191445056651569	0.0523887267354188	NCAPD2
ENSG00000010295.20	554.138278930616	-0.472137903851911	0.0967936013095531	2.88640390073649e-07	3.03405305549601e-06	IFFO1
ENSG00000010318.22	212.547150601183	-0.547205403168747	0.156725069457879	9.1389775118793e-05	0.000531337382775953	PHF7
ENSG00000010322.16	2906.79210262396	-0.825403801593636	0.0929542746691891	7.18619351097989e-20	4.69801190966761e-18	NISCH
ENSG00000010327.10	1235.15964525395	-0.577119957289876	0.143306430599555	1.08250384126472e-05	8.02119297778841e-05	STAB1
ENSG00000010379.16	12.2527713258164	-0.359557524189818	0.557809778378792	0.0317696053008712	0.0793136432321377	SLC6A13
