GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL
ENSG00000000003.16	924.545058127139	0.434665898857983	0.0893534250121705	3.76010494854263e-07	3.8556628770827e-06	TSPAN6
ENSG00000000419.14	1135.93742847911	0.296041783762906	0.0979143899494064	0.00131685127234115	0.00540914464837057	DPM1
ENSG00000000971.17	1013.46373095394	0.259947246198241	0.139541095213333	0.0353349074382378	0.0863123215904234	CFH
ENSG00000001497.18	1548.77267982849	0.19290656983507	0.0749950848118227	0.00765534015077632	0.0242411282027648	LAS1L
ENSG00000001630.18	2764.19641599518	0.193116355767234	0.0694781473733597	0.00414560691800196	0.0143183311608387	CYP51A1
ENSG00000002330.14	923.363214164277	0.31019707024212	0.101107561655997	0.00110219957539279	0.00465707123565199	BAD
ENSG00000002549.13	4336.03710724635	0.276156504229142	0.0692427573016273	3.95559929430708e-05	0.000253885896710828	LAP3
ENSG00000003056.8	4423.88713001952	0.219412160505126	0.0614215915961961	0.000252362177748909	0.00130772561272294	M6PR
ENSG00000003436.16	5639.44483837729	0.578684977610644	0.0960045023229198	3.67064534952405e-10	6.64403960812216e-09	TFPI
ENSG00000004142.12	2988.42563038934	0.212948780798879	0.0749385570594516	0.00322830465744513	0.0115866000376314	POLDIP2
ENSG00000004455.18	3930.04576692232	0.387176588484366	0.0972856968768328	2.68611548812764e-05	0.000180089456395715	AK2
ENSG00000004478.8	2867.93460741747	0.293826340504021	0.0713900440592961	2.15307902853934e-05	0.000147544477966336	FKBP4
ENSG00000004700.16	2868.68198957536	0.366147998388978	0.150262829555729	0.00566400652987331	0.0186560623243744	RECQL
ENSG00000004779.10	1486.31581998065	0.302898317248761	0.0730334047284758	1.82325697586643e-05	0.000127307542064329	NDUFAB1
ENSG00000004799.8	56.8762446354534	2.32377304883245	0.300869504612146	7.47313333744723e-16	2.99195679406737e-14	PDK4
ENSG00000004897.12	2818.26715687158	0.226838541519288	0.113240622765853	0.0297262880574633	0.0750006688100206	CDC27
ENSG00000004961.15	944.405317378411	0.235090979045003	0.0882663994105407	0.0051166996706509	0.0171079293692415	HCCS
ENSG00000005022.6	8055.03013323969	0.258094177084714	0.0497799808233403	1.39688963031036e-07	1.55707970734019e-06	SLC25A5
ENSG00000005059.16	876.462666465405	0.282492711105732	0.101140269249326	0.00261917728792287	0.00974112647601462	MCUB
ENSG00000005075.16	1130.05123279019	0.358585143347426	0.0995246267420656	0.000134153736298694	0.000749307134178792	POLR2J
ENSG00000005175.10	875.800332715703	0.386446250536215	0.146524031820857	0.00298083556455965	0.0108441104102576	RPAP3
ENSG00000005448.17	1420.43257742805	0.353921905380749	0.112599648538175	0.000711200303529311	0.00320143448660173	WDR54
ENSG00000005801.18	349.756281675615	0.28135917683325	0.135381280737497	0.0198412164195738	0.0540375825636977	ZNF195
ENSG00000005812.11	1769.8827962485	0.359428846813984	0.088922003145943	2.29404037949978e-05	0.000156030999297496	FBXL3
ENSG00000006015.18	309.784268709121	0.307482086514519	0.164869548061522	0.0282315062739451	0.0720149750096321	REX1BD
ENSG00000006451.8	1569.67148950319	0.24608746355446	0.0873026119725972	0.00308678076699881	0.0111535870344868	RALA
ENSG00000006534.17	1149.54263254105	0.234449838385244	0.113361674600363	0.024835385980415	0.0648465571925429	ALDH3B1
ENSG00000006625.18	1012.87619065594	0.34260362487288	0.0796479126759872	7.87992567744518e-06	6.04413705179879e-05	GGCT
ENSG00000006634.8	1101.62430302581	0.513232208967378	0.172110449364646	0.000651614940392835	0.00298277200159235	DBF4
ENSG00000007520.4	1372.71457560913	0.256746948789723	0.110337590903639	0.0120129962559702	0.0354434959733538	TSR3
ENSG00000008018.9	3185.41593652287	0.50041358066416	0.066199344432278	1.12610704143496e-14	3.90333389261595e-13	PSMB1
ENSG00000008282.10	2791.94823853995	0.289104979233743	0.0901439357865818	0.000732294344249038	0.00328113608149063	SYPL1
ENSG00000008324.12	459.516471902604	0.277845633406248	0.107495440702104	0.00544306501217513	0.0180472607101737	SS18L2
ENSG00000008394.13	1870.26624990425	0.503375338832531	0.0983342261861308	8.0939178373414e-08	9.47184010360783e-07	MGST1
ENSG00000008517.19	3236.6155343648	0.290670381163644	0.0932540236603377	0.00100239111685074	0.00429746761607231	IL32
ENSG00000008952.17	3109.55044187527	0.376894908767913	0.183132521901812	0.013619540278682	0.0393475959496361	SEC62
ENSG00000008988.11	15089.5538990561	0.611079579218141	0.0835631708273546	5.43417822681538e-14	1.70439589972222e-12	RPS20
ENSG00000009307.17	12419.0955667115	0.380355869299025	0.0823135790928501	1.55177571611115e-06	1.39948853000152e-05	CSDE1
ENSG00000009790.15	8.37528036164664	0.354612171135591	0.570047408128194	0.0300754089677165	0.0757458365646618	TRAF3IP3
ENSG00000009844.16	2358.38132764715	0.407819802031113	0.0933119037503832	4.49447968551574e-06	3.66320190675334e-05	VTA1
ENSG00000010219.14	357.069885733791	0.330668453348172	0.156335014369798	0.0145793023925555	0.0416467019303567	DYRK4
ENSG00000010244.19	4545.6381849462	0.175823880757963	0.077422819177571	0.0192986078956865	0.0527545220070161	ZNF207
ENSG00000010256.11	4907.82372294744	0.346331912201729	0.0840304030989388	1.66778984795831e-05	0.000117832813060949	UQCRC1
ENSG00000010270.14	1237.63453300938	0.433397996522457	0.08853165172887	3.27739096769556e-07	3.40804668815269e-06	STARD3NL
ENSG00000010278.15	6062.64333364593	0.446114381575814	0.0873464526237527	1.05267043282031e-07	1.20458461492746e-06	CD9
ENSG00000010438.17	122.884010379747	0.386410559758854	0.200286753656207	0.0168714218514211	0.0471681360819051	PRSS3
ENSG00000011052.21	269.558611709427	0.360823919892846	0.142236238549249	0.00434875728405558	0.0149102999245756	NME1-NME2
ENSG00000011260.14	1355.17335015461	0.322356744415019	0.072674511764074	4.51066579496902e-06	3.67446139996056e-05	UTP18
ENSG00000011426.11	7280.38624209936	0.316896121527844	0.157557787760244	0.019961114417383	0.0542496942260887	ANLN
ENSG00000012061.17	988.054821074631	0.302191600383036	0.11777786285321	0.00521730412236602	0.0174029946333561	ERCC1
ENSG00000013297.12	1834.28314026813	0.171933461722272	0.088522075852999	0.0411688945533469	0.0974146078511847	CLDN11
ENSG00000013374.17	2072.41510614612	0.175440420897457	0.0687034726076712	0.00854890747531465	0.0265977454663705	NUB1
ENSG00000013392.8	269.677366781361	0.436742312244779	0.139405934237703	0.000516733920441492	0.00244093761076844	RWDD2A
ENSG00000013441.17	1281.88244240007	0.234434741927009	0.108302801153066	0.0198534055040553	0.0540517773466584	CLK1
ENSG00000013563.14	662.87709936977	0.296041795502795	0.122695508026801	0.00813509916011885	0.0255311656905896	DNASE1L1
ENSG00000014641.21	3571.55401028304	0.493858577123146	0.060952618004181	1.52685157149897e-16	6.57139951355698e-15	MDH1
ENSG00000014824.14	1431.88370648299	0.248784900992218	0.110371729887305	0.0148890553764737	0.0423908533633008	SLC30A9
ENSG00000015153.15	364.360090966063	0.327703549649085	0.131483503563853	0.00567132087442351	0.0186761839805139	YAF2
ENSG00000015413.10	40.9897300133297	0.42393318450462	0.362327278812855	0.0417323821539184	0.0986274449500934	DPEP1
ENSG00000015475.19	1337.50185566479	0.542937668065228	0.114345304769628	4.72679746135924e-07	4.74640310215814e-06	BID
ENSG00000015479.20	6898.30635769141	0.413211611489435	0.131712934110036	0.000582734815831654	0.0027008355478599	MATR3
ENSG00000017260.20	2789.19444472124	0.173719949556714	0.0775149888379423	0.0200950560156713	0.0545476023943192	ATP2C1
ENSG00000017797.13	2914.59853133744	0.176593352963856	0.0765756883926612	0.0164392640808407	0.0461263958110368	RALBP1
ENSG00000018510.18	1634.74991842284	0.256731031623304	0.120080730601581	0.0191289456583126	0.0523646438215364	AGPS
ENSG00000018699.13	803.320035301292	0.297638445261211	0.088921353771804	0.00043294730357091	0.00209221559305246	TTC27
ENSG00000019995.6	1619.74250166486	0.168142780857783	0.0818037571104827	0.0323205791441384	0.08032965243171	ZRANB1
ENSG00000020426.11	741.746890042064	0.582498368850932	0.0993877840332741	9.56740168382748e-10	1.5669907155309e-08	MNAT1
ENSG00000020922.13	1017.9053860492	0.325390643137533	0.149492644644345	0.0130032896900292	0.0378210945104773	MRE11
ENSG00000021355.13	668.264951458509	0.346400627079307	0.116987386784247	0.0013039290254371	0.00536464501758192	SERPINB1
ENSG00000022277.13	2578.28437730407	0.338221174726865	0.0664226233642691	1.69110075456968e-07	1.8517254481486e-06	RTF2
ENSG00000023228.14	1311.70833465598	0.258809148862793	0.0910789951072929	0.00272726333355821	0.010080204697078	NDUFS1
ENSG00000023287.13	1387.91575864878	0.637580744970052	0.145317186953633	2.02490599827803e-06	1.77353835711248e-05	RB1CC1
ENSG00000023445.17	382.68224167509	0.498477919720809	0.250023972724599	0.00916867499541965	0.0282368217807657	BIRC3
ENSG00000023572.10	754.360717092549	0.229384093016072	0.0816130384944436	0.00335306679351518	0.0119530328342074	GLRX2
ENSG00000023608.5	1178.6899892283	0.432387923364223	0.111395543082762	3.37035894549221e-05	0.000220618257293858	SNAPC1
ENSG00000023697.13	1148.67057538588	0.496287676831303	0.0868310218713275	2.97680444170731e-09	4.50856383380382e-08	DERA
ENSG00000023734.11	3333.19799792346	0.17840768959558	0.0812688732257912	0.0219174289295544	0.0585709545585234	STRAP
ENSG00000024526.17	2122.1113097731	0.320103420248052	0.177184831840282	0.0302831073189258	0.0761745363422004	DEPDC1
ENSG00000024862.18	364.58586640599	0.486391065306805	0.141640861831314	0.000153058679062245	0.000843346789968143	CCDC28A
ENSG00000025156.13	745.078462866821	0.338380519519259	0.0939460267888896	0.000144944233234421	0.000803781657027246	HSF2
ENSG00000025772.8	1706.52132333506	0.150114623720288	0.0672594368504705	0.0216493355269308	0.0579635052106904	TOMM34
ENSG00000026025.16	50657.3388994237	0.344419889668482	0.067510552667031	1.58047952006284e-07	1.74187900679382e-06	VIM
ENSG00000026103.25	1043.08943372751	0.42940865310579	0.155903786663887	0.00178228625571071	0.00701237766530771	FAS
ENSG00000026297.17	433.151551468764	0.412221503882035	0.131370720174221	0.000568277141359549	0.00264331612975828	RNASET2
ENSG00000027697.16	1663.60329043295	0.362258359049486	0.0773872664373528	1.22890269861868e-06	1.13607508427194e-05	IFNGR1
ENSG00000028116.18	702.18714314868	0.354345376644482	0.151920701960187	0.00777274056568848	0.0245326629302867	VRK2
ENSG00000028839.10	709.139675433345	0.447309199033284	0.132180463379792	0.000212250506094918	0.00112009854953496	TBPL1
ENSG00000029993.15	1329.01378005193	0.360770279479	0.108550793819757	0.00037066603337425	0.00182843028369966	HMGB3
ENSG00000031691.7	849.104005536203	0.500514864209359	0.114838142750814	3.39994389452373e-06	2.84135548553132e-05	CENPQ
ENSG00000031698.13	3065.80527884421	0.240102483770374	0.0631431952588275	9.89825977810958e-05	0.000570974076701526	SARS1
ENSG00000032389.13	600.145012317615	0.253083674257096	0.109735433711995	0.0127875050097384	0.037350483094988	EIPR1
ENSG00000033011.14	940.577475556802	0.214027604624233	0.105603233773806	0.0294755586632472	0.0745015180959791	ALG1
ENSG00000034510.6	26351.6826618301	0.319675152454108	0.0859102085118933	9.95528960664533e-05	0.00057383652219257	TMSB10
ENSG00000034713.8	1698.78121109704	0.270700554062159	0.0678723501122044	4.0146783187531e-05	0.000256932779309213	GABARAPL2
ENSG00000035141.9	1214.38884973089	0.23077666322079	0.077379391973249	0.00193491095940619	0.00752686678509653	FAM136A
ENSG00000036054.13	1157.35015871989	0.359402302438753	0.0985892406642516	0.000113678427254929	0.000646598220223152	TBC1D23
ENSG00000037241.7	839.109912776811	0.322720856539692	0.0951871612342173	0.000339953418931136	0.00169910912029646	RPL26L1
ENSG00000038210.14	742.305652850826	0.305180926432825	0.112847588563822	0.00345218615115778	0.0122342571422778	PI4K2B
ENSG00000038274.18	2031.9189020123	0.271076338362523	0.0693177124425676	5.5277615110697e-05	0.000340816302636347	MAT2B
ENSG00000039123.16	2299.83208398339	0.350495314814146	0.172008686897361	0.0160163517891787	0.0450703513660616	MTREX
ENSG00000039139.11	180.028015757674	0.549020501203062	0.22132472827307	0.00241298542636623	0.00907575600051559	DNAH5
ENSG00000040341.18	1116.4049546293	0.354306304364512	0.113394245249752	0.000754971349127296	0.00336832385788689	STAU2
ENSG00000040633.13	635.390154046999	0.328540112099705	0.0987251849789716	0.000413667171723612	0.00201235766363756	PHF23
ENSG00000041357.16	3896.36727409969	0.554188613613637	0.0600123078747755	6.13769408733262e-21	4.52844915186341e-19	PSMA4
ENSG00000042088.14	933.495269467108	0.272625080029402	0.117608054583789	0.0114813413639105	0.0342109144143478	TDP1
