"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","TNF signaling pathway","KEGG:04668","false","9.961606708316713e-22","21.00167060853613","106","1513","52","14549","ENSG00000003402,ENSG00000006210,ENSG00000007908,ENSG00000023445,ENSG00000034152,ENSG00000055208,ENSG00000056558,ENSG00000067182,ENSG00000069399,ENSG00000073756,ENSG00000078401,ENSG00000081041,ENSG00000083799,ENSG00000090339,ENSG00000100906,ENSG00000101384,ENSG00000102871,ENSG00000107175,ENSG00000107968,ENSG00000108691,ENSG00000109320,ENSG00000110330,ENSG00000115009,ENSG00000118503,ENSG00000124875,ENSG00000125347,ENSG00000125538,ENSG00000127191,ENSG00000128342,ENSG00000131323,ENSG00000136244,ENSG00000136848,ENSG00000150630,ENSG00000157227,ENSG00000162302,ENSG00000162692,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164400,ENSG00000167207,ENSG00000169245,ENSG00000171223,ENSG00000171608,ENSG00000172216,ENSG00000173039,ENSG00000177606,ENSG00000184371,ENSG00000184557,ENSG00000197442,ENSG00000247077,ENSG00000271503"
"KEGG","Cytokine-cytokine receptor interaction","KEGG:04060","false","7.079591262298318e-16","15.149991815425006","149","1513","55","14549","ENSG00000006210,ENSG00000008517,ENSG00000049249,ENSG00000054967,ENSG00000067182,ENSG00000077238,ENSG00000081041,ENSG00000092969,ENSG00000104432,ENSG00000104689,ENSG00000104998,ENSG00000105246,ENSG00000105329,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000111321,ENSG00000115008,ENSG00000115009,ENSG00000115594,ENSG00000120337,ENSG00000120889,ENSG00000121858,ENSG00000122641,ENSG00000124875,ENSG00000125538,ENSG00000125657,ENSG00000125726,ENSG00000125845,ENSG00000128342,ENSG00000130513,ENSG00000134470,ENSG00000135503,ENSG00000136244,ENSG00000145777,ENSG00000146072,ENSG00000159110,ENSG00000159128,ENSG00000163513,ENSG00000163702,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164400,ENSG00000168685,ENSG00000168811,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000181634,ENSG00000184371,ENSG00000184451,ENSG00000186891,ENSG00000243509,ENSG00000271503"
"KEGG","KEGG root term","KEGG:00000","false","3.671299624383264e-14","13.43518017013883","6035","1513","776","14549","ENSG00000001617,ENSG00000002549,ENSG00000003402,ENSG00000006210,ENSG00000006638,ENSG00000007908,ENSG00000008517,ENSG00000008838,ENSG00000010030,ENSG00000011332,ENSG00000011422,ENSG00000012211,ENSG00000013288,ENSG00000013297,ENSG00000015475,ENSG00000020633,ENSG00000023445,ENSG00000024422,ENSG00000025708,ENSG00000026025,ENSG00000026508,ENSG00000028277,ENSG00000034152,ENSG00000041982,ENSG00000049239,ENSG00000049249,ENSG00000049759,ENSG00000050820,ENSG00000051523,ENSG00000052795,ENSG00000054967,ENSG00000055208,ENSG00000056558,ENSG00000056972,ENSG00000058085,ENSG00000058600,ENSG00000060138,ENSG00000060642,ENSG00000062282,ENSG00000062716,ENSG00000062822,ENSG00000063177,ENSG00000063244,ENSG00000063245,ENSG00000064393,ENSG00000064601,ENSG00000065320,ENSG00000065526,ENSG00000065911,ENSG00000066044,ENSG00000066230,ENSG00000066322,ENSG00000067057,ENSG00000067182,ENSG00000067225,ENSG00000067596,ENSG00000068120,ENSG00000068323,ENSG00000069399,ENSG00000071054,ENSG00000072110,ENSG00000072682,ENSG00000073008,ENSG00000073060,ENSG00000073756,ENSG00000073969,ENSG00000075426,ENSG00000076108,ENSG00000076604,ENSG00000076924,ENSG00000077150,ENSG00000077238,ENSG00000077312,ENSG00000077348,ENSG00000078081,ENSG00000078269,ENSG00000078401,ENSG00000079313,ENSG00000079805,ENSG00000081041,ENSG00000083444,ENSG00000083799,ENSG00000083845,ENSG00000084112,ENSG00000084636,ENSG00000085117,ENSG00000085662,ENSG00000085998,ENSG00000086061,ENSG00000086062,ENSG00000086544,ENSG00000087074,ENSG00000087206,ENSG00000087365,ENSG00000087460,ENSG00000088826,ENSG00000089127,ENSG00000090020,ENSG00000090339,ENSG00000090376,ENSG00000090776,ENSG00000091073,ENSG00000092964,ENSG00000092969,ENSG00000093010,ENSG00000095319,ENSG00000096433,ENSG00000097007,ENSG00000099331,ENSG00000099860,ENSG00000099937,ENSG00000099956,ENSG00000100023,ENSG00000100219,ENSG00000100234,ENSG00000100243,ENSG00000100280,ENSG00000100299,ENSG00000100311,ENSG00000100342,ENSG00000100345,ENSG00000100401,ENSG00000100412,ENSG00000100625,ENSG00000100626,ENSG00000100644,ENSG00000100726,ENSG00000100906,ENSG00000100979,ENSG00000101057,ENSG00000101152,ENSG00000101160,ENSG00000101224,ENSG00000101255,ENSG00000101310,ENSG00000101347,ENSG00000101384,ENSG00000101439,ENSG00000101670,ENSG00000102096,ENSG00000102265,ENSG00000102794,ENSG00000102858,ENSG00000102871,ENSG00000103043,ENSG00000103111,ENSG00000103257,ENSG00000103313,ENSG00000103496,ENSG00000103653,ENSG00000103855,ENSG00000103966,ENSG00000104093,ENSG00000104133,ENSG00000104267,ENSG00000104312,ENSG00000104320,ENSG00000104321,ENSG00000104432,ENSG00000104518,ENSG00000104635,ENSG00000104689,ENSG00000104825,ENSG00000104856,ENSG00000104885,ENSG00000104951,ENSG00000104969,ENSG00000104998,ENSG00000105122,ENSG00000105223,ENSG00000105245,ENSG00000105246,ENSG00000105327,ENSG00000105329,ENSG00000105568,ENSG00000105576,ENSG00000105639,ENSG00000105640,ENSG00000105656,ENSG00000105701,ENSG00000105738,ENSG00000105835,ENSG00000105953,ENSG00000105971,ENSG00000105974,ENSG00000106366,ENSG00000106546,ENSG00000106628,ENSG00000106635,ENSG00000106829,ENSG00000107175,ENSG00000107201,ENSG00000107815,ENSG00000107968,ENSG00000107984,ENSG00000108179,ENSG00000108342,ENSG00000108423,ENSG00000108479,ENSG00000108515,ENSG00000108551,ENSG00000108622,ENSG00000108688,ENSG00000108691,ENSG00000108771,ENSG00000108797,ENSG00000109320,ENSG00000109321,ENSG00000109861,ENSG00000110047,ENSG00000110080,ENSG00000110092,ENSG00000110218,ENSG00000110330,ENSG00000110651,ENSG00000110713,ENSG00000110911,ENSG00000110931,ENSG00000111012,ENSG00000111252,ENSG00000111266,ENSG00000111321,ENSG00000111331,ENSG00000111335,ENSG00000111642,ENSG00000111737,ENSG00000111817,ENSG00000111912,ENSG00000112033,ENSG00000112576,ENSG00000112658,ENSG00000112787,ENSG00000113070,ENSG00000113504,ENSG00000113580,ENSG00000113645,ENSG00000113916,ENSG00000114019,ENSG00000114861,ENSG00000115008,ENSG00000115009,ENSG00000115267,ENSG00000115275,ENSG00000115286,ENSG00000115594,ENSG00000115652,ENSG00000115919,ENSG00000116016,ENSG00000116044,ENSG00000116353,ENSG00000116584,ENSG00000116649,ENSG00000116670,ENSG00000116786,ENSG00000116809,ENSG00000116852,ENSG00000116863,ENSG00000117226,ENSG00000117228,ENSG00000117362,ENSG00000117410,ENSG00000117411,ENSG00000117425,ENSG00000117479,ENSG00000117525,ENSG00000117594,ENSG00000117984,ENSG00000118046,ENSG00000118094,ENSG00000118503,ENSG00000118515,ENSG00000118523,ENSG00000118985,ENSG00000119487,ENSG00000120129,ENSG00000120158,ENSG00000120217,ENSG00000120337,ENSG00000120725,ENSG00000120889,ENSG00000121060,ENSG00000121067,ENSG00000121858,ENSG00000122641,ENSG00000122691,ENSG00000122729,ENSG00000122861,ENSG00000122971,ENSG00000123095,ENSG00000123096,ENSG00000123143,ENSG00000123358,ENSG00000123374,ENSG00000123416,ENSG00000123685,ENSG00000123989,ENSG00000124145,ENSG00000124208,ENSG00000124587,ENSG00000124688,ENSG00000124762,ENSG00000124789,ENSG00000124875,ENSG00000124882,ENSG00000125148,ENSG00000125347,ENSG00000125388,ENSG00000125538,ENSG00000125657,ENSG00000125726,ENSG00000125730,ENSG00000125733,ENSG00000125755,ENSG00000125826,ENSG00000125835,ENSG00000125845,ENSG00000125877,ENSG00000126368,ENSG00000126457,ENSG00000126561,ENSG00000126759,ENSG00000126767,ENSG00000126778,ENSG00000126934,ENSG00000127191,ENSG00000127527,ENSG00000127666,ENSG00000127955,ENSG00000128016,ENSG00000128271,ENSG00000128274,ENSG00000128309,ENSG00000128342,ENSG00000128908,ENSG00000129226,ENSG00000129673,ENSG00000130066,ENSG00000130164,ENSG00000130202,ENSG00000130204,ENSG00000130309,ENSG00000130313,ENSG00000130479,ENSG00000130513,ENSG00000130522,ENSG00000130635,ENSG00000130669,ENSG00000130702,ENSG00000130734,ENSG00000130758,ENSG00000130985,ENSG00000131165,ENSG00000131196,ENSG00000131323,ENSG00000131408,ENSG00000131446,ENSG00000131459,ENSG00000131504,ENSG00000131873,ENSG00000131979,ENSG00000132109,ENSG00000132589,ENSG00000132661,ENSG00000133027,ENSG00000133101,ENSG00000133216,ENSG00000133265,ENSG00000133275,ENSG00000133313,ENSG00000133639,ENSG00000134070,ENSG00000134086,ENSG00000134107,ENSG00000134250,ENSG00000134321,ENSG00000134326,ENSG00000134470,ENSG00000134686,ENSG00000134780,ENSG00000134871,ENSG00000134954,ENSG00000135114,ENSG00000135372,ENSG00000135503,ENSG00000135587,ENSG00000135604,ENSG00000135766,ENSG00000135919,ENSG00000136026,ENSG00000136111,ENSG00000136213,ENSG00000136244,ENSG00000136718,ENSG00000136826,ENSG00000136848,ENSG00000136877,ENSG00000136997,ENSG00000137193,ENSG00000137198,ENSG00000137267,ENSG00000137462,ENSG00000137507,ENSG00000137547,ENSG00000137767,ENSG00000138035,ENSG00000138166,ENSG00000138279,ENSG00000138621,ENSG00000138675,ENSG00000138685,ENSG00000139083,ENSG00000139174,ENSG00000139197,ENSG00000139318,ENSG00000139329,ENSG00000139514,ENSG00000139718,ENSG00000139722,ENSG00000139926,ENSG00000140105,ENSG00000140379,ENSG00000140443,ENSG00000140464,ENSG00000140545,ENSG00000140564,ENSG00000140650,ENSG00000140691,ENSG00000140829,ENSG00000140859,ENSG00000140988,ENSG00000141068,ENSG00000141101,ENSG00000141298,ENSG00000141458,ENSG00000141510,ENSG00000141522,ENSG00000141551,ENSG00000141682,ENSG00000141873,ENSG00000141959,ENSG00000141985,ENSG00000142156,ENSG00000142173,ENSG00000142185,ENSG00000142227,ENSG00000142279,ENSG00000142347,ENSG00000142544,ENSG00000142627,ENSG00000142798,ENSG00000142949,ENSG00000143179,ENSG00000143294,ENSG00000143322,ENSG00000143368,ENSG00000143384,ENSG00000143514,ENSG00000143570,ENSG00000143641,ENSG00000143761,ENSG00000143774,ENSG00000144802,ENSG00000144810,ENSG00000145147,ENSG00000145214,ENSG00000145365,ENSG00000145632,ENSG00000145777,ENSG00000145901,ENSG00000146072,ENSG00000146232,ENSG00000146535,ENSG00000146648,ENSG00000147065,ENSG00000147548,ENSG00000147883,ENSG00000147889,ENSG00000148154,ENSG00000148344,ENSG00000148926,ENSG00000149091,ENSG00000149541,ENSG00000149925,ENSG00000150630,ENSG00000151148,ENSG00000151702,ENSG00000151748,ENSG00000152223,ENSG00000152518,ENSG00000153071,ENSG00000154134,ENSG00000154640,ENSG00000156587,ENSG00000156860,ENSG00000157214,ENSG00000157227,ENSG00000157557,ENSG00000157601,ENSG00000157933,ENSG00000158470,ENSG00000158669,ENSG00000158850,ENSG00000159110,ENSG00000159128,ENSG00000159200,ENSG00000159202,ENSG00000159216,ENSG00000159261,ENSG00000159403,ENSG00000159692,ENSG00000159840,ENSG00000160087,ENSG00000160223,ENSG00000160293,ENSG00000160447,ENSG00000160710,ENSG00000160803,ENSG00000160999,ENSG00000161011,ENSG00000161013,ENSG00000161016,ENSG00000161638,ENSG00000162302,ENSG00000162337,ENSG00000162407,ENSG00000162434,ENSG00000162645,ENSG00000162692,ENSG00000162711,ENSG00000162924,ENSG00000163082,ENSG00000163132,ENSG00000163251,ENSG00000163347,ENSG00000163513,ENSG00000163702,ENSG00000163719,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000163811,ENSG00000163840,ENSG00000163930,ENSG00000163932,ENSG00000164045,ENSG00000164054,ENSG00000164400,ENSG00000164430,ENSG00000164647,ENSG00000164736,ENSG00000165029,ENSG00000165030,ENSG00000165271,ENSG00000166147,ENSG00000166224,ENSG00000166313,ENSG00000166333,ENSG00000166741,ENSG00000166888,ENSG00000166889,ENSG00000166949,ENSG00000167034,ENSG00000167118,ENSG00000167207,ENSG00000167468,ENSG00000167491,ENSG00000167508,ENSG00000167526,ENSG00000167548,ENSG00000167657,ENSG00000167658,ENSG00000167671,ENSG00000167676,ENSG00000167680,ENSG00000167702,ENSG00000167900,ENSG00000167987,ENSG00000167996,ENSG00000168062,ENSG00000168282,ENSG00000168394,ENSG00000168488,ENSG00000168495,ENSG00000168610,ENSG00000168685,ENSG00000168758,ENSG00000168811,ENSG00000169047,ENSG00000169223,ENSG00000169242,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000169554,ENSG00000169564,ENSG00000169660,ENSG00000169692,ENSG00000170004,ENSG00000170525,ENSG00000170542,ENSG00000170775,ENSG00000170889,ENSG00000170989,ENSG00000171223,ENSG00000171298,ENSG00000171310,ENSG00000171456,ENSG00000171522,ENSG00000171608,ENSG00000171860,ENSG00000172216,ENSG00000172354,ENSG00000172936,ENSG00000173020,ENSG00000173039,ENSG00000173120,ENSG00000173281,ENSG00000173327,ENSG00000173846,ENSG00000174059,ENSG00000174080,ENSG00000174136,ENSG00000174177,ENSG00000174437,ENSG00000174915,ENSG00000174996,ENSG00000175040,ENSG00000175166,ENSG00000175592,ENSG00000175727,ENSG00000175832,ENSG00000176022,ENSG00000176170,ENSG00000176597,ENSG00000176641,ENSG00000176986,ENSG00000177105,ENSG00000177302,ENSG00000177426,ENSG00000177606,ENSG00000177666,ENSG00000178607,ENSG00000178999,ENSG00000179091,ENSG00000179151,ENSG00000179262,ENSG00000179630,ENSG00000179950,ENSG00000179958,ENSG00000180447,ENSG00000181523,ENSG00000181634,ENSG00000182326,ENSG00000182541,ENSG00000182934,ENSG00000182979,ENSG00000183010,ENSG00000183087,ENSG00000183207,ENSG00000183486,ENSG00000183495,ENSG00000183696,ENSG00000183751,ENSG00000184009,ENSG00000184216,ENSG00000184371,ENSG00000184451,ENSG00000184557,ENSG00000184588,ENSG00000184640,ENSG00000185033,ENSG00000185049,ENSG00000185122,ENSG00000185236,ENSG00000185338,ENSG00000185418,ENSG00000185507,ENSG00000185624,ENSG00000185650,ENSG00000185745,ENSG00000185883,ENSG00000185885,ENSG00000185963,ENSG00000186716,ENSG00000186891,ENSG00000187498,ENSG00000187608,ENSG00000187720,ENSG00000187775,ENSG00000188153,ENSG00000188157,ENSG00000188290,ENSG00000188396,ENSG00000188486,ENSG00000188986,ENSG00000189067,ENSG00000196313,ENSG00000196396,ENSG00000196497,ENSG00000196639,ENSG00000196689,ENSG00000196878,ENSG00000196924,ENSG00000196954,ENSG00000197122,ENSG00000197142,ENSG00000197208,ENSG00000197249,ENSG00000197405,ENSG00000197442,ENSG00000197632,ENSG00000197646,ENSG00000197746,ENSG00000197857,ENSG00000197858,ENSG00000197879,ENSG00000197892,ENSG00000197905,ENSG00000198053,ENSG00000198055,ENSG00000198121,ENSG00000198276,ENSG00000198435,ENSG00000198521,ENSG00000198742,ENSG00000198951,ENSG00000198959,ENSG00000204103,ENSG00000204209,ENSG00000204310,ENSG00000204520,ENSG00000204525,ENSG00000204592,ENSG00000204642,ENSG00000204673,ENSG00000205220,ENSG00000205250,ENSG00000205937,ENSG00000206503,ENSG00000211445,ENSG00000213024,ENSG00000213445,ENSG00000213694,ENSG00000213923,ENSG00000215193,ENSG00000223496,ENSG00000231925,ENSG00000233276,ENSG00000234745,ENSG00000237441,ENSG00000239282,ENSG00000239857,ENSG00000240849,ENSG00000240972,ENSG00000241878,ENSG00000241973,ENSG00000242372,ENSG00000243509,ENSG00000243649,ENSG00000243989,ENSG00000247077,ENSG00000247626,ENSG00000258315,ENSG00000258947,ENSG00000259207,ENSG00000262814,ENSG00000263528,ENSG00000269858,ENSG00000271503,ENSG00000272886,ENSG00000273604,ENSG00000276045,ENSG00000277443,ENSG00000277462,ENSG00000284194,ENSG00000291237"
"KEGG","Influenza A","KEGG:05164","false","5.58955208064542e-14","13.252622992954027","124","1513","47","14549","ENSG00000015475,ENSG00000067182,ENSG00000089127,ENSG00000090339,ENSG00000100906,ENSG00000102871,ENSG00000104689,ENSG00000104825,ENSG00000107201,ENSG00000108691,ENSG00000109320,ENSG00000110713,ENSG00000111331,ENSG00000111335,ENSG00000112576,ENSG00000115008,ENSG00000115267,ENSG00000120889,ENSG00000121060,ENSG00000121858,ENSG00000125538,ENSG00000126934,ENSG00000127666,ENSG00000131323,ENSG00000132661,ENSG00000134321,ENSG00000136244,ENSG00000140464,ENSG00000157601,ENSG00000159110,ENSG00000159128,ENSG00000160710,ENSG00000162434,ENSG00000162711,ENSG00000168811,ENSG00000169245,ENSG00000169429,ENSG00000171608,ENSG00000172936,ENSG00000173039,ENSG00000183486,ENSG00000184009,ENSG00000184557,ENSG00000185236,ENSG00000185507,ENSG00000263528,ENSG00000271503"
"KEGG","IL-17 signaling pathway","KEGG:04657","false","3.396299478758308e-12","11.468994021538299","69","1513","32","14549","ENSG00000055208,ENSG00000056972,ENSG00000066044,ENSG00000073756,ENSG00000076604,ENSG00000081041,ENSG00000100906,ENSG00000102871,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000109320,ENSG00000115009,ENSG00000118503,ENSG00000124875,ENSG00000125538,ENSG00000127191,ENSG00000130522,ENSG00000131323,ENSG00000136244,ENSG00000163702,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164400,ENSG00000169245,ENSG00000169429,ENSG00000172216,ENSG00000173039,ENSG00000175592,ENSG00000177606,ENSG00000263528"
"KEGG","Epstein-Barr virus infection","KEGG:05169","false","5.973727375839906e-12","11.223754601261524","163","1513","52","14549","ENSG00000015475,ENSG00000020633,ENSG00000026025,ENSG00000026508,ENSG00000034152,ENSG00000055208,ENSG00000077150,ENSG00000089127,ENSG00000090339,ENSG00000099860,ENSG00000100906,ENSG00000102871,ENSG00000104825,ENSG00000104856,ENSG00000105639,ENSG00000107201,ENSG00000109320,ENSG00000110092,ENSG00000111331,ENSG00000111335,ENSG00000112576,ENSG00000118503,ENSG00000123374,ENSG00000124762,ENSG00000127191,ENSG00000131323,ENSG00000133101,ENSG00000136244,ENSG00000136997,ENSG00000137462,ENSG00000141510,ENSG00000146232,ENSG00000159110,ENSG00000162434,ENSG00000168394,ENSG00000168610,ENSG00000169245,ENSG00000171608,ENSG00000172936,ENSG00000173039,ENSG00000175166,ENSG00000177606,ENSG00000184216,ENSG00000185507,ENSG00000187608,ENSG00000204525,ENSG00000204592,ENSG00000204642,ENSG00000206503,ENSG00000231925,ENSG00000234745,ENSG00000263528"
"KEGG","NF-kappa B signaling pathway","KEGG:04064","false","3.076767520776297e-11","10.511905317616153","82","1513","34","14549","ENSG00000003402,ENSG00000023445,ENSG00000055208,ENSG00000056558,ENSG00000067182,ENSG00000073756,ENSG00000077150,ENSG00000081041,ENSG00000083799,ENSG00000090339,ENSG00000099860,ENSG00000100906,ENSG00000102871,ENSG00000104856,ENSG00000107201,ENSG00000109320,ENSG00000110330,ENSG00000111321,ENSG00000115594,ENSG00000118503,ENSG00000121060,ENSG00000122861,ENSG00000125538,ENSG00000127191,ENSG00000127666,ENSG00000131323,ENSG00000140379,ENSG00000162692,ENSG00000163734,ENSG00000163739,ENSG00000169429,ENSG00000172936,ENSG00000173039,ENSG00000184216"
"KEGG","Measles","KEGG:05162","false","5.474431547333328e-11","10.261660970309476","106","1513","39","14549","ENSG00000015475,ENSG00000055208,ENSG00000089127,ENSG00000100906,ENSG00000102871,ENSG00000104825,ENSG00000105327,ENSG00000105639,ENSG00000107201,ENSG00000109320,ENSG00000110092,ENSG00000111331,ENSG00000111335,ENSG00000112576,ENSG00000115008,ENSG00000115267,ENSG00000118503,ENSG00000123374,ENSG00000125538,ENSG00000126561,ENSG00000131323,ENSG00000136244,ENSG00000137462,ENSG00000141510,ENSG00000147065,ENSG00000157601,ENSG00000159110,ENSG00000160710,ENSG00000162434,ENSG00000168610,ENSG00000168811,ENSG00000171608,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000183486,ENSG00000184216,ENSG00000185507,ENSG00000263528"
"KEGG","NOD-like receptor signaling pathway","KEGG:04621","false","5.202026027678489e-10","9.283827479197265","143","1513","45","14549","ENSG00000023445,ENSG00000051523,ENSG00000055208,ENSG00000081041,ENSG00000089127,ENSG00000096433,ENSG00000100906,ENSG00000103313,ENSG00000104312,ENSG00000104518,ENSG00000104825,ENSG00000105835,ENSG00000108691,ENSG00000109320,ENSG00000110218,ENSG00000110330,ENSG00000111331,ENSG00000111335,ENSG00000117226,ENSG00000117228,ENSG00000118503,ENSG00000123143,ENSG00000125538,ENSG00000125826,ENSG00000127191,ENSG00000127666,ENSG00000131323,ENSG00000136244,ENSG00000142185,ENSG00000159110,ENSG00000162434,ENSG00000162645,ENSG00000162711,ENSG00000163734,ENSG00000163739,ENSG00000163932,ENSG00000167207,ENSG00000169429,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000185507,ENSG00000196954,ENSG00000263528,ENSG00000271503"
"KEGG","Hepatitis C","KEGG:05160","false","4.52707958339502e-9","8.344181870796218","125","1513","40","14549","ENSG00000003402,ENSG00000013297,ENSG00000015475,ENSG00000067182,ENSG00000073060,ENSG00000089127,ENSG00000100906,ENSG00000102871,ENSG00000105568,ENSG00000107201,ENSG00000109320,ENSG00000110092,ENSG00000110651,ENSG00000111331,ENSG00000111335,ENSG00000123374,ENSG00000124762,ENSG00000126934,ENSG00000127191,ENSG00000127666,ENSG00000130164,ENSG00000131323,ENSG00000134321,ENSG00000136997,ENSG00000141510,ENSG00000146648,ENSG00000157601,ENSG00000159110,ENSG00000159261,ENSG00000162434,ENSG00000163347,ENSG00000168610,ENSG00000169245,ENSG00000171608,ENSG00000173039,ENSG00000183486,ENSG00000184557,ENSG00000185507,ENSG00000185745,ENSG00000263528"
