Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000002910.12	421.77240280972	-0.938105066584088	0.141257659012791	1.25490698089366e-12	1.0267230615345e-09	Arrdc2	ENSMUSG00000002910
ENSMUSG00000003032.9	430.453850629021	-1.7210761995308	0.33038774819262	4.32141093007904e-09	2.44774687566439e-06	Klf4	ENSMUSG00000003032
ENSMUSG00000004328.16	281.356689055306	-0.806829784249967	0.212800441423707	4.5929526259631e-06	0.00122982569677379	Hif3a	ENSMUSG00000004328
ENSMUSG00000004665.11	176.67397857907	-0.521317454684716	0.225548807866221	0.000607942664583371	0.0585174615772504	Cnn2	ENSMUSG00000004665
ENSMUSG00000004891.17	480.355648538411	-0.95125865895712	0.143753898098995	1.39950321595711e-12	1.08476230849476e-09	Nes	ENSMUSG00000004891
ENSMUSG00000006445.4	95.3737235988333	-1.28579008495518	0.293275922192829	4.03602259736966e-07	0.000144971962906007	Epha2	ENSMUSG00000006445
ENSMUSG00000008393.10	1329.10454408972	-0.272872487405453	0.0949035905625612	0.000171981287691401	0.0221913004278845	Carhsp1	ENSMUSG00000008393
ENSMUSG00000018143.11	358.948199626744	-0.796243673881026	0.148739890073293	3.65416931928528e-09	2.15259806260457e-06	Mafk	ENSMUSG00000018143
ENSMUSG00000019970.16	2866.86042242528	-1.11014566465024	0.295592146386858	4.74896294516213e-06	0.00124889245166791	Sgk1	ENSMUSG00000019970
ENSMUSG00000019997.12	622.579436443767	-0.553348452404658	0.11761523047359	1.08546796386708e-07	4.56733905824872e-05	Ccn2	ENSMUSG00000019997
ENSMUSG00000020023.19	1847.18622284326	-0.431022460815128	0.08707134743608	3.35560137439832e-08	1.59412714325045e-05	Tmcc3	ENSMUSG00000020023
ENSMUSG00000020044.14	3374.17806507984	-0.514094820957755	0.0675968263654278	1.1895377343639e-15	1.75183222139771e-12	Timp3	ENSMUSG00000020044
ENSMUSG00000020108.5	1097.86057264716	-0.867992057873299	0.116151708670844	2.96127300985296e-15	3.90977931441106e-12	Ddit4	ENSMUSG00000020108
ENSMUSG00000020114.13	3974.08226279661	-0.182240437835655	0.073341740648813	0.000687881772112293	0.0634782921265166	Cand1	ENSMUSG00000020114
ENSMUSG00000020423.7	325.744590768479	-1.14582735120875	0.170962660758478	7.36790172190664e-13	6.38276992108936e-10	Btg2	ENSMUSG00000020423
ENSMUSG00000020758.16	575.37920924097	-0.383846020141557	0.123254910711493	7.20036862875935e-05	0.0118029874224961	Itgb4	ENSMUSG00000020758
ENSMUSG00000021025.9	408.652988316259	-0.994389005614888	0.164167132602788	4.7786436569224e-11	3.51875425677481e-08	Nfkbia	ENSMUSG00000021025
ENSMUSG00000021134.18	3720.53888942052	-0.21863973207517	0.0726506805164969	0.000131880844168994	0.0183227282271393	Srsf5	ENSMUSG00000021134
ENSMUSG00000021453.3	325.635371827505	-0.551844123479803	0.174096288294457	5.28872310928099e-05	0.00949841771102209	Gadd45g	ENSMUSG00000021453
ENSMUSG00000021820.19	5257.44322166006	-0.195945566236236	0.06240605563449	9.66827463932058e-05	0.0144013246638112	Camk2g	ENSMUSG00000021820
ENSMUSG00000022508.6	979.094003170372	-0.311102346493867	0.120032952173983	0.000351951467720198	0.038111685772907	Bcl6	ENSMUSG00000022508
ENSMUSG00000022893.15	602.748101919324	-1.37785427711308	0.131357146086455	3.22761579512389e-27	1.18832744536974e-23	Adamts1	ENSMUSG00000022893
ENSMUSG00000023067.15	807.368633429846	-0.776222443894557	0.109722026405533	6.47061602555047e-14	7.33021247756014e-11	Cdkn1a	ENSMUSG00000023067
ENSMUSG00000024042.8	429.597280673743	-0.989619726682274	0.179120755513604	9.63295318048084e-10	6.16802180386702e-07	Sik1	ENSMUSG00000024042
ENSMUSG00000024053.12	229.730038834179	-0.798798633806251	0.269355944611193	7.48169162279268e-05	0.0118476207020288	Emilin2	ENSMUSG00000024053
ENSMUSG00000024074.9	1982.21557160343	-0.256268941550262	0.0811242752309912	8.06173980057088e-05	0.0126303448981923	Crim1	ENSMUSG00000024074
ENSMUSG00000024190.8	895.702394663478	-1.00267639667514	0.249786499894436	1.81267862366277e-06	0.000556152460222533	Dusp1	ENSMUSG00000024190
ENSMUSG00000026347.14	695.308204001541	-0.334969780445479	0.150354786018236	0.000799553632662694	0.0717989411477043	Tmem163	ENSMUSG00000026347
ENSMUSG00000026628.14	56.9795387367464	-2.81416107842163	0.425529129493183	6.81764344076808e-13	6.27521468451197e-10	Atf3	ENSMUSG00000026628
ENSMUSG00000027499.13	2821.05505237	-0.214598147655474	0.0829055298555776	0.000432553359932956	0.0442520154897183	Pkia	ENSMUSG00000027499
ENSMUSG00000027525.19	2722.2497023832	-0.220964182880388	0.0713765005858451	9.09814546851231e-05	0.0139129670875932	Phactr3	ENSMUSG00000027525
ENSMUSG00000028128.14	773.789378730576	-0.455032897932599	0.122537992998312	8.19413624860621e-06	0.00197827941857744	F3	ENSMUSG00000028128
ENSMUSG00000028195.5	368.818443548079	-3.03185637228326	0.168646102900016	4.75709329703995e-74	3.50288564927537e-70	Ccn1	ENSMUSG00000028195
ENSMUSG00000028645.12	3601.1615610409	-0.739977843512991	0.0817144950910827	7.24233078949296e-21	1.77763009228105e-17	Slc2a1	ENSMUSG00000028645
ENSMUSG00000028776.15	316.512866647313	-0.717557711151584	0.195619157098267	7.70737501032373e-06	0.00189177519628396	Tinagl1	ENSMUSG00000028776
ENSMUSG00000028862.7	165.912081983495	-0.822205180709422	0.224322766972129	8.46988576696848e-06	0.00201187109177653	Map3k6	ENSMUSG00000028862
ENSMUSG00000028967.11	970.467139407342	-0.572805560788136	0.128857704099456	3.23063071756441e-07	0.000121993586096336	Errfi1	ENSMUSG00000028967
ENSMUSG00000029570.6	634.498491791	-0.495786887997075	0.123229260505792	2.39942886043462e-06	0.000692870369169033	Lfng	ENSMUSG00000029570
ENSMUSG00000029580.15	14684.197399307	-0.198706665642096	0.0587866684726271	3.59174648360591e-05	0.00695995400842951	Actb	ENSMUSG00000029580
ENSMUSG00000030087.12	652.40806806819	-0.409721842610339	0.143695385405738	0.000148043653255279	0.0200021915733072	Klf15	ENSMUSG00000030087
ENSMUSG00000030208.16	68.7384144825736	-0.997594371315861	0.334714095343437	9.1638338256029e-05	0.0139129670875932	Emp1	ENSMUSG00000030208
ENSMUSG00000031167.17	1151.5101660268	-0.293708338730135	0.098788661711718	0.000123386366738534	0.0174722213745998	Rbm3	ENSMUSG00000031167
ENSMUSG00000031431.14	1893.05899366846	-0.355139661039218	0.104920699034628	2.91523136214087e-05	0.0059628628153123	Tsc22d3	ENSMUSG00000031431
ENSMUSG00000031825.17	143.360104852984	-0.554763103110101	0.243287073830214	0.00064148520298306	0.0609493715118163	Crispld2	ENSMUSG00000031825
