Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000001.5	902.322080792095	-0.128576762746656	0.106424189781284	0.0689313970907614	0.232622636080342	Gnai3	ENSMUSG00000000001
ENSMUSG00000000028.16	46.5116502874105	-0.00420188950337948	0.108179882788278	0.900359679499264	NA	Cdc45	ENSMUSG00000000028
ENSMUSG00000000031.18	9.29772336995077	-0.00275638602954564	0.11245825373334	0.876924549992458	NA	H19	ENSMUSG00000000031
ENSMUSG00000000037.18	26.9254150191758	0.0529772759074842	0.130089252379857	0.0297113985363073	NA	Scml2	ENSMUSG00000000037
ENSMUSG00000000056.8	1520.04840590091	-0.000599116603476371	0.0833702408561992	0.990481428031507	0.99602748185383	Narf	ENSMUSG00000000056
ENSMUSG00000000058.7	706.52981466022	-0.108609073390926	0.0910438373696297	0.0956036101043908	0.282981262040645	Cav2	ENSMUSG00000000058
ENSMUSG00000000078.8	924.998645928365	0.0169648631261884	0.0852483099487303	0.766953949628238	0.887206920796324	Klf6	ENSMUSG00000000078
ENSMUSG00000000085.17	898.984564090766	-0.018778385931166	0.0817490295942409	0.742375497381981	0.872793095339514	Scmh1	ENSMUSG00000000085
ENSMUSG00000000088.8	1909.71648349736	0.113602130694359	0.0731077832182783	0.0540748238224434	0.202487591317566	Cox5a	ENSMUSG00000000088
ENSMUSG00000000093.7	46.8084696499965	-0.0196761681247665	0.109577057257018	0.583603545930976	NA	Tbx2	ENSMUSG00000000093
ENSMUSG00000000120.7	141.291121042981	0.0385858846414801	0.105224658016759	0.460078259810749	0.686515428037626	Ngfr	ENSMUSG00000000120
ENSMUSG00000000125.6	170.521321591561	0.137580061822064	0.17488882679113	0.0578728411248269	0.210417263855291	Wnt3	ENSMUSG00000000125
ENSMUSG00000000126.12	197.2909186025	0.0520126929732802	0.111326875355387	0.320977074833505	0.566565818292227	Wnt9a	ENSMUSG00000000126
ENSMUSG00000000127.16	385.308296261838	-0.125920717107723	0.110956720859928	0.0763879611406506	0.246191093650234	Fer	ENSMUSG00000000127
ENSMUSG00000000131.16	2519.20956575863	-0.0624498101939922	0.0648238033826233	0.244903114258207	0.484844097282575	Xpo6	ENSMUSG00000000131
ENSMUSG00000000134.18	834.69379793177	0.0764509579211284	0.0994628423756343	0.237032923881875	0.474935757202542	Tfe3	ENSMUSG00000000134
ENSMUSG00000000142.16	612.190269993569	-0.0106577859224548	0.0962850369785222	0.814268407303726	0.913370723553509	Axin2	ENSMUSG00000000142
ENSMUSG00000000148.18	439.053863183039	0.0489225754397708	0.0958174741922436	0.405281043018506	0.642770271457075	Brat1	ENSMUSG00000000148
ENSMUSG00000000149.11	2713.66034903365	0.316467700889932	0.0935960547763966	7.46213388319675e-05	0.00274530095341651	Gna12	ENSMUSG00000000149
ENSMUSG00000000154.17	16.259706417715	-0.035255940032251	0.119620762997573	0.122270668603715	NA	Slc22a18	ENSMUSG00000000154
ENSMUSG00000000159.17	10.4924224854641	0.0228170418686816	0.115732831923924	0.212253257430389	NA	Igsf5	ENSMUSG00000000159
ENSMUSG00000000167.15	24.2807600802611	0.00450925900905888	0.111816944016227	0.837107911156862	NA	Pih1d2	ENSMUSG00000000167
ENSMUSG00000000168.11	2902.4705641333	-0.131688292241643	0.0727525310325226	0.0262372250874999	0.132095863231017	Dlat	ENSMUSG00000000168
ENSMUSG00000000171.6	1506.61156732681	0.0787893212623716	0.090424722487224	0.213570668882705	0.447776660457763	Sdhd	ENSMUSG00000000171
ENSMUSG00000000184.13	1370.22602266068	0.12684504458757	0.0754399363847377	0.036383656862087	0.161786383546656	Ccnd2	ENSMUSG00000000184
ENSMUSG00000000194.14	1628.55397677923	0.0809358566426498	0.0824203042320668	0.184597848558824	0.411498335999278	Gpr107	ENSMUSG00000000194
ENSMUSG00000000197.9	3725.26127234258	-0.0694663768157862	0.0589395844107355	0.171121522794557	0.394600044707368	Nalcn	ENSMUSG00000000197
ENSMUSG00000000202.10	544.858330265163	0.173705461134012	0.116786147205781	0.0264425946082322	0.132835838722032	Btbd17	ENSMUSG00000000202
ENSMUSG00000000214.12	305.807314748904	0.0297939567368077	0.0921437456323456	0.599751280504307	0.789214741177494	Th	ENSMUSG00000000214
ENSMUSG00000000216.9	9.43228782519622	-0.0114351998207636	0.113365517769833	0.511306854102806	NA	Scnn1g	ENSMUSG00000000216
ENSMUSG00000000223.14	1900.31223754849	-0.0290580096988289	0.0725903352581475	0.605043668094381	0.793146468096447	Drp2	ENSMUSG00000000223
ENSMUSG00000000247.12	868.063836232134	0.1581431593222	0.112764715357102	0.0362130727386899	0.161236310564566	Lhx2	ENSMUSG00000000247
ENSMUSG00000000253.14	734.085758628643	0.160339272954329	0.108153770245646	0.0317086110453858	0.147962677661015	Gmpr	ENSMUSG00000000253
ENSMUSG00000000263.16	376.403976742962	0.0293960905240702	0.0916388004127258	0.634327861967496	0.811656603355616	Glra1	ENSMUSG00000000263
ENSMUSG00000000266.12	1066.46841545267	-0.23352275140772	0.122184813626878	0.00676885559510297	0.0539965575789366	Mid2	ENSMUSG00000000266
ENSMUSG00000000275.17	142.115524620913	-0.0278603371942551	0.104548912469602	0.55817419722752	0.762920049865654	Trim25	ENSMUSG00000000275
ENSMUSG00000000276.12	2739.90162273939	-0.0681475238681105	0.0541186124490663	0.152050931441299	0.368425912167989	Dgke	ENSMUSG00000000276
ENSMUSG00000000278.11	344.27655363814	-0.00561436343485572	0.0857922066304997	0.918626398759849	0.965267354838311	Scpep1	ENSMUSG00000000278
ENSMUSG00000000282.13	984.405797061246	0.177445980061889	0.113388197480749	0.0225272098542189	0.119826144700013	Mnt	ENSMUSG00000000282
