pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.74258330493619e-07	1.8712916524681e-05	0.674962860011025	-0.774940066811675	-2.64740588520659	159	Ccn1,Klf2,Maff,Plaur,Zfp36,Cdkn1a,Rhob,Atf3,Btg2,Nfkbia,Klf4,Dusp1,Sgk1,F3,Cebpd,Ppp1r15a,Ier2,Bcl6,Spsb1,Litaf,Klf9,Plk2,Snn,Sdc4,Edn1,Cd83,Serpine1,Cebpb,Lamb3,B4galt1,Pde4b,Jun,Tsc22d1,Gch1
HALLMARK_HYPOXIA	6.05513662731808e-06	0.000151378415682952	0.610526878385931	-0.753765098460825	-2.59466759776705	175	Ccn1,Akap12,Slc2a1,Maff,Plaur,Zfp36,Ddit4,Cdkn1a,Atf3,Ccn2,Errfi1,Dusp1,F3,Ppp1r15a,Ndrg1,Nedd4l,Sdc4,Tpbg,Anxa2,Glrx,Serpine1,Bcan,Jun,Pygm,Mt1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00399000095038651	0.0498750118798314	0.407017918923954	-0.642992537872405	-2.2133578578131	175	Ccn1,Plaur,Timp3,Rhob,Ccn2,Tpm4,Itga5,Vim,Sdc4,Aplp1,Serpine2,Serpine1,Sparc,Pmp22,Igfbp2,Abi3bp,Jun
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0620917564291752	0.160368459339018	0.321775918075361	-0.702351504207256	-2.17613511218892	67	Plaur,Atf3,Errfi1,Actg1,Cd9,Fabp5,Anxa5,Clu,Niban1,Lgmn,Dhcr7,Abca2,Mvd,Sqle,Nsdhl,Gstm7,Fdft1,Acat2,Ldlr,Fasn,Tnfrsf12a,Gnai1,Aldoc
HALLMARK_ANDROGEN_RESPONSE	0.0505139011146133	0.160368459339018	0.321775918075361	-0.677687217929107	-2.16959444825501	86	Adamts1,Akap12,Sgk1,Ndrg1,B4galt1,Lifr,Tsc22d1,Cdk6,Sec24d,Sord,Dhcr24,H1f0,Insig1,Plpp1,Fkbp5
HALLMARK_APOPTOSIS	0.0243835018728024	0.160368459339018	0.352487857583619	-0.619179699486752	-2.09629366288161	140	Timp3,Cdkn1a,Rhob,Atf3,Btg2,Txnip,Emp1,Gsn,Nefh,Gpx1,Plat,Ppp2r5b,Cd14,Pmaip1,Jun,Gch1,Vdac2,Eno2,H1f0,Clu,Cflar,Gpx3,Lmna,App,Gpx4,Birc3,Sod1,Hspb1
HALLMARK_COAGULATION	0.0541600672216859	0.160368459339018	0.321775918075361	-0.649551475928082	-2.06617235054863	83	Maff,Timp3,F3,Gsn,Csrp1,Plat,Serpine1,Sparc,Cd9,Trf,Serping1,Htra1,Clu,Lgmn,Mmp15,Capn5,Wdr1,Sirt2,F8,Thbd,Gnb2,Thbs1
HALLMARK_P53_PATHWAY	0.021314312087185	0.160368459339018	0.352487857583619	-0.571896802315286	-1.98194162192305	179	Ddit4,Cdkn1a,Atf3,Btg2,Txnip,Klf4,Epha2,Itgb4,Ppp1r15a,Coq8a,Plk2,Ndrg1,Notch1,Def6,Sesn1,Abhd4,Cd81,Abat,Jun,Tsc22d1,Ctsd,Ak1,Ada,Tm4sf1,Acvr1b,Mxd4,App,Foxo3,Rps12,Ninj1,Rpl36,Ldhb
HALLMARK_UV_RESPONSE_DN	0.0401477555474584	0.160368459339018	0.321775918075361	-0.570974235256505	-1.93308933097942	140	Ccn1,Dusp1,F3,Id1,Dbp,Fzd2,Anxa2,Serpine1,Pmp22,Dyrk1a,Mt1,Cdon,Pex14,Pias3
HALLMARK_INFLAMMATORY_RESPONSE	0.0447287378531244	0.160368459339018	0.321775918075361	-0.573390036506897	-1.91286121204039	125	Plaur,Cdkn1a,Btg2,Nfkbia,F3,Axl,Itga5,Rhog,Tpbg,Edn1,Serpine1,Pde4b,Cd14,Gch1,Il4ra,Adm,Acvr1b,Klf6
