pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.05138100690896e-13	1.52569050345448e-11	0.932595211336209	0.605651994691027	2.39723345469215	147	Per1,Jun,Dusp1,Junb,Irs2,Egr1,Cebpd,Rhob,Trib1,Spsb1,Ccn1,Fos,Fosl2,Ier2,Klf2,Bhlhe40,Nr4a1,Rcan1,Egr3,Sdc4,Btg2,Klf4,Fosb,Nr4a3,Pmepa1,Ninj1,Egr2,Tnfaip6,Maff,Il6st,Cebpb,Dusp4,B4galt5,Panx1,Mcl1,Ccnd1,Bcl6,Plpp3,Tubb2a,Nfil3,Mxd1,Ldlr,Pnrc1,Fjx1,Sgk1,Snn,Zfp36,Ier3,Gadd45a,Dennd5a,Phlda1,Tnip1,Tnc,Sqstm1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.75109661051616e-06	2.1888707631452e-05	0.643551836150722	0.613932568995618	2.11273417613572	62	Errfi1,Fdps,Hsd17b7,Sqle,Actg1,Srebf2,Dhcr7,Hmgcr,Mvd,Pmvk,Aldoc,Cyp51,Fabp5,Fdft1,Nfil3,Fbxo6,Ldlr,Tmem97,Tnfrsf12a,Pnrc1,Ebp,Mvk,Atf5,Lss,Fasn,Sema3b
HALLMARK_P53_PATHWAY	2.21550572960971e-09	5.53876432402427e-08	0.774939030136436	0.512314207188346	2.05286093251285	166	Jun,Ndrg1,Ddit4,Mxd4,Fos,Sec61a1,Abhd4,Cd81,Zbtb16,Txnip,Ccnd3,Btg2,Klf4,Mknk2,Gm2a,Zmat3,Phlda3,Ninj1,Cdh13,Hras,Kif13b,Ralgds,Hexim1,Polh,App,Rpl18,Ctsf,Ephx1,Ctsd,Mxd1,S100a10,Itgb4,Ak1,Bak1,Ccnd2,Rgs16,Stom,Cd82,Ier3,Gadd45a,Foxo3,Plk3,Vamp8,Rxra,Baiap2,Cdk5r1,Pom121,Hint1,Steap3,Tm4sf1,Prmt2,Ier5,Ppp1r15a,Pcna,Tprkb,Abat,Iscu,Rpl36,Plk2,Mdm2,Pdgfa,Traf4,Pmm1,Cdkn1a,Ei24,Fgf13
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.000100940473623439	0.000504702368117193	0.538434096309916	0.609876221709884	1.97955756728626	46	Junb,Mbp,Prnp,Srxn1,Egln2,Ftl1,Ptpa,Txnrd1,Gpx4,Hmox2,Prdx6,Sod1,Atox1,Sod2,Sbno2,Pdlim1,Cdkn2d
HALLMARK_HYPOXIA	7.10933072501598e-08	1.18488845416933e-06	0.704975715167238	0.49172606173143	1.96550081276827	165	Slc2a1,Jun,Dusp1,Irs2,Ndrg1,Ddit4,Ccn1,Fos,Errfi1,Fosl2,Bhlhe40,Sdc4,Ncan,Chst2,Hspa5,Hk1,Mxi1,Aldoc,Maff,Tgfb3,Aldoa,Myh9,Ilvbl,Ndst1,Eno2,Nfil3,Chst3,Sdc3,Gaa,Akap12,Galk1,Bcan,Pnrc1,Sult2b1,Cavin1,Ldha,Zfp36,Ier3,Gpi1,Foxo3,Slc25a1,Vhl,Lxn,Gpc1,P4ha1,Tpst2,Ppp1r3c,Siah2,Ak4,Tpi1
HALLMARK_XENOBIOTIC_METABOLISM	7.41263164323534e-06	7.41263164323534e-05	0.610526878385931	0.476750368430535	1.85907236134811	138	Tmbim6,Aldh2,Ppard,Pink1,Npc1,Pdk4,Blvrb,Ptges,Slc12a4,Tnfrsf1a,Apoe,Ninj1,Hsd11b1,Jup,Mpp2,Elovl5,Sertad1,Igfbp4,Bcar1,Acox3,Ephx1,Pcx,Car2,Gart,Aco2,Tmem97,Gabarapl1,Comt,Bcat1,Ptgds,Cbr1,Por,Cyp27a1,Ddah2,Cndp2,Rap1gap,Smox,Pmm1,Pts,Abhd6,Atp2a2,Tpst1,Ndrg2,Dhrs7,Lcat,Gad1,Fmo1,Cdo1
HALLMARK_APOPTOSIS	1.64699941775087e-05	0.000137249951479239	0.575610261071129	0.459223878173829	1.78003604332134	131	Jun,Rhob,Txnip,Smad7,Gsn,Egr3,Btg2,Pea15a,Emp1,Rhot2,Hspb1,App,Mcl1,Ccnd1,Bcl2l1,Eno2,Add1,Bcl2l2,Gpx4,Fez1,Timp3,Tnfrsf12a,Lmna,Ccnd2,Ebp,H1f0,Plat,Ier3,Gadd45a,Nedd9,Bcl10,Sod1,Ppp2r5b,Brca1,Sqstm1,Nefh
HALLMARK_ESTROGEN_RESPONSE_EARLY	3.68300992282034e-05	0.00026307213734431	0.557332238758646	0.441211892951673	1.75290733225528	159	Slc2a1,Fos,Bhlhe40,Egr3,Tubb2b,Blvrb,Dhcr7,Aff1,Klf4,Ptges,Syngr1,Fkbp4,Adcy9,Elovl5,Cish,Fkbp5,Xbp1,Wfs1,Hspb8,Igfbp4,Il6st,Ccnd1,Dlc1,Fdft1,Mapt,Kdm4b,Sult2b1,Amfr,Arl3,Kazn,Olfm1,Bcl11b,Rab31,Fasn,Sema3b,Siah2,Cant1
HALLMARK_IL2_STAT5_SIGNALING	7.09029631025923e-05	0.000393905350569957	0.538434096309916	0.430907013216391	1.70989905884129	153	Rhob,Ndrg1,Cd81,Prnp,Ccnd3,Spred2,Bhlhe40,Hipk2,Penk,Aplp1,Syt11,Ahnak,Emp1,Ncs1,Adam19,Mapkapk2,Spry4,Map6,Cish,Xbp1,Maff,Bcl2l1,Nfil3,Hopx,Mxd1,Gpx4,Car2,S100a1,Gabarapl1,Ccnd2,Rgs16,Eomes,Slc29a2,Dennd5a,Ccne1,Phlda1,Myo1e,Plec,Pnp,P4ha1,Uck2,Cdc42se2,Fgl2,Tlr7
HALLMARK_MTORC1_SIGNALING	6.24146097377873e-05	0.000390091310861171	0.538434096309916	0.417351511621314	1.69993036046482	185	Slc2a1,Ddit4,Adipor2,Calr,Bhlhe40,Got1,Dhcr24,Sqle,Dhcr7,Hmgcr,Hspa5,Btg2,Igfbp5,Phgdh,Qdpr,Insig1,Acly,Txnrd1,Coro1a,Elovl5,Xbp1,Cyp51,Tubg1,Aldoa,Sdf2l1,Nfil3,Edem1,Stip1,Acaca,Ldlr,Tmem97,Rpa1,Sord,Tomm40,Ldha,Serpinh1,Ebp,Bcat1,Psmb5,Gpi1,Fads1,Sqstm1,Pnp,P4ha1,Ak4,Tpi1,Abcf2,Fgl2
