Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000001.5	577.228077139665	0.00798342715277147	0.0441327498783761	0.61576084127206	0.970035593635642	Gnai3	ENSMUSG00000000001
ENSMUSG00000000028.16	34.221777379118	0.000533004554402929	0.0463300526121629	0.914197408370981	0.996808819006661	Cdc45	ENSMUSG00000000028
ENSMUSG00000000031.18	12.8232202874073	-0.000753496173681327	0.0465124946518493	0.795221967221558	NA	H19	ENSMUSG00000000031
ENSMUSG00000000037.18	14.4153306866948	-0.000751205494990751	0.0464920937260795	0.846649263846931	NA	Scml2	ENSMUSG00000000037
ENSMUSG00000000056.8	1061.82931457966	0.0427177832938569	0.0640358071698788	0.0786293549128616	0.711048895356082	Narf	ENSMUSG00000000056
ENSMUSG00000000058.7	468.263026808898	0.00532720377407226	0.0442715794013908	0.716523417385826	0.979733168531473	Cav2	ENSMUSG00000000058
ENSMUSG00000000078.8	653.084313666519	-0.0337447918257151	0.0589212093120191	0.0875311045887359	0.741271177273326	Klf6	ENSMUSG00000000078
ENSMUSG00000000085.17	731.175581992948	0.00878393480601676	0.0435536552390837	0.610885947134886	0.969871882123876	Scmh1	ENSMUSG00000000085
ENSMUSG00000000088.8	1326.86942774835	-0.029188247799241	0.0508705998615636	0.190658405029147	0.863284896204352	Cox5a	ENSMUSG00000000088
ENSMUSG00000000093.7	45.8577576956709	0.000371376676932898	0.0462596856587102	0.948315709342525	0.999366543881748	Tbx2	ENSMUSG00000000093
ENSMUSG00000000120.7	136.338964912683	-0.00916912162586258	0.0469622348545547	0.317109085952078	0.913100217720491	Ngfr	ENSMUSG00000000120
ENSMUSG00000000125.6	190.680354660188	-0.0114211704199062	0.0471253772739772	0.31402450399879	0.913100217720491	Wnt3	ENSMUSG00000000125
ENSMUSG00000000126.12	164.087840339759	-0.00742604209059837	0.0462727180193088	0.455493611495312	0.953267758826439	Wnt9a	ENSMUSG00000000126
ENSMUSG00000000127.16	252.4254107431	-0.00677490249498863	0.0454376487576248	0.596725253099895	0.968530705190314	Fer	ENSMUSG00000000127
ENSMUSG00000000131.16	2132.09942441283	-0.0164271382835645	0.0425680198217834	0.446258461674243	0.951321391031876	Xpo6	ENSMUSG00000000131
ENSMUSG00000000134.18	736.620744516445	0.0117741555792111	0.0443266940996212	0.513818056659236	0.959281385092167	Tfe3	ENSMUSG00000000134
ENSMUSG00000000142.16	514.504334009091	0.0414343985101152	0.0705167195164883	0.0355095961851819	0.561428685124266	Axin2	ENSMUSG00000000142
ENSMUSG00000000148.18	382.919414586267	0.027767641847009	0.0549821145641875	0.101151009022778	0.756167974557586	Brat1	ENSMUSG00000000148
ENSMUSG00000000149.11	3070.46648834518	-0.0397312341853561	0.0500980521964926	0.138038349039643	0.808634270268124	Gna12	ENSMUSG00000000149
ENSMUSG00000000154.17	17.4117020052096	-0.00453487490211308	0.0467989790760004	0.196552019260649	NA	Slc22a18	ENSMUSG00000000154
ENSMUSG00000000167.15	16.3792119865036	0.00471433554154148	0.0468275058917653	0.179272537734216	NA	Pih1d2	ENSMUSG00000000167
ENSMUSG00000000168.11	2380.1485306084	0.00517940626326167	0.0401006812344764	0.802117935293878	0.98557825549142	Dlat	ENSMUSG00000000168
ENSMUSG00000000171.6	1084.39971596373	-0.00309372717868095	0.0417729073549777	0.857447105585053	0.993134863847755	Sdhd	ENSMUSG00000000171
ENSMUSG00000000184.13	980.39431326292	0.00823338761428181	0.0426377251704112	0.664228930276343	0.972955983308106	Ccnd2	ENSMUSG00000000184
ENSMUSG00000000194.14	1398.440871396	0.00286429020440945	0.0406494353908748	0.845688475877783	0.992544962085759	Gpr107	ENSMUSG00000000194
ENSMUSG00000000197.9	2677.69888540615	-0.023833023735612	0.0439001960476956	0.378089413961847	0.940954270332384	Nalcn	ENSMUSG00000000197
ENSMUSG00000000202.10	687.635170125189	0.00853162539578689	0.0437832410003605	0.633158548532987	0.971823187538495	Btbd17	ENSMUSG00000000202
ENSMUSG00000000214.12	265.01755499122	-0.0102103870261386	0.0462806922474789	0.411058418009959	0.94570566578729	Th	ENSMUSG00000000214
ENSMUSG00000000223.14	1384.78396378083	0.0311178993392163	0.0504850401565619	0.174841569248369	0.855947346012926	Drp2	ENSMUSG00000000223
ENSMUSG00000000247.12	816.58890550339	-0.00463138052163501	0.0430576478748838	0.83996121460418	0.992223238917265	Lhx2	ENSMUSG00000000247
ENSMUSG00000000253.14	647.621554895918	-0.00268162621203772	0.0428691513408392	0.874690763248298	0.995045104107829	Gmpr	ENSMUSG00000000253
ENSMUSG00000000263.16	327.10154304925	-0.0158599637679163	0.0488948298641346	0.173216198716841	0.853447627468358	Glra1	ENSMUSG00000000263
ENSMUSG00000000266.12	691.697315984111	0.0353585672451342	0.0593130163359105	0.0929074629710627	0.749395653779143	Mid2	ENSMUSG00000000266
ENSMUSG00000000275.17	127.97943347489	-0.000279347694718962	0.0457252790047631	0.973377650743396	0.999722088192533	Trim25	ENSMUSG00000000275
ENSMUSG00000000276.12	2169.73496333575	-0.00603902815179317	0.0412940212821296	0.761071115953937	0.983763807866301	Dgke	ENSMUSG00000000276
ENSMUSG00000000278.11	300.21106749741	-0.00985670540869771	0.0457894353965958	0.475513957201003	0.957290859590909	Scpep1	ENSMUSG00000000278
ENSMUSG00000000282.13	1074.63334122188	-0.00229911847430998	0.041725087186859	0.936981649799662	0.998046410668074	Mnt	ENSMUSG00000000282
ENSMUSG00000000290.14	110.539436529448	-0.00876289366434626	0.0470664649913322	0.288478748865934	0.909212854541004	Itgb2	ENSMUSG00000000290
ENSMUSG00000000295.14	107.434190179874	-0.00514619203668462	0.0461235450686594	0.566562433991463	0.965996031695078	Hddc2	ENSMUSG00000000295
ENSMUSG00000000296.9	314.210138333931	-0.00598352704980235	0.0449619866313218	0.649142895697645	0.972135844211599	Tpd52l1	ENSMUSG00000000296
ENSMUSG00000000301.17	22.963085294693	0.00336721399774024	0.0466161308548517	0.414236562342189	0.946894568946828	Pemt	ENSMUSG00000000301
ENSMUSG00000000303.13	109.525289004866	-0.0091962803236352	0.0473318398647485	0.210389906698909	0.874720137513952	Cdh1	ENSMUSG00000000303
ENSMUSG00000000305.13	670.96732997927	0.00117436384466049	0.0428271835055388	0.94475510634282	0.999045366073179	Cdh4	ENSMUSG00000000305
ENSMUSG00000000308.15	3555.93160017328	-0.0318205023421016	0.0470636021180541	0.199208577332584	0.864647293248088	Ckmt1	ENSMUSG00000000308
ENSMUSG00000000317.12	32.7495456376246	-0.0111345115216978	0.048357079235877	0.020383758055408	0.466136032425455	Bcl6b	ENSMUSG00000000317
ENSMUSG00000000326.14	1312.18142423979	0.00975075565708048	0.0416394302024685	0.626446168595804	0.971345542306151	Comt	ENSMUSG00000000326
ENSMUSG00000000339.15	731.826332443514	-0.0396819748992508	0.0631621419265312	0.0733815335754163	0.691613699209005	Rtca	ENSMUSG00000000339
ENSMUSG00000000340.11	278.565608143681	0.0110129677238117	0.0464443133750719	0.391410522573305	0.943380333807904	Dbt	ENSMUSG00000000340
ENSMUSG00000000346.10	2155.97149553941	-0.0361200606722554	0.051469005465553	0.150909158066041	0.823735793490952	Dazap2	ENSMUSG00000000346
ENSMUSG00000000355.14	317.153534205527	-0.00111161613359378	0.0447417327663365	0.928412818149145	0.997676447099142	Mcts1	ENSMUSG00000000355
ENSMUSG00000000365.10	13.4304509485839	-0.00366303774695242	0.046719307049122	0.221110515521096	NA	Rnf17	ENSMUSG00000000365
ENSMUSG00000000374.9	2688.94618036115	-0.0300217306881793	0.0455003083515004	0.215825813594575	0.876832234974229	Trappc10	ENSMUSG00000000374
ENSMUSG00000000378.16	994.487281766094	-0.00748949414375254	0.0434562610462926	0.669624981907356	0.974307409370996	Ccm2	ENSMUSG00000000378
ENSMUSG00000000384.16	564.84037766173	0.00444363165751527	0.0440156755298399	0.769743641529413	0.984229216084074	Tbrg4	ENSMUSG00000000384
