Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000001.5	591.90484495464	1.40136486902636e-05	0.00144263560630315	0.0901258956789524	0.999826968260229	Gnai3	ENSMUSG00000000001
ENSMUSG00000000028.16	30.1893956597918	2.1312903937541e-06	0.00144268880174176	0.339474267838299	0.999826968260229	Cdc45	ENSMUSG00000000028
ENSMUSG00000000037.18	23.7152275190523	2.64943553060174e-07	0.00144269129201319	0.865386030067261	0.999826968260229	Scml2	ENSMUSG00000000037
ENSMUSG00000000056.8	989.968106566432	-3.15348352152474e-06	0.00144255879161163	0.751069236632585	0.999826968260229	Narf	ENSMUSG00000000056
ENSMUSG00000000058.7	444.806481258071	6.95759887755471e-06	0.00144264682387068	0.27416831188912	0.999826968260229	Cav2	ENSMUSG00000000058
ENSMUSG00000000078.8	628.776560933986	7.53103770271218e-06	0.00144261744628324	0.342640297169324	0.999826968260229	Klf6	ENSMUSG00000000078
ENSMUSG00000000085.17	704.087194315675	-7.0197700163836e-06	0.00144260368363457	0.407317107020471	0.999826968260229	Scmh1	ENSMUSG00000000085
ENSMUSG00000000088.8	1304.0349100667	2.3231758490233e-06	0.0014425389883899	0.828056400473901	0.999826968260229	Cox5a	ENSMUSG00000000088
ENSMUSG00000000093.7	50.2153464871394	-4.21603529380599e-06	0.00144268479724039	0.173904892623748	0.999826968260229	Tbx2	ENSMUSG00000000093
ENSMUSG00000000120.7	150.003362082772	-1.99836452921525e-06	0.00144265890789983	0.696961690084685	0.999826968260229	Ngfr	ENSMUSG00000000120
ENSMUSG00000000125.6	187.962585068488	-5.03224160857015e-07	0.00144266290875077	0.914830343911792	0.999826968260229	Wnt3	ENSMUSG00000000125
ENSMUSG00000000126.12	170.222006214466	-7.6398452513041e-06	0.0014426646257749	0.157444437771519	0.999826968260229	Wnt9a	ENSMUSG00000000126
ENSMUSG00000000127.16	267.917619383693	3.33371841005686e-06	0.00144264892540027	0.570618630727211	0.999826968260229	Fer	ENSMUSG00000000127
ENSMUSG00000000131.16	2029.69273817627	5.20184713713033e-06	0.00144257762833165	0.579230487883115	0.999826968260229	Xpo6	ENSMUSG00000000131
ENSMUSG00000000134.18	719.551131940896	-8.66397679298486e-06	0.00144260638449753	0.310699918707068	0.999826968260229	Tfe3	ENSMUSG00000000134
ENSMUSG00000000142.16	525.620830391408	-5.23043785716715e-06	0.00144261927058661	0.491016135272006	0.999826968260229	Axin2	ENSMUSG00000000142
ENSMUSG00000000148.18	384.771924383792	-4.5103052909443e-06	0.00144264153851096	0.479419923983961	0.999826968260229	Brat1	ENSMUSG00000000148
ENSMUSG00000000149.11	2972.87730200183	-7.76053404094e-06	0.00144255314558124	0.457659350264685	0.999826968260229	Gna12	ENSMUSG00000000149
ENSMUSG00000000154.17	18.2317677574792	-6.80254594277089e-08	0.0014426900793458	0.969550758160409	0.999826968260229	Slc22a18	ENSMUSG00000000154
ENSMUSG00000000167.15	13.8663580062888	-1.67084634022705e-06	0.00144269234811517	0.260117123884878	0.999826968260229	Pih1d2	ENSMUSG00000000167
ENSMUSG00000000168.11	2256.42675715989	1.16953492049348e-05	0.00144257418748631	0.251794595143244	0.999826968260229	Dlat	ENSMUSG00000000168
ENSMUSG00000000171.6	1033.71508970982	1.08258279265939e-05	0.0014425943334128	0.246595216907582	0.999826968260229	Sdhd	ENSMUSG00000000171
ENSMUSG00000000184.13	1016.4051215058	-2.62313368294992e-06	0.00144257576703825	0.777308247836631	0.999826968260229	Ccnd2	ENSMUSG00000000184
ENSMUSG00000000194.14	1359.8677413876	3.57921396245002e-06	0.0014425965232683	0.674328789383247	0.999826968260229	Gpr107	ENSMUSG00000000194
ENSMUSG00000000197.9	2566.87586746757	2.48799182947839e-06	0.00144256175367762	0.801038522466503	0.999826968260229	Nalcn	ENSMUSG00000000197
ENSMUSG00000000202.10	667.33954294799	-6.63913456786528e-06	0.00144263249814492	0.34775593808459	0.999826968260229	Btbd17	ENSMUSG00000000202
ENSMUSG00000000214.12	271.412633804468	3.83250544668158e-06	0.0014426371520275	0.501410172502237	0.999826968260229	Th	ENSMUSG00000000214
ENSMUSG00000000223.14	1383.47960183996	-1.36577720030091e-06	0.00144254643615434	0.894171418034182	0.999826968260229	Drp2	ENSMUSG00000000223
ENSMUSG00000000247.12	747.081109356237	2.48863650096447e-06	0.00144259650623915	0.769823091538012	0.999826968260229	Lhx2	ENSMUSG00000000247
ENSMUSG00000000253.14	618.734560323786	5.72360984356853e-06	0.00144261794689433	0.458716327515582	0.999826968260229	Gmpr	ENSMUSG00000000253
ENSMUSG00000000263.16	281.244714627819	2.60713146937755e-07	0.00144263909838732	0.968258570859947	0.999826968260229	Glra1	ENSMUSG00000000263
ENSMUSG00000000266.12	644.557455547209	-1.78443947111437e-06	0.00144261208157882	0.796631085148275	0.999826968260229	Mid2	ENSMUSG00000000266
ENSMUSG00000000275.17	120.010458449617	1.0421768977391e-06	0.00144266985899083	0.807706242505705	0.999826968260229	Trim25	ENSMUSG00000000275
ENSMUSG00000000276.12	2087.00368713103	-3.97253070466834e-06	0.00144252730518252	0.719280975055	0.999826968260229	Dgke	ENSMUSG00000000276
ENSMUSG00000000278.11	303.696195566408	1.07249713359389e-05	0.00144264847325959	0.122080220402891	0.999826968260229	Scpep1	ENSMUSG00000000278
ENSMUSG00000000282.13	1052.36213827172	-2.36929571770477e-06	0.00144259393851968	0.780878154299185	0.999826968260229	Mnt	ENSMUSG00000000282
ENSMUSG00000000290.14	91.9586280085172	-1.01618729319838e-06	0.00144267505929118	0.787406141437846	0.999826968260229	Itgb2	ENSMUSG00000000290
ENSMUSG00000000295.14	107.837545654653	2.11752051597043e-09	0.00144267018524831	0.99904102735777	0.999916068678522	Hddc2	ENSMUSG00000000295
ENSMUSG00000000296.9	299.704338577932	-2.09953458035074e-06	0.00144263340785496	0.753011196395269	0.999826968260229	Tpd52l1	ENSMUSG00000000296
ENSMUSG00000000301.17	28.1568668376923	-1.9182451167345e-07	0.00144268822447505	0.928888378006109	0.999826968260229	Pemt	ENSMUSG00000000301
ENSMUSG00000000303.13	99.9580996553289	4.34446568478642e-06	0.00144267236308031	0.316382897987287	0.999826968260229	Cdh1	ENSMUSG00000000303
ENSMUSG00000000305.13	629.590722190034	-1.27878513021512e-07	0.00144259214017394	0.987152884270297	0.999826968260229	Cdh4	ENSMUSG00000000305
ENSMUSG00000000308.15	3369.72751080001	-6.13392971484133e-06	0.00144250170625317	0.608456971694346	0.999826968260229	Ckmt1	ENSMUSG00000000308
ENSMUSG00000000317.12	37.0122027424609	-6.32790567410676e-07	0.00144268611799688	0.799945849158843	0.999826968260229	Bcl6b	ENSMUSG00000000317
ENSMUSG00000000326.14	1144.80972953683	2.58261173085096e-06	0.00144255810287045	0.796506578034645	0.999826968260229	Comt	ENSMUSG00000000326
ENSMUSG00000000339.15	720.233566801533	1.16760959136763e-05	0.00144261278948116	0.181603047857132	0.999826968260229	Rtca	ENSMUSG00000000339
ENSMUSG00000000340.11	297.238318782479	8.65375567100294e-06	0.00144265553618641	0.159098139999369	0.999826968260229	Dbt	ENSMUSG00000000340
ENSMUSG00000000346.10	1994.71330182021	8.11131976470141e-06	0.00144256839087767	0.416173252419865	0.999826968260229	Dazap2	ENSMUSG00000000346
ENSMUSG00000000355.14	306.569524329765	1.35253844987365e-05	0.00144267124345085	0.0324861362394855	0.999826968260229	Mcts1	ENSMUSG00000000355
ENSMUSG00000000365.10	16.8475923431436	-5.81665883772708e-08	0.00144269113247804	0.969369025662468	0.999826968260229	Rnf17	ENSMUSG00000000365
ENSMUSG00000000374.9	2571.37211803931	-1.31820513122265e-06	0.00144252894345973	0.903242301635926	0.999826968260229	Trappc10	ENSMUSG00000000374
ENSMUSG00000000378.16	935.942034952232	3.48893560834981e-06	0.00144259385789313	0.686311667352485	0.999826968260229	Ccm2	ENSMUSG00000000378
ENSMUSG00000000384.16	548.737312961928	-3.56028777298053e-06	0.00144260625236588	0.659170965607632	0.999826968260229	Tbrg4	ENSMUSG00000000384
ENSMUSG00000000392.18	29.8686556632933	3.19421396283135e-06	0.001442690258385	0.153820531166083	0.999826968260229	Fap	ENSMUSG00000000392
ENSMUSG00000000399.11	1852.37656381124	-5.60278891569238e-06	0.00144252242709725	0.620316744889483	0.999826968260229	Ndufa9	ENSMUSG00000000399
ENSMUSG00000000402.3	41.9067734858141	-8.48022418708889e-07	0.00144268427333751	0.760006730259944	0.999826968260229	Egfl6	ENSMUSG00000000402
ENSMUSG00000000409.15	18.1165750601848	-7.89834461927971e-08	0.00144269065606085	0.961832710630392	0.999826968260229	Lck	ENSMUSG00000000409
ENSMUSG00000000416.17	1903.82555687956	3.77533957048718e-07	0.00144256443228906	0.969823289161586	0.999826968260229	Cttnbp2	ENSMUSG00000000416
ENSMUSG00000000420.16	1118.08826560611	-9.69417416296747e-06	0.00144256354262323	0.347124612563953	0.999826968260229	Galnt1	ENSMUSG00000000420
ENSMUSG00000000439.10	816.101653617959	-7.15728711443628e-06	0.00144261483098543	0.369838463086859	0.999826968260229	Mkrn2	ENSMUSG00000000439
ENSMUSG00000000440.13	34.1212138903365	4.15575754264273e-07	0.0014426864791729	0.868941508587541	0.999826968260229	Pparg	ENSMUSG00000000440
ENSMUSG00000000441.18	1236.62942666408	1.27230212285768e-05	0.00144256623001903	0.232158587903772	0.999826968260229	Raf1	ENSMUSG00000000441
ENSMUSG00000000486.14	31.9589269555482	-5.37902894141766e-07	0.00144268712604323	0.818893007991008	0.999826968260229	Septin1	ENSMUSG00000000486
ENSMUSG00000000489.8	510.163597905473	-8.58511868649065e-06	0.00144264317649218	0.206445771580377	0.999826968260229	Pdgfb	ENSMUSG00000000489
ENSMUSG00000000530.17	373.902534706309	-7.9385577951868e-06	0.00144265666925377	0.180195208891988	0.999826968260229	Acvrl1	ENSMUSG00000000530
ENSMUSG00000000531.6	787.772339663302	-6.43684179150127e-06	0.00144259594905535	0.461030670798224	0.999826968260229	Tamalin	ENSMUSG00000000531
ENSMUSG00000000532.12	3027.48753987168	-9.77061392372717e-06	0.00144253406859605	0.387045252551292	0.999826968260229	Acvr1b	ENSMUSG00000000532
ENSMUSG00000000538.19	7323.18765583404	-6.57654091145277e-06	0.0014425211768916	0.563930176567924	0.999826968260229	Tom1l2	ENSMUSG00000000538
ENSMUSG00000000552.11	2008.57203359637	-1.85160853135471e-06	0.00144252073712811	0.868356091575021	0.999826968260229	Zfp385a	ENSMUSG00000000552
ENSMUSG00000000555.9	110.284147069246	7.15228076667777e-07	0.00144267379969203	0.855610078799074	0.999826968260229	Itga5	ENSMUSG00000000555
ENSMUSG00000000560.10	630.659495481966	2.61322424332385e-06	0.00144261114578181	0.73920572701387	0.999826968260229	Gabra2	ENSMUSG00000000560
ENSMUSG00000000561.15	977.037771939311	2.13050388791691e-06	0.00144258835357341	0.809510202771639	0.999826968260229	Wdr77	ENSMUSG00000000561
ENSMUSG00000000563.18	3060.14810971705	4.85980138061787e-06	0.00144249627613662	0.688481222029888	0.999826968260229	Atp5pb	ENSMUSG00000000563
ENSMUSG00000000567.6	534.631607292642	-5.5086611412686e-06	0.00144261535435	0.480314786366638	0.999826968260229	Sox9	ENSMUSG00000000567
ENSMUSG00000000568.16	3163.82342818496	-1.82665846679944e-05	0.00144253336663279	0.146494510180899	0.999826968260229	Hnrnpd	ENSMUSG00000000568
ENSMUSG00000000579.15	83.3782186485026	5.17866520133176e-06	0.00144267914694475	0.179353361710138	0.999826968260229	Dynlt1c	ENSMUSG00000000579
ENSMUSG00000000581.9	539.141772552936	-2.82563308155391e-06	0.00144263786696027	0.660638348257149	0.999826968260229	C1d	ENSMUSG00000000581
ENSMUSG00000000594.8	1207.40147954964	-3.59187861618263e-08	0.00144255267375203	0.996167410167696	0.999826968260229	Gm2a	ENSMUSG00000000594
