Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000001.5	558.611938350773	-2.34013791028736e-06	0.00144259670985571	0.780868622262254	0.999919353198441	Gnai3	ENSMUSG00000000001
ENSMUSG00000000028.16	30.4921250692318	2.47763883172375e-06	0.0014426884293215	0.291446386923001	0.999919353198441	Cdc45	ENSMUSG00000000028
ENSMUSG00000000031.18	14.2497608834742	4.23003397643264e-07	0.00144269207171961	0.7640316180382	0.999919353198441	H19	ENSMUSG00000000031
ENSMUSG00000000037.18	23.4205910408697	-1.28660829141759e-07	0.00144269141537266	0.927949935111911	0.999919353198441	Scml2	ENSMUSG00000000037
ENSMUSG00000000056.8	992.989884820873	1.04707186048839e-06	0.00144253475199432	0.923218878132815	0.999919353198441	Narf	ENSMUSG00000000056
ENSMUSG00000000058.7	448.202366475432	5.82968665120898e-06	0.00144260455657123	0.48505844126244	0.999919353198441	Cav2	ENSMUSG00000000058
ENSMUSG00000000078.8	620.787769020171	4.75302370343967e-06	0.00144262514244468	0.51334381948224	0.999919353198441	Klf6	ENSMUSG00000000078
ENSMUSG00000000085.17	722.402424864502	-1.09216539998259e-05	0.00144260704304716	0.216071396805782	0.999919353198441	Scmh1	ENSMUSG00000000085
ENSMUSG00000000088.8	1354.96813726065	1.04004240567499e-05	0.00144251896706235	0.380457363304322	0.999919353198441	Cox5a	ENSMUSG00000000088
ENSMUSG00000000093.7	54.1219007979795	-2.62852998005254e-06	0.00144268255815033	0.400604177528835	0.999919353198441	Tbx2	ENSMUSG00000000093
ENSMUSG00000000120.7	159.165587188429	8.91731372248449e-07	0.00144266010982743	0.860065952000877	0.999919353198441	Ngfr	ENSMUSG00000000120
ENSMUSG00000000125.6	192.151094246116	-3.2582469462369e-07	0.00144264806951848	0.954335677327013	0.999919353198441	Wnt3	ENSMUSG00000000125
ENSMUSG00000000126.12	174.173085706466	-7.27989244578013e-06	0.0014426635782426	0.178078346977114	0.999919353198441	Wnt9a	ENSMUSG00000000126
ENSMUSG00000000127.16	259.254433305009	-2.16189159684809e-06	0.0014426322425328	0.748453729455576	0.999919353198441	Fer	ENSMUSG00000000127
ENSMUSG00000000131.16	2104.95333503084	5.85633631565093e-07	0.00144242933833149	0.967024159507858	0.999919353198441	Xpo6	ENSMUSG00000000131
ENSMUSG00000000134.18	737.051877674318	-9.16452294300044e-06	0.001442558154966	0.380115541480686	0.999919353198441	Tfe3	ENSMUSG00000000134
ENSMUSG00000000142.16	516.582092498377	-4.1137394300331e-06	0.00144262234664989	0.575384326271864	0.999919353198441	Axin2	ENSMUSG00000000142
ENSMUSG00000000148.18	402.966171936506	-2.16218540142882e-06	0.00144261815250128	0.771379930782916	0.999919353198441	Brat1	ENSMUSG00000000148
ENSMUSG00000000149.11	3062.80139636952	-9.83739922913496e-06	0.00144240515641383	0.507654108714093	0.999919353198441	Gna12	ENSMUSG00000000149
