Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000001.5	915.092829066123	7.41691255010957e-06	0.00144265578383121	0.211835708700002	0.801041823102997	Gnai3	ENSMUSG00000000001
ENSMUSG00000000028.16	47.7506829410485	3.75122257250145e-06	0.00144268863144093	0.140057588073685	0.737043735594645	Cdc45	ENSMUSG00000000028
ENSMUSG00000000031.18	9.78533948549471	8.62736761209403e-07	0.00144269286789362	0.505525106262157	NA	H19	ENSMUSG00000000031
ENSMUSG00000000037.18	26.4405616779358	-2.18980142633072e-07	0.00144269327221506	0.845475515436226	0.975298014179416	Scml2	ENSMUSG00000000037
ENSMUSG00000000049.12	8.23790571484865	1.9754662001545e-06	0.001442693700996	0.112372882874273	NA	Apoh	ENSMUSG00000000049
ENSMUSG00000000056.8	1510.23588740207	5.96901845716639e-06	0.00144265032191021	0.325010786636353	0.861457775356721	Narf	ENSMUSG00000000056
ENSMUSG00000000058.7	712.383467957173	6.53808609853396e-06	0.00144263864881669	0.327549001059929	0.863009328795016	Cav2	ENSMUSG00000000058
ENSMUSG00000000078.8	920.85287886989	2.04740157935682e-05	0.00144271962544858	0.969472257131557	0.9935662205667	Klf6	ENSMUSG00000000078
ENSMUSG00000000085.17	904.748329554213	5.19136523375869e-06	0.00144264051476135	0.427299163936296	0.895364622281198	Scmh1	ENSMUSG00000000085
ENSMUSG00000000088.8	1854.85671799869	-1.50601544991285e-05	0.00144266129702496	0.0382728796669388	0.567742190299785	Cox5a	ENSMUSG00000000088
ENSMUSG00000000093.7	49.6075762204026	4.30950389646985e-06	0.00144268765483951	0.121367223445745	0.720507856929128	Tbx2	ENSMUSG00000000093
ENSMUSG00000000120.7	135.226802504355	-5.73742030006897e-06	0.00144268489627842	0.0908378195998104	0.669842898886102	Ngfr	ENSMUSG00000000120
ENSMUSG00000000125.6	169.168592975712	-9.25363654639975e-08	0.00144268001012182	0.977132256011408	0.994584551836138	Wnt3	ENSMUSG00000000125
ENSMUSG00000000126.12	197.166367757504	9.48844076941281e-07	0.00144267732510498	0.792082501929297	0.967596900544895	Wnt9a	ENSMUSG00000000126
ENSMUSG00000000127.16	381.64739074347	7.57906522962235e-08	0.00144265345967294	0.98930571206072	0.997697802216775	Fer	ENSMUSG00000000127
ENSMUSG00000000131.16	2506.15325316001	1.45024192194151e-05	0.00144260775476539	0.125109239898427	0.72651860118594	Xpo6	ENSMUSG00000000131
ENSMUSG00000000134.18	824.376555970473	-6.75084172473047e-06	0.00144266806613404	0.178706135199594	0.778152269625689	Tfe3	ENSMUSG00000000134
ENSMUSG00000000142.16	608.205797852086	8.04071724247854e-06	0.00144267783805395	0.0768213781812812	0.650593071532279	Axin2	ENSMUSG00000000142
ENSMUSG00000000148.18	436.615145605216	-1.44043220210497e-07	0.00144265911572854	0.958482178385654	0.992958692028156	Brat1	ENSMUSG00000000148
ENSMUSG00000000149.11	2675.32028319158	-1.98089025048206e-06	0.00144266151226224	0.68964519198907	0.950081280674148	Gna12	ENSMUSG00000000149
ENSMUSG00000000154.17	16.4866154640116	3.69775006279478e-07	0.00144269248014176	0.787377662415434	NA	Slc22a18	ENSMUSG00000000154
