Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000416.17	3068.60568333784	0.449367754221051	0.111396364941483	2.73857803761914e-06	0.00387732857798914	Cttnbp2	ENSMUSG00000000416
ENSMUSG00000001151.11	1172.06307120913	0.407732183033026	0.168808204646777	0.00055532505069416	0.0815908711274609	Pcnt	ENSMUSG00000001151
ENSMUSG00000002028.14	6711.91970724324	0.42051240592322	0.0886092810923731	1.05244520313814e-07	0.000409769539841834	Kmt2a	ENSMUSG00000002028
ENSMUSG00000002496.11	2789.22083604518	0.354988236467924	0.138896123153932	0.000394135153769118	0.0660028052129059	Tsc2	ENSMUSG00000002496
ENSMUSG00000004360.10	2227.77736158105	0.365534945623027	0.154918243761295	0.000640062567841596	0.0888842485862304	9330159F19Rik	ENSMUSG00000004360
ENSMUSG00000004626.15	404.591491356037	0.750362640205959	0.2689104656427	0.000247757741575829	0.0526388314257842	Stxbp2	ENSMUSG00000004626
ENSMUSG00000005378.18	404.000290265686	0.747907799996322	0.219686338710061	3.28356287203697e-05	0.0176338648858978	Bud23	ENSMUSG00000005378
ENSMUSG00000005716.17	2420.32453540865	-0.416489430847471	0.161644660972718	0.000210656855704601	0.0505595414301877	Pvalb	ENSMUSG00000005716
ENSMUSG00000006014.17	231.854596324759	-0.951018335051343	0.292494534533623	2.72010841208662e-05	0.0151296315749418	Prg4	ENSMUSG00000006014
ENSMUSG00000006958.15	523.909822950526	0.489931581525907	0.200572505865499	0.000533642435813456	0.079912954763065	Chrd	ENSMUSG00000006958
ENSMUSG00000008167.15	221.224462750974	0.761528676015007	0.207348903032816	1.10738281277876e-05	0.00929596226778244	Fbxw9	ENSMUSG00000008167
ENSMUSG00000010122.15	97.4095733024401	-1.04232889302916	0.411484822614576	0.000283391878235055	0.0573187676835422	Slc47a1	ENSMUSG00000010122
ENSMUSG00000018372.14	206.108217929697	0.88723250130178	0.314463689463547	0.000236527205276924	0.0518827421828566	Cep95	ENSMUSG00000018372
ENSMUSG00000018593.14	12210.902800824	-0.317256284891962	0.104596958972479	6.40245278963788e-05	0.025567128139954	Sparc	ENSMUSG00000018593
ENSMUSG00000020048.14	7632.45274295275	0.397185038646592	0.156213097660512	0.000421670147808707	0.069127272441819	Hsp90b1	ENSMUSG00000020048
ENSMUSG00000020319.10	151.94582197195	0.68746041148463	0.297589005968688	0.000738658409037477	0.0961045039230929	Wdpcp	ENSMUSG00000020319
ENSMUSG00000020329.13	746.358069659241	0.713366227653298	0.185232897114034	6.16922291006399e-06	0.0068628198286669	Polrmt	ENSMUSG00000020329
ENSMUSG00000020743.16	228.565859711649	-0.775392762229331	0.283760484714861	0.000148584334973425	0.0392212276758665	Mif4gd	ENSMUSG00000020743
ENSMUSG00000020770.14	508.516961098324	0.533001969357801	0.14938104404965	1.56840613109628e-05	0.0106201552546493	Unk	ENSMUSG00000020770
ENSMUSG00000021258.11	619.564089190716	0.460455831046843	0.146597615933763	6.70699431205467e-05	0.0261136823539848	Ccnk	ENSMUSG00000021258
ENSMUSG00000021327.20	1157.95150731123	0.384207760314854	0.159002500361944	0.000549147416310293	0.0814516367773	Zkscan3	ENSMUSG00000021327
ENSMUSG00000021339.5	2754.66687437648	0.710598030383465	0.180921321023916	4.88473027935043e-06	0.00585190687466182	Mrs2	ENSMUSG00000021339
ENSMUSG00000021607.10	335.84863829706	-0.537844747887072	0.22385035074837	0.000383886758812059	0.064985351975424	Mrpl36	ENSMUSG00000021607
ENSMUSG00000021692.10	374.759389009967	0.782789568231122	0.293060858746165	0.000359543246891047	0.063120667239466	Dimt1	ENSMUSG00000021692
ENSMUSG00000021919.9	162.606339502289	-1.13069280277755	0.495250160201854	0.000351485918900685	0.063120667239466	Chat	ENSMUSG00000021919
ENSMUSG00000022475.20	544.351024353098	0.673806964596683	0.208383855125823	5.93971654771672e-05	0.0243434593458264	Hdac7	ENSMUSG00000022475
ENSMUSG00000022708.17	2975.66887140412	0.587822146921247	0.208451641900433	0.000221546196643133	0.0505595414301877	Zbtb20	ENSMUSG00000022708
ENSMUSG00000022822.17	5324.04234692176	0.581654736281442	0.193756107215546	0.000126288419472317	0.0364225156455901	Abcc5	ENSMUSG00000022822
ENSMUSG00000022906.16	76.817778502938	1.06294915783845	0.448768325169559	0.000803863155411268	0.0991825289883909	Parp9	ENSMUSG00000022906
ENSMUSG00000023079.15	690.29972921449	0.882000456156429	0.236687574474942	1.13409068375412e-05	0.00929596226778244	Gtf2ird1	ENSMUSG00000023079
ENSMUSG00000023473.14	3073.22247134246	0.741146207154178	0.220406244174452	4.26878367232801e-05	0.0191692744197986	Celsr3	ENSMUSG00000023473
ENSMUSG00000024136.15	82.1996088168447	1.27479332543802	0.415512816083173	0.00013665967958535	0.0380060330332544	Dnase1l2	ENSMUSG00000024136
ENSMUSG00000024240.14	1089.78113941353	0.398667244827134	0.173052612628753	0.000724227996117142	0.0955858204366811	Epc1	ENSMUSG00000024240
