Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000266.12	1066.46841545267	-0.23352275140772	0.122184813626878	0.00676885559510297	0.0539965575789366	Mid2	ENSMUSG00000000266
ENSMUSG00000000560.10	1043.95213625231	-0.307486258183442	0.102383776327287	0.000258610728628602	0.00665811141929178	Gabra2	ENSMUSG00000000560
ENSMUSG00000000600.16	1267.44645826312	-0.372726644801207	0.0938222889096861	5.85646076795518e-06	0.000454175187623979	Krit1	ENSMUSG00000000600
ENSMUSG00000000759.15	1189.45036503169	-0.20214563488613	0.079082548267878	0.00203274304595591	0.0257852321879668	Tubgcp3	ENSMUSG00000000759
ENSMUSG00000000787.13	7026.50515113805	-0.368133938885158	0.0691763459701696	9.29691784453264e-09	3.42955761243314e-06	Ddx3x	ENSMUSG00000000787
ENSMUSG00000000823.17	1205.40158357517	-0.356785075746123	0.128978420483303	0.000412083835875126	0.00895626158576368	Zfp512b	ENSMUSG00000000823
ENSMUSG00000000838.18	1758.3507041505	-0.345389870476876	0.122113677297157	0.000362619052878064	0.00824897908788784	Fmr1	ENSMUSG00000000838
ENSMUSG00000000948.17	336.538447841575	-0.271282226727241	0.192559790338279	0.0107211441768666	0.0739802309757596	Gm38393	ENSMUSG00000000948
ENSMUSG00000001119.8	704.464604501504	-0.232622017619377	0.184721964261981	0.0168603220003592	0.0996709597822147	Col6a1	ENSMUSG00000001119
ENSMUSG00000001157.14	800.499306646657	-0.263371087897866	0.105993482767932	0.0014870784353929	0.0211648942280267	Gmcl1	ENSMUSG00000001157
ENSMUSG00000001260.11	845.391446423793	-0.302547007490526	0.102086976900915	0.000300856991777543	0.00729965902785606	Gabrg1	ENSMUSG00000001260
ENSMUSG00000001288.16	197.883208272084	-0.250411582739993	0.291751542431596	0.0165120508273666	0.0982873884617215	Rarg	ENSMUSG00000001288
ENSMUSG00000001376.18	1847.26234775899	-0.256329259770772	0.096530367491481	0.000984059984153321	0.0162420566596698	Vps50	ENSMUSG00000001376
ENSMUSG00000001569.11	692.09305158487	-0.240771453909952	0.154601380826465	0.0114597345965148	0.0772065911795506	Nom1	ENSMUSG00000001569
ENSMUSG00000001773.15	214.371157855987	-0.518500198631583	0.171850937166879	0.000130384372732921	0.0042387392605763	Folh1	ENSMUSG00000001773
ENSMUSG00000001986.17	4589.15502776683	-0.294658443687213	0.0856843332863735	6.34344307487103e-05	0.00250235995748308	Gria3	ENSMUSG00000001986
ENSMUSG00000002109.15	189.899497981545	-0.543358945009724	0.169220518273572	6.74970969858278e-05	0.00258058228784191	Ddb2	ENSMUSG00000002109
ENSMUSG00000002265.18	15524.369074131	-0.233976351788976	0.0615570906293462	4.15533773398435e-05	0.0018120193204841	Peg3	ENSMUSG00000002265
ENSMUSG00000002319.17	1946.22412960985	-0.239111226256157	0.14116157061066	0.00936727771514122	0.0678270416625796	Ipo4	ENSMUSG00000002319
ENSMUSG00000002413.16	3824.04095648878	-0.265439157530546	0.0927274166774024	0.000508508636613042	0.0104843419654553	Braf	ENSMUSG00000002413
ENSMUSG00000002428.13	700.025719056615	-0.430897169024798	0.143134140381586	0.000157291549754144	0.00485717729093735	Hltf	ENSMUSG00000002428
ENSMUSG00000002578.19	348.913390080505	-0.288815424480882	0.200663190866659	0.00908443348692207	0.066235808046474	Ikzf4	ENSMUSG00000002578
ENSMUSG00000002617.15	302.2057777073	-0.567084138821799	0.167715384182704	3.67293086035358e-05	0.00165855132891421	Zfp40	ENSMUSG00000002617
ENSMUSG00000002625.11	1997.20112349458	-0.352206985209279	0.0789866495782104	7.58707121898328e-07	0.000100539742784372	Akap8l	ENSMUSG00000002625
ENSMUSG00000002831.15	611.143215984141	-0.478800221022508	0.274663925742246	0.00280783311646673	0.0313569757741963	Plin4	ENSMUSG00000002831
ENSMUSG00000002996.18	755.905320414779	-0.296769090076776	0.125676847390359	0.00166873035659833	0.0227667781971703	Hbp1	ENSMUSG00000002996
ENSMUSG00000003226.8	4131.8450755291	-0.390242153347184	0.107881256909757	2.20794052609194e-05	0.00112869588916213	Ranbp2	ENSMUSG00000003226
ENSMUSG00000003282.10	80.2329691267415	-0.216090966589093	0.466795377118056	0.01422887184583	0.0890054407991445	Plag1	ENSMUSG00000003282
ENSMUSG00000003809.15	517.886788300885	-0.283899322912834	0.154344100590069	0.00524142229594701	0.0459769748826354	Gcdh	ENSMUSG00000003809
ENSMUSG00000003812.14	217.30067557586	-0.259667131349973	0.283985623346723	0.0154305692428001	0.0937825150676822	Dnase2a	ENSMUSG00000003812
ENSMUSG00000003847.17	2955.20261386079	-0.328157380996754	0.081362717186376	4.19528698748053e-06	0.000344779434575611	Nfat5	ENSMUSG00000003847
ENSMUSG00000004347.18	853.732467682799	-0.265625619096242	0.135373568277768	0.00473561634537214	0.0432350685605246	Pde1c	ENSMUSG00000004347
ENSMUSG00000004364.15	3662.37271608903	-0.362128796405092	0.0886959796662748	3.81732465212784e-06	0.000317699171810322	Cul3	ENSMUSG00000004364
ENSMUSG00000004535.13	3760.32482354463	-0.290452737241571	0.0673701960449696	1.96965306033605e-06	0.000189322497327653	Tax1bp1	ENSMUSG00000004535
ENSMUSG00000004677.19	1484.55047572288	-0.223287510783701	0.084185700810044	0.00129742442426742	0.0194813486983784	Myo9b	ENSMUSG00000004677
ENSMUSG00000004798.15	3149.29285362177	-0.198302071217943	0.0676465756085417	0.000719605605070407	0.0131981295013566	Ulk2	ENSMUSG00000004798
ENSMUSG00000004865.17	1482.16534783607	-0.204078755255679	0.10101805206916	0.00717016152509485	0.0564343459393473	Srpk1	ENSMUSG00000004865
ENSMUSG00000004980.17	8344.79409571655	-0.135050472365597	0.0725395010106436	0.0164900933180083	0.0981995129570223	Hnrnpa2b1	ENSMUSG00000004980
ENSMUSG00000005102.14	733.204898346698	-0.201665000747584	0.120761242842926	0.0140282267895448	0.0882356071200448	Eif2ak4	ENSMUSG00000005102
ENSMUSG00000005262.14	1479.5756964026	-0.282221280582223	0.0890185026763725	0.000174160848976328	0.00516034122160844	Ufd1	ENSMUSG00000005262
ENSMUSG00000005371.16	3072.99344552976	-0.32946092358589	0.0674689691880975	1.06629177816096e-07	2.27403382501858e-05	Fbxo11	ENSMUSG00000005371
ENSMUSG00000005621.12	981.870361806282	-0.285217492666488	0.127718707274253	0.0023294695605146	0.0278902895012841	Zfp592	ENSMUSG00000005621
ENSMUSG00000005682.10	530.664177673237	-0.222361192393507	0.138392050633492	0.012509567218598	0.0819697949911878	Pan2	ENSMUSG00000005682
ENSMUSG00000005802.13	1971.51475012959	-0.198905063803805	0.0875693114354163	0.00441639699859806	0.0414861683646696	Slc30a4	ENSMUSG00000005802
ENSMUSG00000005899.15	1147.60764400748	-0.205463083314592	0.107121438410555	0.00872726969360148	0.0643535948395281	Smpd4	ENSMUSG00000005899
ENSMUSG00000006005.19	2968.15854026682	-0.444595752784748	0.0985289595282628	4.41196565016558e-07	6.6633924213606e-05	Tpr	ENSMUSG00000006005
ENSMUSG00000006262.16	800.847881832493	-0.250535402152206	0.101038554330376	0.00165751685775938	0.0226915221580318	Mob1b	ENSMUSG00000006262
ENSMUSG00000006307.17	1547.20513046991	-0.385687540253831	0.108873375038286	3.03175559081111e-05	0.00143184886017235	Kmt2b	ENSMUSG00000006307
ENSMUSG00000006676.18	3412.57013222149	-0.163149281888859	0.0803830296719353	0.0115833443582548	0.0776498593560483	Usp19	ENSMUSG00000006676
