pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.0178845726558919	0.330401024512211	0.352487857583619	-0.68986661689348	-2.2063265073327	82	Ccn1,Pnpla2,Igfbp2,Trf,Apoe,Igf2,Sparcl1,Vwa1,Spp1,Gas6,App,Igfbp7,Cst3
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	7.72598454113091e-06	0.00230749404961776	0.593325476396405	0.684126450286904	2.05513444669449	43	Dot1l,Kmt5c,Kmt2a,Setd2,Kmt2d,Nsd2,Nsd1,Kmt2b,Setd1b,Eed,Kmt5a,Kmt5b,Setd1a,Rbbp4,Setdb1,Suv39h2,H3c15,Ash2l,Nsd3
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	0.00275449545666804	0.166357868789283	0.431707695803346	-0.62350163603244	-2.02199105681526	90	Uba52,Rpl13a,Rps25,Rpl3,Rps15a,Rpl22,Rps8,Rpl27,Rps19,Rpl10-ps3,Rpl13,Rpl8,Rps3,Rpl4,Rps14,Rps12,Rps15,Rps27rt,Rps26,Rpl18a,Rpl19,Rpl36,Rps23,Rpl5,Rps5,Rpl36a,Rpl6,Rpl24,Rpl7a,Rps6,Rps4x,Rpl14,Rpl37a,Rpl28,Rpl26,Rps16,Rplp0,Rplp1,Rplp2,Rps3a1,Rpl34,Rpl29,Rps18,Rpl22l1,Rpl30,Rpl31,Rps10,Rps17,Rps7,Rpl17,Rps9,Rpl21,Rpl7,Fau,Rps27a,Rpl11
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.0279368542171368	0.357554699287896	0.352487857583619	-0.595206797278837	-1.99386216986664	115	Eif4b,Uba52,Eif3l,Rpl13a,Rps25,Rpl3,Rps15a,Rpl22,Rps8,Eif2s3x,Rpl27,Rps19,Eif3h,Rpl10-ps3,Eif3c,Eif3m,Rpl13,Rpl8,Rps3,Rpl4,Rps14,Rps12,Rps15,Rps27rt,Rps26,Rpl18a,Eif3d,Rpl19,Rpl36,Eif3f,Rps23,Rpl5,Rps5,Rpl36a,Rpl6,Rpl24,Eif3k,Rpl7a,Rps6,Rps4x,Eif3g,Rpl14,Rpl37a,Rpl28,Rpl26,Rps16,Rplp0,Rplp1,Rplp2,Eif4ebp1,Rps3a1,Rpl34,Rpl29,Rps18,Rpl22l1,Eif4h,Rpl30,Rpl31,Rps10,Rps17,Eif2b2
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	0.0114916396413806	0.305130002123615	0.380730400722792	-0.648353790896181	-1.95933241517777	53	Cdkn1a,Tubb3,Tubb4a,Tuba1a,Tuba1b,Uba52,Tubb2a,Psmb2,Psmd8,Psmd13,Tuba1c,Psma5,Psmd3,Psmb7,Psmd6,Ubb,Psmd2,Psmb6,Psmb3,Tubb2b,Psmb5,Psma6,Psma7,Psmd7,Psmb4,Psmd1,Tubb4b,Tubb6
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	0.0197267996630632	0.330401024512211	0.352487857583619	-0.730403784690308	-1.95398733182205	29	Cdkn1a,Btg2,Plk2
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	0.0066160570845249	0.257895543751916	0.407017918923954	-0.746429189450588	-1.95084317520105	24	Actg1,Actb,Tubb3,Tubb4a,Tuba1a,Tuba1b,Tubb2a,Calm3,Tuba1c
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	4.62454107175279e-09	4.1435888002905e-06	0.761460801445585	0.489127006684212	1.93864345969147	259	Hnrnph1,Nup153,Dhx16,Prpf4b,Acin1,Polr2a,Zc3h11a,Nxf1,Hnrnpa2b1,Srsf3,Snrnp48,Rbm5,Snrnp70,Prpf4,Srsf7,Prpf3,Srrm2,Hnrnpc,Mettl3,Ranbp2,Rnpc3,Nup35,Snip1,Cpsf4,Srsf10,Nup155,Nup43,Rbm25,Wtap,Cpsf1,Srrt,Srsf9,Crnkl1,Eif4e,Casc3,Pabpn1,Ddx39a,Nup188,Papola,Rbm10,Nup160,Txnl4a,Wdr33,Luc7l3,Lsm6,Srsf1,Upf3b,Ppih,Cwc22,Pnn,Cwc25,Ppwd1,Srrm1,Mfap1a,Ppil4,Zfp830,Cactin,Hnrnpu,Dhx35,Rbm17,Slu7,Cpsf7,Bud13,Thoc1,Sf3a1,Tra2b,Nup85,Sde2,Nup98,Cpsf3,Sf3b3,Nup50,Dhx8,Hspa8,Mtrex,Ddx46,Snrpb2,Ddx39b,Poldip3,Sf1,Nsrp1
REACTOME_CELLULAR_HEXOSE_TRANSPORT	0.00562333200613858	0.257895543751916	0.407017918923954	-0.880313471358505	-1.9217035268992	11	Slc2a1
REACTOME_HEMOSTASIS	0.00153885770843688	0.137881650675944	0.45505986738723	-0.510493525481563	-1.91991018000525	405	Maff,Plaur,Timp3,Rhob,Mafk,Actg1,F3,Tubb3,Tubb4a,Tuba1a,Endod1,Mag,Plat,Itga5,Rhog,Dock8,Tuba1b,Stxbp3,Sdc4,Ppp2r1a,Anxa2,Serpine2,Ppp2r5b,Serpine1,Sparc,Cd9,Gng3,Trf,Psap,Gnb1,Kifc2,Serping1,Ehd3,Anxa5,Prkaca,Gnas,Tubb2a,Igf2,Chid1,Slc7a10,Clu,Habp4,Maged2,Mapk3,Ehd1,Cd109,Prkcd,Abhd12,Cyrib,Sdc3,Gas6,App,Ptpn11,Sod1,Nos3,Mertk,Wdr1,Calm3,Tuba1c,Kif1c,Selplg,F8,Capzb,Gna12,Rbsn,Thbd,Pafah2,Gnb2,Itgb1,Rarres2,Mfn2,Thbs1,Gnai2,Dock6,Ptk2,Aldoa,Grb2,Gnai1,Prkar1b,Kif13b,Dock7,Dock11,Inpp5d,Tfpi,Itpk1,Pcdh7,Bcar1,Gnb4,Gpc1,Esam,Islr,Tmsb4x,Slc7a8,P2rx5,Mgll,Vcl,Scg3,Glg1,Atp1b1,Irag1,Pik3r1,Rapgef3,Pik3ca,Kifap3,Klc1,Itgb2,Capza2,Dgkq,Kif5a,Kif1b,Tubb2b,Rab27b,F2r,Atp2b3,Akt1,H3f3a,Adra2c,Itga2b,Rac1,Kif3a,Lgals3bp,Actn4,Slc8a3,Klc2,Itpr1,Mapk1,Atp1b2
