pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_CHOLESTEROL_BIOSYNTHESIS	2.04835080737326e-06	0.000323649446974589	0.627256739718528	0.779364824119458	2.24219104543126	26	Dhcr24,Fdps,Hsd17b7,Sqle,Srebf2,Dhcr7,Hmgcr,Mvd,Pmvk,Cyp51,Fdft1,Ebp,Mvk,Lss
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	2.70819164563736e-06	0.000338137071183865	0.627256739718528	0.663912300249567	2.16603144498984	47	Dnajb1,Tubb2b,Tubb4a,Dynll2,Hsp90ab1,Hspa8,Fkbp4,Dctn3,Tuba1a,Fkbp5,Dnaja4,Hspa1b,Actr1a,Tubb3,Tubb2a,Hspa2,Tuba1b,Nr3c2,Stip1,Dctn2,Dctn1,Capzb,Tuba1c
REACTOME_L1CAM_INTERACTIONS	2.22184975039764e-06	0.000323649446974589	0.627256739718528	0.615398324833618	2.10571766770515	60	Ezr,Actb,Actg1,Tubb2b,Dnm1,Tubb4a,Mapk3,Nfasc,Tuba1a,Sptbn2,Sptb,Tubb3,Tubb2a,Ap2a2,Dnm2,Tuba1b,Lypla2,Tuba1c,Map2k1,Clta,Dpysl2,Map2k2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	5.11566042062863e-07	0.000149036240254314	0.659444398037935	0.568472548932792	2.08173226397205	90	Rps3,Rpl7a,Rpl8,Rpl19,Rpl11,Rpl35,Fau,Rps9,Rps11,Rpl13a,Rps18,Rps15,Rpl28,Rpl13,Rpl18,Rps2,Rpl24,Rpl34,Rps10,Rpl18a,Rps19,Rplp0,Rplp1,Rps13,Rpl15,Rpl32,Rps6,Rps27rt,Rpl27,Rpl36a,Upf1,Rpsa,Rplp2,Rps23,Rpl36,Rps21,Rps7,Rpl3,Rpl23a,Rpl35a,Rps27a
REACTOME_OPIOID_SIGNALLING	7.44533749598977e-06	0.000650722497149506	0.610526878385931	0.600993934559936	2.063585953078	62	Gng7,Gnb4,Ppp2r1a,Grk2,Gnai2,Calm3,Pde1b,Plcb3,Ppp1r1b,Adcy5,Adcy9,Gnb5,Ppp1ca,Gna11,Adcy6,Prkcg,Prkar1b,Gng3,Pdyn,Prkaca,Gng13,Prkacb,Ppp2r5d,Camkk2
REACTOME_RECYCLING_PATHWAY_OF_L1	7.3009643163059e-05	0.00425402854163424	0.538434096309916	0.682367909186579	2.03725189003097	31	Ezr,Actb,Actg1,Tubb2b,Dnm1,Tubb4a,Tuba1a,Tubb3,Tubb2a,Ap2a2,Dnm2,Tuba1b,Tuba1c,Clta,Dpysl2
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	7.8572120432272e-05	0.00429200207861286	0.538434096309916	0.681871194851583	2.03576891844899	31	Actb,Actg1,Tubb2b,Dnm1,Tubb4a,Cltb,Tuba1a,Tubb3,Gjc2,Tubb2a,Dnm2,Tuba1b,Tuba1c,Clta
REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY	0.00011498061582221	0.00591135636638891	0.538434096309916	0.645066971617338	2.02940953048044	39	Dusp1,Ppp2r1a,Pebp1,Dusp8,Mapk3,Dusp6,Hras,Dusp4,Ubc,Ubb,Dusp7,Map2k1,Ppp2r5d,Ppp2r5b,Ksr1,Dusp5,Map2k2
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.00014532978931397	0.00668517030844263	0.518848077743792	0.754574873903188	2.01865047755791	19	Gng7,Gnb4,Gnai2,Adcy5,Gnb5,Adra2c,Adcy6,Gng3,Gng13,Adra2a,Gnb2
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	3.17066058871688e-07	0.000138557867726928	0.674962860011025	0.501253877757201	1.97879791412149	145	Gng7,Htr1b,Lpar1,Gnb4,Gpr17,Ppp2r1a,Penk,Grk2,Gnai2,Cx3cl1,Calm3,Rgs8,Pde1b,Adora1,Rgs6,Oprd1,Grm2,Plcb3,Psap,Ppp1r1b,Adcy5,Gabbr1,Adcy9,Gnb5,Apln,Ppp1ca,App,Gna11,Gpr37,Adra2c,Gpr37l1,Adcy6,Prkcg,Sst,Prkar1b,Gng3,S1pr5,Pdyn,Prkaca,Rgs16,Gng13,Prkacb,Ppp2r5d,Sstr1,Camkk2,Npy,Adra2a,Camkk1,Rxfp3,Sstr3,Gnb2,Agt
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.000163046448486103	0.00712512979884269	0.518848077743792	0.713438062402689	1.97820180886834	23	Gng7,Gnb4,Gna12,Mapk3,Gnb5,Gna11,Gng3,Gna13,Gng13
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.000405456581325565	0.0147653771699393	0.49849310876659	0.756543723468956	1.94668574776697	17	Gng7,Gnb4,Gnb5,Gna11,Aamp,Gng3,Gna13,Gng13
REACTOME_G_PROTEIN_ACTIVATION	0.000599659669996893	0.0187179482706173	0.477270815362862	0.745589793067142	1.91849985508985	17	Gng7,Gnb4,Gnb5,Gna11,Gng3,Pdyn,Gng13,Gnb2
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	0.000982396104992735	0.0220157486093244	0.45505986738723	0.790103531959458	1.90030198620199	13	Tubb2b,Tubb4a,Tuba1a,Tubb3,Tubb2a,Tuba1b,Tuba1c,Tubb4b,Tuba4a
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.00101308456332119	0.0221358977085681	0.45505986738723	0.7079734604604	1.89398164911607	19	Slc6a11,Vamp2,Slc6a1,Hspa8,Rab3a,Stx1a,Slc32a1,Cplx1,Dnajc5,Stxbp1
REACTOME_GAP_JUNCTION_ASSEMBLY	0.00109641349527865	0.0228158427350843	0.45505986738723	0.704360202384293	1.88431540472717	19	Tubb2b,Tubb4a,Tuba1a,Tubb3,Gjc2,Tubb2a,Tuba1b,Tuba1c,Tubb4b,Tuba4a,Gjb1
REACTOME_RAS_PROCESSING	0.000593324483977269	0.0187179482706173	0.477270815362862	0.677301012336288	1.87800197152329	23	Icmt,Calm3,Abhd17a,Hras,Bcl2l1,Golga7,Ubc,Ubb,Arl2,Pde6d
REACTOME_AGGREPHAGY	0.00117110833193997	0.0238034577236171	0.45505986738723	0.633547915552941	1.87638897448582	29	Vim,Tubb2b,Tubb4a,Dynll2,Tuba1a,Tubb3,Tubb2a,Tuba1b,Ubc,Tuba1c,Ubb,Ube2v1,Tubb4b,Ube2n,Tuba4a,Rps27a,Park7
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.02295373902386e-08	1.76806156790686e-05	0.73376198835648	-0.501069583689011	-1.86918918829915	259	Srrm2,Rbm39,Rbm25,Thoc1,Hnrnpu,Rnpc3,Thoc2,Prpf4b,Sf3b1,Tpr,Hnrnph1,Srsf11,Srsf1,U2surp,Srsf10,Ranbp2,Tcerg1,Cpsf1,Cstf3,Ddx5,Pnn,Pabpn1,Htatsf1,Luc7l3,Srsf2,Srrm1,Ppil2,Dhx9,Ddx46,Prpf40a,Mtrex,Nup153,Rbmx,Ik,Rbm7,Ppwd1,Eif4e,Wtap,Hnrnpa2b1,Ppil4,Rbm5,Zc3h11a,Dhx15,Fus,Snrnp70,Nup88,Prpf3,Srsf3,Nup210,Upf3b,Wbp4,Cpsf6,Cdc40,Nxf1,Gpkow,Mfap1a,Nup85,Fyttd1,Cstf2,Snrnp48,Srsf7,Nup155,Fip1l1,Crnkl1,Aaas,Snrpb2
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.00127585437425237	0.0243227517593235	0.45505986738723	0.649121437263228	1.86845372757631	27	Ppp2r1a,Mapk3,Nab2,Egr2,Mapkapk2,Dusp6,Dusp4,Srf,Dusp7,Sgk1,Ppp2r5d
