p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	8.50188040872409	0.991	0.024	0	Immune_cells	Fcer1g
0	8.02457023312169	0.996	0.04	0	Immune_cells	Tyrobp
0	9.03637235131911	0.98	0.032	0	Immune_cells	Ctss
0	9.3773379066662	0.948	0.01	0	Immune_cells	Csf1r
0	9.15534768657025	0.942	0.01	0	Immune_cells	Laptm5
0	9.34232874884029	0.958	0.033	0	Immune_cells	C1qc
0	9.6385007507258	0.958	0.036	0	Immune_cells	C1qa
0	9.19917615728278	0.922	0.007	0	Immune_cells	Fcgr3
0	9.15587569764094	0.959	0.045	0	Immune_cells	C1qb
0	9.20959779147089	0.919	0.015	0	Immune_cells	Trem2
0	10.1319522510871	0.89	0.009	0	Immune_cells	Selplg
0	9.67991789966871	0.883	0.004	0	Immune_cells	Cd53
0	9.27447580756267	0.884	0.009	0	Immune_cells	Fcrls
0	9.29894539264188	0.881	0.006	0	Immune_cells	Ly86
0	9.30642230860197	0.865	0.007	0	Immune_cells	Cx3cr1
0	6.36619778078957	0.909	0.052	0	Immune_cells	Rgs10
0	9.38038090958296	0.867	0.014	0	Immune_cells	P2ry12
0	10.000124908916	0.857	0.005	0	Immune_cells	Gpr34
0	8.07267918056099	0.866	0.014	0	Immune_cells	Aif1
0	6.67076206012305	0.888	0.036	0	Immune_cells	Unc93b1
0	4.87431934307965	0.936	0.107	0	Immune_cells	Cyba
0	9.22435157169167	0.838	0.01	0	Immune_cells	Tmem119
0	8.01395244380206	0.926	0.106	0	Immune_cells	Hexb
0	8.79388838555079	0.826	0.007	0	Immune_cells	Cd68
0	9.54006242220333	0.817	0.003	0	Immune_cells	Pld4
0	6.25569414663299	0.852	0.043	0	Immune_cells	Vsir
0	8.10247980242399	0.822	0.017	0	Immune_cells	Olfml3
0	9.34050347531172	0.77	0.005	0	Immune_cells	Siglech
0	8.89622944999322	0.765	0.004	0	Immune_cells	Spi1
0	2.54848743374931	0.899	0.161	0	Immune_cells	Ly6e
0	4.46642999252658	0.906	0.175	0	Immune_cells	Grn
0	4.21552192055894	0.817	0.086	0	Immune_cells	Ctsh
0	7.47715774361619	0.743	0.014	0	Immune_cells	Ltc4s
0	5.49845289425472	0.788	0.061	0	Immune_cells	Lpcat2
0	6.05964240693835	0.737	0.032	0	Immune_cells	Rnase4
0	9.22112685111718	0.706	0.003	0	Immune_cells	Irf8
