ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
317	Ehbp1l1	A5SS	0.403	0.625612735031134	n.s.	0.203694419319283	NA
1912	Gm36855	A5SS	0.544	0.0295834279756829	n.s.	1.5289515036094	NA
2418	Crnde	A5SS	-0.418	0.0673048014246392	n.s.	1.17195395274711	NA
2696	A230072C01Rik	A5SS	0.509	0.278344417307648	n.s.	0.555417484817961	NA
3115	Pacsin3	A5SS	0.419	0.182722428423885	n.s.	0.738208141520472	NA
3500	0610040B10Rik	A5SS	0.425	0.139995402049397	n.s.	0.85388622787438	NA
3607	Slc25a38	A5SS	-0.513	0.317149023052684	n.s.	0.498736622067185	NA
4177	Mocs2	A5SS	-0.216	0.322068995355912	n.s.	0.492051081432855	NA
4268	ENSMUSG00000126204	A5SS	0.364	0.785501200027358	n.s.	0.104853147142325	NA
5159	Pcdh15	A5SS	0.685	0.0122023700376733	n.s.	1.91355580913523	NA
5628	Nfib	A5SS	-0.447	0.0464987192716838	n.s.	1.33255900884984	NA
8522	4933406C10Rik	A5SS	0.889	0.000255541812807935	n.s.	3.59253802865629	NA
8523	4933406C10Rik	A5SS	0.77	0.000975629318915264	n.s.	3.01071515705471	NA
8558	Nrcam	A5SS	0.391	0.226592186015585	n.s.	0.644755070769293	NA
9747	F8	A5SS	-0.417	0.139995402049397	n.s.	0.85388622787438	NA
11888	Pigq	A5SS	0.353	0.307090540377259	n.s.	0.512733561366218	NA
12882	Cluap1	A5SS	-0.455	0.24774210279564	n.s.	0.606000180503392	NA
13095	Sbf1	A5SS	0.581	0.0201710394175815	n.s.	1.69527172193155	NA
13353	Capn1	A5SS	0.353	0.00986611321130079	Up in Saline	2.00585390541948	NA
13850	Bmal2	A5SS	0.434	0.204997185717866	n.s.	0.688252101069079	NA
13938	Oxr1	A5SS	-0.654	0.000975629318915264	Up in TMAO	3.01071515705471	NA
14411	Mfn1	A5SS	-0.419	0.345081303659916	n.s.	0.462078569938555	NA
14524	Wbp1	A5SS	0.443	0.077692869501959	n.s.	1.1096188380595	NA
16973	Dffb	A5SS	-0.728	0.000359836715502499	n.s.	3.4438945260193	NA
17194	Slc38a9	A5SS	0.295	0.31312034715196	n.s.	0.504288710189852	NA
17257	Oxa1l	A5SS	-0.534	0.077692869501959	n.s.	1.1096188380595	NA
17258	Oxa1l	A5SS	-0.501	0.0615604082831314	n.s.	1.21069850848768	NA
18151	Cops4	A5SS	0.545	0.785501200027358	n.s.	0.104853147142325	NA
18306	Pdrg1	A5SS	-0.416	0.116280716011033	n.s.	0.934492302678327	NA
18579	Adamts16	A5SS	-0.449	0.0808812077022506	n.s.	1.09215237256904	NA
18822	Dbi	A5SS	0.655	0.00545369128628222	n.s.	2.2633094495368	NA
19437	Trappc2l	A5SS	0.788	0.00171203512228998	n.s.	2.76648733004422	NA
19920	Ttpal	A5SS	-0.401	0.0201734992243615	n.s.	1.69521876405679	NA
20066	Clcn4	A5SS	0.591	0.0120586366793211	n.s.	1.91870178971796	NA
20977	Dact3	A5SS	0.488	3.20159334820791e-06	Up in Saline	5.49463383101908	NA
22300	Cntfr	A5SS	0.476	0.747759801563955	n.s.	0.126237885568806	NA
23056	St8sia3	A5SS	0.633	0.182722428423885	n.s.	0.738208141520472	NA
23427	Dnpep	A5SS	0.596	0.045531252767096	n.s.	1.3416904001563	NA
24299	Ywhaq	A5SS	-0.517	0.608602324631786	n.s.	0.215666393133243	NA
24921	Tro	A5SS	0.283	0.6914107084518	n.s.	0.160263898462238	NA
26717	Gm16835	A5SS	0.798	0.000102659622098826	n.s.	3.98860033875728	NA
26842	Cygb	A5SS	0.29	0.232806388594226	n.s.	0.633005106096247	NA
27526	Aldoc	A5SS	-0.437	0.402601639889022	n.s.	0.395124460462509	NA
27698	Pcsk4	A5SS	0.542	0.438323224599666	n.s.	0.358205517600062	NA
27749	Neurl4	A5SS	0.607	0.00545369128628222	n.s.	2.2633094495368	NA
28485	Dgka	A5SS	-0.379	0.772095796017245	n.s.	0.112328812228214	NA
28486	Dgka	A5SS	-0.713	0.000255541812807935	Up in TMAO	3.59253802865629	NA
28639	Usp53	A5SS	0.439	0.747759801563955	n.s.	0.126237885568806	NA
29038	Nwd1	A5SS	-0.408	0.747759801563955	n.s.	0.126237885568806	NA
30306	Aldoa	A5SS	0.541	0.275304481040305	n.s.	0.56018671968099	NA
31056	Purg	A5SS	0.705	0.000255541812807935	n.s.	3.59253802865629	NA
31999	Car7	A5SS	-0.481	0.0142440998606008	n.s.	1.84636499029434	NA
32311	Klc1	A5SS	-0.546	1e-15	Up in TMAO	15	Klc1_A5SS
32937	Cox4i1	A5SS	-0.632	0.204997185717866	n.s.	0.688252101069079	NA
32939	Cox4i1	A5SS	-0.528	0.204997185717866	n.s.	0.688252101069079	NA
