ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
8181	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	59690	58563	58835	59581	59690
8182	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1011822	1012169	1011822	1011967	1012047	1012169
8183	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	910247	910586	910247	910364	910447	910586
8184	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	910451	910849	910451	910586	910656	910849
8185	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	910451	910849	910451	910586	910685	910849
8186	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	914024	916760	914024	914172	916640	916760
8187	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	940598	941035	940598	940778	940904	941035
8188	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	942441	942898	942441	942641	942823	942898
8189	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092170	169092199	169092526	169092591
8190	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092170	169092262	169092526	169092591
8191	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092170	169092275	169092526	169092591
8192	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092170	169092332	169092526	169092591
8193	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092170	169092345	169092526	169092591
8194	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092967	169093263	169092967	169093032	169093216	169093263
8195	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092925	169093263	169092925	169093060	169093216	169093263
8196	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169093216	169093544	169093216	169093263	169093449	169093544
8197	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165162983	165163304	165162983	165163155	165163242	165163304
8198	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165166930	165167214	165166930	165166996	165167146	165167214
8199	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165166930	165167353	165166930	165166996	165167288	165167353
8200	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168555	165169947	165171984
8201	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168706	165169947	165171984
8202	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161556190	161556514	161556190	161556318	161556436	161556514
8203	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158915064	158915501	158915064	158915238	158915349	158915501
8204	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158242120	158242479	158242120	158242209	158242373	158242479
8205	"ENSMUSG00000055109.6"	"Gm15155"	chrX	+	155083911	155084205	155083911	155084067	155084163	155084205
8206	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036422	151036857	151036422	151036600	151036694	151036857
8207	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036422	151036857	151036422	151036601	151036694	151036857
8208	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151044932	151045352	151044932	151045052	151045158	151045352
8209	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151053340	151053827	151053340	151053527	151053689	151053827
8210	"ENSMUSG00000041133.12"	"Smc1a"	chrX	+	150843948	150844399	150843948	150844041	150844288	150844399
8211	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583802	150584255	150583802	150583942	150584149	150584255
