Peak_id	Chr	Start	End	log2FoldChange_ATAC	padj_ATAC	HOMER_annotation	HOMER_detailed_annotation	Overlaps_reg_region_of_this_gene_GREAT	dist_to_TSS_GREAT	abs_dist_to_TSS_GREAT	log2FoldChange_RNA	padj_RNA	both_rna_and_atac_sig	directionality_rna_vs_atac
A_10867	chr4	8939017	8939517	-0.993624542154016	0.00143743216944709	Intergenic	Intergenic	Chd7	248611	248611	0.0112195709566629	0.961566266988839	no	NA
A_10867	chr4	8939017	8939517	-0.993624542154016	0.00143743216944709	Intergenic	Intergenic	Clvs1	-329776	329776	-0.00684139965729528	0.979733168531473	no	NA
A_10868	chr4	8954421	8954921	-0.727302132241551	0.0113222582036968	Intergenic	Intergenic	Chd7	264015	264015	0.0112195709566629	0.961566266988839	no	NA
A_10868	chr4	8954421	8954921	-0.727302132241551	0.0113222582036968	Intergenic	Intergenic	Clvs1	-314372	314372	-0.00684139965729528	0.979733168531473	no	NA
A_10885	chr4	9444326	9444826	-0.754853050906081	0.000162377416441098	intron (NM_001355183, intron 5 of 5)	intron (NM_001355183, intron 5 of 5)	Clvs1	175033	175033	-0.00684139965729528	0.979733168531473	no	NA
A_10885	chr4	9444326	9444826	-0.754853050906081	0.000162377416441098	intron (NM_001355183, intron 5 of 5)	intron (NM_001355183, intron 5 of 5)	Asph	224518	224518	-0.00860481893131384	0.979733168531473	no	NA
A_11052	chr4	16281448	16281948	-0.773128068944307	0.0553035012431373	Intergenic	Intergenic	Ripk2	-117801	117801	0.00112705922310662	0.995045104107829	no	NA
A_1138	chr1	61257470	61257970	-0.930211413382204	0.00524524689955239	Intergenic	L2|LINE|L2	Icos	279543	279543	NA	NA	NA	NA
A_1138	chr1	61257470	61257970	-0.930211413382204	0.00524524689955239	Intergenic	L2|LINE|L2	Pard3b	-380854	380854	-0.00712490307369301	0.940954270332384	no	NA
A_11715	chr4	56654348	56654848	-1.09982004586146	0.00024028203305922	Intergenic	Intergenic	Actl7a	-88565	88565	NA	NA	NA	NA
A_11821	chr4	62440390	62440890	-0.841127954664671	0.053097988226169	Intergenic	Intergenic	Rnf183	-5138	5138	NA	NA	NA	NA
A_11821	chr4	62440390	62440890	-0.841127954664671	0.053097988226169	Intergenic	Intergenic	Wdr31	30006	30006	-0.0021821489973514	0.984229216084074	no	NA
A_12044	chr4	76193488	76193988	-0.584309684847554	0.098345860318552	intron (NR_160919, intron 13 of 39)	intron (NR_160919, intron 13 of 39)	Dmac1	-915183	915183	0.000468762814766422	0.999722088192533	no	NA
A_12230	chr4	87126649	87127149	-0.631050861513223	0.0430137859398623	intron (NM_172426, intron 2 of 10)	intron (NM_172426, intron 2 of 10)	Acer2	252253	252253	0.00260308480365734	0.983763807866301	no	NA
A_12230	chr4	87126649	87127149	-0.631050861513223	0.0430137859398623	intron (NM_172426, intron 2 of 10)	intron (NM_172426, intron 2 of 10)	Slc24a2	103328	103328	0.00663412895890841	0.979733168531473	no	NA
A_12451	chr4	100276413	100276913	-0.847269032420395	0.0602100236065434	intron (NM_001312690, intron 1 of 3)	intron (NM_001312690, intron 1 of 3)	Ror1	180622	180622	0.00539080620602075	0.958852656683338	no	NA
A_12451	chr4	100276413	100276913	-0.847269032420395	0.0602100236065434	intron (NM_001312690, intron 1 of 3)	intron (NM_001312690, intron 1 of 3)	Ube2u	-201936	201936	NA	NA	NA	NA
A_12587	chr4	106749674	106750174	-0.561675520301376	0.0359453298745096	exon (NM_001347159, exon 14 of 16)	exon (NM_001347159, exon 14 of 16)	Mroh7	-18749	18749	0.000742420024075329	0.996808819006661	no	NA
A_12587	chr4	106749674	106750174	-0.561675520301376	0.0359453298745096	exon (NM_001347159, exon 14 of 16)	exon (NM_001347159, exon 14 of 16)	Acot11	54824	54824	-0.00273475036694122	0.996808819006661	no	NA
A_12683	chr4	111327071	111327571	-0.642411785540024	0.0316858113900136	intron (NM_030231, intron 5 of 12)	intron (NM_030231, intron 5 of 12)	Agbl4	929410	929410	-0.0064352282636289	0.963824209760426	no	NA
A_12683	chr4	111327071	111327571	-0.642411785540024	0.0316858113900136	intron (NM_030231, intron 5 of 12)	intron (NM_030231, intron 5 of 12)	Bend5	-87435	87435	0.0059419435827453	0.961566266988839	no	NA
A_12964	chr4	126661145	126661645	-1.17738441090817	0.0037635206620583	Intergenic	Intergenic	5730409E04Rik	51327	51327	-0.0349667393214277	0.815248547722915	no	NA
A_12964	chr4	126661145	126661645	-1.17738441090817	0.0037635206620583	Intergenic	Intergenic	Psmb2	-15985	15985	-0.0368499206247449	0.68543347579469	no	NA
A_1308	chr1	68955346	68955846	-1.07883932390359	0.00482744119777802	intron (NM_010154, intron 1 of 26)	intron (NM_010154, intron 1 of 26)	Erbb4	152213	152213	-0.00646604797167897	0.979708754187762	no	NA
A_13447	chr4	150871614	150872114	-1.25566522732287	9.36558746490309e-09	Intergenic	Intergenic	Errfi1	17695	17695	-0.572805560788136	0.000121993586096336	yes	same
A_13447	chr4	150871614	150872114	-1.25566522732287	9.36558746490309e-09	Intergenic	Intergenic	Tnfrsf9	-42448	42448	NA	NA	NA	NA
A_13686	chr5	9663378	9663878	1.00635763482791	0.0500399146092333	intron (NM_181850, intron 1 of 5)	intron (NM_181850, intron 1 of 5)	Elapor2	397260	397260	0.0058971416322441	0.981746684639546	no	NA
A_13686	chr5	9663378	9663878	1.00635763482791	0.0500399146092333	intron (NM_181850, intron 1 of 5)	intron (NM_181850, intron 1 of 5)	Grm3	61292	61292	-0.0167496964129762	0.942842036478909	no	NA
A_1371	chr1	72593387	72593887	-0.491933621908485	0.0363464846197951	intron (NM_018817, intron 5 of 16)	intron (NM_018817, intron 5 of 16)	Smarcal1	10136	10136	-0.0144810351902759	0.955000052775557	no	NA
A_1371	chr1	72593387	72593887	-0.491933621908485	0.0363464846197951	intron (NM_018817, intron 5 of 16)	intron (NM_018817, intron 5 of 16)	Ankar	106692	106692	NA	NA	NA	NA
A_1391	chr1	73075666	73076166	-0.782286616826887	0.0528917078068786	Intergenic	Intergenic	Tnp1	-59757	59757	NA	NA	NA	NA
A_14156	chr5	34565859	34566359	-0.734584771736438	0.0872933191730544	Intergenic	L1ME3B|LINE|L1	Sh3bp2	40021	40021	-0.00129126937091325	0.992223238917265	no	NA
A_14156	chr5	34565859	34566359	-0.734584771736438	0.0872933191730544	Intergenic	L1ME3B|LINE|L1	Add1	-7305	7305	0.0196403299540214	0.943656999230784	no	NA
A_15439	chr5	112020856	112021356	-1.40710598473592	4.98854637277007e-06	Intergenic	Intergenic	Mn1	603494	603494	0.00707544054941603	0.978313783873965	no	NA
A_15439	chr5	112020856	112021356	-1.40710598473592	4.98854637277007e-06	Intergenic	Intergenic	Crybb1	-234459	234459	-0.00446736024510733	0.959281385092167	no	NA
A_16172	chr5	149566927	149567427	-0.99791771888887	0.00179912181010071	intron (NM_029440, intron 7 of 22)	intron (NM_029440, intron 7 of 22)	Wdr95	38248	38248	NA	NA	NA	NA
A_16172	chr5	149566927	149567427	-0.99791771888887	0.00179912181010071	intron (NM_029440, intron 7 of 22)	intron (NM_029440, intron 7 of 22)	Hsph1	68949	68949	0.133358076231297	0.177047385785041	no	NA
A_16240	chr6	5282414	5282914	-1.07843766802464	0.00265345376066819	intron (NM_183308, intron 2 of 8)	intron (NM_183308, intron 2 of 8)	Pon3	-26128	26128	-0.00208298886413132	0.974693685131458	no	NA
A_16240	chr6	5282414	5282914	-1.07843766802464	0.00265345376066819	intron (NM_183308, intron 2 of 8)	intron (NM_183308, intron 2 of 8)	Pon2	15541	15541	-0.0244136444770455	0.863284896204352	no	NA
A_16246	chr6	5443045	5443545	-1.15964246825473	4.31376739937487e-05	Intergenic	Intergenic	Asb4	59659	59659	-0.00444561453939416	0.958852656683338	no	NA
A_16246	chr6	5443045	5443545	-1.15964246825473	4.31376739937487e-05	Intergenic	Intergenic	Pdk4	52764	52764	-0.0103796102703511	0.880398208021441	no	NA
A_16269	chr6	6242055	6242555	-1.85466327046422	2.19994075928995e-09	Intergenic	MER70B|LTR|ERVL	Slc25a13	-24882	24882	0.00386531230979865	0.972135844211599	no	NA
A_16269	chr6	6242055	6242555	-1.85466327046422	2.19994075928995e-09	Intergenic	MER70B|LTR|ERVL	Sem1	336103	336103	-0.00152273023134384	0.996808819006661	no	NA
A_16698	chr6	31285071	31285571	-0.622617050383224	0.0472857444291053	intron (NR_040261, intron 3 of 4)	L2c|LINE|L2	Klf14	-325993	325993	NA	NA	NA	NA
A_16698	chr6	31285071	31285571	-0.622617050383224	0.0472857444291053	intron (NR_040261, intron 3 of 4)	L2c|LINE|L2	Mkln1	-113164	113164	-0.00265140040899969	0.995045104107829	no	NA
A_16707	chr6	31502544	31503044	-0.834161530549133	0.0223724597739582	intron (NM_013791, intron 17 of 17)	intron (NM_013791, intron 17 of 17)	Mkln1	103809	103809	-0.00265140040899969	0.995045104107829	no	NA
A_16707	chr6	31502544	31503044	-0.834161530549133	0.0223724597739582	intron (NM_013791, intron 17 of 17)	intron (NM_013791, intron 17 of 17)	Podxl	60937	60937	0.0299400027568157	0.829013884274924	no	NA
A_16979	chr6	42396373	42396873	-0.925790314858089	0.0596974335289763	Intergenic	Intergenic	Tas2r143	-3365	3365	NA	NA	NA	NA
A_1764	chr1	89400606	89401106	-0.768374228801048	0.0217355715802895	intron (NR_040482, intron 1 of 2)	intron (NR_040482, intron 1 of 2)	Sh3bp4	330191	330191	-0.0449021960112187	0.609320058385938	no	NA
A_1764	chr1	89400606	89401106	-0.768374228801048	0.0217355715802895	intron (NR_040482, intron 1 of 2)	intron (NR_040482, intron 1 of 2)	Agap1	-53700	53700	-0.0053867807989313	0.98557825549142	no	NA
A_17834	chr6	89419068	89419568	-0.974676585217665	0.00303545186502172	intron (NM_025351, intron 6 of 7)	intron (NM_025351, intron 6 of 7)	Plxna1	-56448	56448	-0.0248116565738846	0.92989612131724	no	NA
A_17834	chr6	89419068	89419568	-0.974676585217665	0.00303545186502172	intron (NM_025351, intron 6 of 7)	intron (NM_025351, intron 6 of 7)	Chchd6	176084	176084	-0.0184582391801452	0.913100217720491	no	NA
A_17855	chr6	90471090	90471590	-0.744621074361544	0.0838527602038265	intron (NM_001355668, intron 2 of 2)	intron (NM_001355668, intron 2 of 2)	Klf15	8514	8514	-0.409721842610339	0.0200021915733072	yes	same
A_17855	chr6	90471090	90471590	-0.744621074361544	0.0838527602038265	intron (NM_001355668, intron 2 of 2)	intron (NM_001355668, intron 2 of 2)	Aldh1l1	-14837	14837	-0.00909079806856356	0.971823187538495	no	NA
A_17867	chr6	90703796	90704296	-0.887755282197082	0.000122809812174504	intron (NM_001356440, intron 1 of 13)	intron (NM_001356440, intron 1 of 13)	Slc41a3	99071	99071	-0.015822247637114	0.88965704978225	no	NA
A_17867	chr6	90703796	90704296	-0.887755282197082	0.000122809812174504	intron (NM_001356440, intron 1 of 13)	intron (NM_001356440, intron 1 of 13)	Iqsec1	284389	284389	-0.10187486510371	0.342499248715623	no	NA
A_17988	chr6	95087169	95087669	-1.10454235224196	0.00129144507753795	Intergenic	Lx8|LINE|L1	Lrig1	-387011	387011	-0.04602989567202	0.733313273782332	no	NA
A_17988	chr6	95087169	95087669	-1.10454235224196	0.00129144507753795	Intergenic	Lx8|LINE|L1	Kbtbd8	-29571	29571	0.00528842787892709	0.930898050130541	no	NA
A_18881	chr6	136906897	136907397	-1.35039795149867	0.000142696819470019	TTS (NM_026983)	TTS (NM_026983)	Mgp	-31074	31074	-0.0060964730281699	0.968530705190314	no	NA
A_18881	chr6	136906897	136907397	-1.35039795149867	0.000142696819470019	TTS (NM_026983)	TTS (NM_026983)	Pde6h	-16435	16435	NA	NA	NA	NA
A_19488	chr7	28783881	28784381	-1.29601689913966	4.6748746304372e-08	intron (NM_001122765, intron 8 of 14)	LTR82A|LTR|ERVL	Nfkbib	-16369	16369	0.00116080284539447	0.996808819006661	no	NA
A_19488	chr7	28783881	28784381	-1.29601689913966	4.6748746304372e-08	intron (NM_001122765, intron 8 of 14)	LTR82A|LTR|ERVL	Rinl	-4588	4588	0.00245335677878678	0.968580353573114	no	NA
A_19509	chr7	29381527	29382027	-0.849644134076378	0.0363464846197951	intron (NM_001081028, intron 9 of 22)	intron (NM_001081028, intron 9 of 22)	Dpf1	77576	77576	0.00579411559487287	0.982403224342146	no	NA
A_19509	chr7	29381527	29382027	-0.849644134076378	0.0363464846197951	intron (NM_001081028, intron 9 of 22)	intron (NM_001081028, intron 9 of 22)	Sipa1l3	136614	136614	0.0442110844923472	0.738648709502119	no	NA
A_19538	chr7	30295066	30295566	-0.619010476949258	0.0518600610857303	intron (NM_001360763, intron 2 of 13)	intron (NM_001360763, intron 2 of 13)	Clip3	3338	3338	-0.0305964025035316	0.887843236929197	no	NA
A_19538	chr7	30295066	30295566	-0.619010476949258	0.0518600610857303	intron (NM_001360763, intron 2 of 13)	intron (NM_001360763, intron 2 of 13)	Alkbh6	-13151	13151	-0.0117987166853079	0.951321391031876	no	NA
A_19768	chr7	45981600	45982100	-0.954964048835278	0.00369568575970815	intron (NM_018795, intron 26 of 30)	intron (NM_018795, intron 26 of 30)	Emp3	-60196	60196	-0.001244249741384	0.984229216084074	no	NA
A_19768	chr7	45981600	45982100	-0.954964048835278	0.00369568575970815	intron (NM_018795, intron 26 of 30)	intron (NM_018795, intron 26 of 30)	Nomo1	-51598	51598	-0.00787680269578897	0.980493776116045	no	NA
A_19797	chr7	47159074	47159574	-1.08239185743827	0.0055510848823096	Intergenic	Intergenic	Ptpn5	-25390	25390	0.0237896251692686	0.909212854541004	no	NA
A_19797	chr7	47159074	47159574	-1.08239185743827	0.0055510848823096	Intergenic	Intergenic	Mrgpra9	93274	93274	NA	NA	NA	NA
