ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
85214	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	57410	57499
85215	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	57267	57499	56985	57151	58563	59690
85216	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	57410	57499	55111	55701	58563	59690
85217	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	57410	57499	56985	57151	58563	59690
85218	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1011822	1011967	1011259	1011323	1012047	1012169
85219	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1011822	1012169	1011259	1011323	1014633	1014792
85220	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1013355	1013473	1012047	1012169	1014633	1014792
85221	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1014232	1014319	1013378	1013473	1014633	1015461
85222	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1014246	1014319	1012047	1012169	1014633	1015461
85223	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1016990	1017095	1016589	1016684	1017363	1017508
85224	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1016990	1017102	1016589	1016684	1017363	1017508
85225	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	910247	910364	900478	900613	910447	910586
85226	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	934607	934637	928236	928384	936875	936972
85227	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092160	169092199	169091285	169091433	169092526	169092591
85228	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092160	169092275	169091285	169091433	169092526	169092591
85229	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092160	169092332	169091285	169091433	169092526	169092591
85230	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092160	169092345	169091285	169091433	169092526	169092591
85231	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092199	169091285	169091433	169092526	169092591
85232	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092275	169091285	169091433	169092526	169092591
85233	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092332	169091285	169091433	169092526	169092591
85234	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092345	169091285	169091433	169092526	169092591
85235	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092925	169093032	169092526	169092689	169093216	169093263
85236	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092925	169093060	169092526	169092689	169093216	169093263
85237	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169093449	169093544	169093216	169093263	169094086	169094627
85238	"ENSMUSG00000035299.18"	"Mid1"	chrX	+	168767895	168768138	168766951	168767079	168768931	168769093
85239	"ENSMUSG00000035299.18"	"Mid1"	chrX	+	168767905	168768138	168766951	168767079	168768931	168769093
85240	"ENSMUSG00000087159.8"	"Gm15246"	chrX	+	168104750	168104829	168103617	168103640	168105745	168105838
85241	"ENSMUSG00000087159.8"	"Gm15246"	chrX	+	168113709	168113775	168105997	168106097	168143982	168144091
85242	"ENSMUSG00000087159.8"	"Gm15246"	chrX	+	168148976	168149077	168143982	168144095	168151110	168151186
85243	"ENSMUSG00000031352.11"	"Hccs"	chrX	-	168099541	168099659	168098597	168098717	168099991	168100143
85244	"ENSMUSG00000031352.11"	"Hccs"	chrX	-	168099541	168099672	168098597	168098717	168099991	168100143
85245	"ENSMUSG00000031355.17"	"Arhgap6"	chrX	+	168081423	168081465	168078037	168078127	168083058	168083333
85246	"ENSMUSG00000031355.17"	"Arhgap6"	chrX	+	168081442	168081465	168078037	168078127	168083058	168083333
85247	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166285338	166285437	166280808	166280945	166288441	166288561
85248	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166622940	166622982	166512014	166512131	166637831	166638073
85249	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166680537	166680634	166512014	166512131	166767156	166767296
85250	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166767156	166767296	166512014	166512131	166905781	166906326
85251	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166767156	166767296	166680537	166680634	166905781	166906326
85252	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	167308142	167308240	167230943	167231137	167308866	167308995
85253	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	167347261	167347436	167308866	167308995	167359951	167360227
85254	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165120567	165120608	165021967	165022132	165155633	165156283
85255	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165135604	165135667	165127837	165128077	165136560	165136680
85256	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165150023	165150174	165127687	165128077	165155633	165156283
85257	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165150023	165150174	165136560	165136680	165155633	165156283
85258	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165150023	165150286	165127687	165128077	165155633	165156283
85259	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165150023	165150286	165136560	165136680	165155633	165156283
85260	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165163242	165163304	165162983	165163155	165165444	165165518
85261	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165167146	165167214	165166930	165166996	165168386	165171984
85262	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165167146	165167353	165166930	165166996	165168386	165171984
85263	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165167288	165167353	165166930	165166996	165168386	165171984
85264	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165168555	165166930	165166996	165169947	165171984
85265	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165168706	165166930	165166996	165169947	165171984
85266	"ENSMUSG00000040621.15"	"Gemin8"	chrX	+	164963089	164963171	164961787	164961826	164963348	164963805
85267	"ENSMUSG00000061778.11"	"Mospd2"	chrX	-	163746922	163747055	163743913	163745202	163747977	163748133
85268	"ENSMUSG00000061778.11"	"Mospd2"	chrX	-	163746922	163747073	163743913	163745202	163747977	163748133
85269	"ENSMUSG00000031373.5"	"Car5b"	chrX	-	162780025	162780325	162774346	162774465	162783234	162783432
85270	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162722304	162722411	162718438	162719961	162723114	162723170
85271	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162728288	162728345	162726095	162726309	162732255	162732374
85272	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162738651	162738686	162737369	162737478	162739467	162739549
85273	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162740683	162740991	162739467	162739549	162741269	162741415
85274	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162740915	162740991	162739467	162739549	162741269	162741415
85275	"ENSMUSG00000031357.4"	"Syap1"	chrX	-	161647869	161647925	161646055	161646204	161655510	161655650
85276	"ENSMUSG00000031357.4"	"Syap1"	chrX	-	161649184	161649232	161646055	161646204	161655510	161655650
85277	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161544570	161544715	161544061	161544292	161551847	161551993
85278	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161547439	161547518	161544570	161544715	161551847	161551993
85279	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158915064	158915501	158913104	158913231	158916168	158916228
85280	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158915349	158915501	158915064	158915238	158916168	158916228
85281	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158919043	158919086	158916168	158916228	158921251	158921409
85282	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158920094	158920248	158916168	158916228	158921251	158921352
85283	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158466539	158466671	158410267	158410687	158547007	158547131
85284	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158466539	158466695	158410267	158410687	158547007	158547131
85285	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158550946	158550968	158547007	158547131	158586715	158586819
85286	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158607475	158607545	158600237	158600294	158611369	158611575
85287	"ENSMUSG00000044150.13"	"Bclaf3"	chrX	+	158349423	158349451	158342833	158342949	158350914	158351010
85288	"ENSMUSG00000044150.13"	"Bclaf3"	chrX	+	158374327	158374353	158357940	158358093	158375066	158376077
85289	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158198032	158198134	158197567	158197888	158226918	158226996
85290	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158198032	158198495	158197567	158197888	158226918	158226996
85291	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158231298	158231430	158229003	158229094	158242373	158242479
85292	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158233132	158233214	158229003	158229094	158242373	158242479
85293	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158243262	158243361	158242373	158242479	158252934	158253089
85294	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158245109	158245220	158242120	158242479	158252934	158253089
85295	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158245109	158245220	158243262	158243361	158252934	158253089
85296	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158274763	158274814	158273675	158273780	158275319	158275407
85297	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158274763	158274820	158273675	158273780	158275322	158275407
85298	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279030	158279076	158275893	158276080	158280579	158281753
85299	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279030	158279122	158275893	158276080	158280579	158281753
85300	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279919	158280008	158279030	158279305	158280579	158281753
85301	"ENSMUSG00000086188.3"	"Gm15169"	chrX	-	156570246	156570371	156542065	156542219	156580472	156581008
85302	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485447	156485616	156481905	156482309	156485951	156486008
85303	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485447	156485845	156481905	156482309	156485951	156486008
85304	"ENSMUSG00000055109.6"	"Gm15155"	chrX	+	154710602	154710672	154664230	154664348	154844704	154844795
85305	"ENSMUSG00000055109.6"	"Gm15155"	chrX	+	155062225	155062384	154844704	154844795	155126056	155126162
85306	"ENSMUSG00000055109.6"	"Gm15155"	chrX	+	155084163	155084205	155083911	155084067	155086178	155086287
85307	"ENSMUSG00000041552.8"	"Ptchd1"	chrX	-	154405028	154405480	154369803	154370027	154405955	154406175
85308	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151022631	151022748	151020628	151020706	151023021	151023192
85309	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036419	151036600	151031657	151031816	151036694	151036857
85310	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036422	151036600	151031657	151031816	151036694	151036857
85311	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036422	151036601	151031657	151031816	151036694	151036857
85312	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036422	151036857	151031657	151031816	151044932	151045052
85313	"ENSMUSG00000041115.19"	"Iqsec2"	chrX	+	150984993	150985117	150949929	150949959	150985903	150986165
85314	"ENSMUSG00000041133.12"	"Smc1a"	chrX	+	150829442	150829801	150824322	150824464	150829890	150830044
85315	"ENSMUSG00000131833.1"	"ENSMUSG00000131833"	chrX	+	150795803	150795918	150793324	150793425	150796997	150797303
85316	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150583802	150583942	150586171	150586345
85317	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150583802	150583942	150589267	150589403
85318	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150583802	150583942	150589271	150589403
85319	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150583802	150583942	150589715	150589856
85320	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586345	150583802	150584255	150589271	150589403
85321	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150583878	150583942	150589267	150589403
85322	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150583878	150583942	150589715	150589856
85323	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150584149	150584362	150589267	150589403
85324	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150584149	150584362	150589715	150589856
85325	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150587441	150587536	150586171	150586378	150589267	150589403
85326	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150587441	150587536	150586238	150586710	150589267	150589403
85327	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150589267	150589403	150583802	150584255	150589715	150589856
85328	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150589267	150589403	150586171	150586378	150589715	150589856
85329	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150589271	150589403	150583802	150584255	150589715	150589856
85330	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150619217	150619332	150618219	150618288	150623051	150623150
85331	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150642456	150642684	150640803	150640909	150643162	150643264
85332	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150645912	150645960	150645647	150645825	150646868	150646960
85333	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656741	150654475	150654652	150657528	150657774
85334	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656777	150654475	150654652	150657528	150657774
85335	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656808	150654475	150654652	150657528	150657774
85336	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150667039	150667136	150666074	150666305	150668577	150668700
85337	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150689045	150689359	150688351	150688427	150689946	150690080
85338	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150690274	150690440	150689946	150690080	150691723	150691952
85339	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150693572	150693704	150693096	150693251	150695204	150695250
85340	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150705691	150705885	150705327	150705460	150706474	150706729
85341	"ENSMUSG00000041229.16"	"Phf8"	chrX	+	150316323	150316399	150305383	150305572	150330390	150330476
85342	"ENSMUSG00000041229.16"	"Phf8"	chrX	+	150412523	150412568	150408187	150408297	150413145	150413482
85343	"ENSMUSG00000041245.15"	"Wnk3"	chrX	+	150085139	150085189	150084561	150084770	150092277	150092480
85344	"ENSMUSG00000025264.13"	"Tsr2"	chrX	-	149873591	149873738	149870090	149873410	149874671	149874763
85345	"ENSMUSG00000025264.13"	"Tsr2"	chrX	-	149873600	149873738	149870089	149873410	149874671	149874763
85346	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149595816	149596148	149595666	149595733	149596611	149596703
85347	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149595816	149596152	149595666	149595733	149596611	149596703
85348	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149596068	149596148	149595666	149595733	149596611	149596703
85349	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149596068	149596152	149595666	149595733	149596611	149596703
85350	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149194630	149194799	149192166	149192596	149203337	149203437
85351	"ENSMUSG00000031273.17"	"Col4a6"	chrX	-	140177187	140177308	140110397	140110481	140256557	140256609
85352	"ENSMUSG00000000266.12"	"Mid2"	chrX	+	139636872	139637082	139593815	139593911	139637183	139637291
85353	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139443594	139443855	139440285	139442905	139448944	139449278
85354	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139446512	139446673	139442853	139442905	139448944	139449278
85355	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139446512	139446673	139443851	139444160	139448944	139449278
85356	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139492962	139493040	139442853	139442905	139498876	139499307
85357	"ENSMUSG00000031432.4"	"Prps1"	chrX	+	139361130	139361232	139357361	139357612	139365979	139366191
85358	"ENSMUSG00000042425.19"	"Frmpd3"	chrX	+	139266477	139266539	139262893	139263048	139269567	139269613
85359	"ENSMUSG00000031434.16"	"Morc4"	chrX	-	138736180	138736236	138735158	138735331	138736684	138736852
85360	"ENSMUSG00000018595.7"	"Glra4"	chrX	-	135662639	135662747	135658422	135658735	135663467	135663617
85361	"ENSMUSG00000087368.9"	"BC065397"	chrX	+	135654738	135654896	135648071	135648197	135657242	135657369
85362	"ENSMUSG00000087368.9"	"BC065397"	chrX	+	135667937	135668115	135666368	135666513	135689269	135689423
85363	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135115872	135116172	135115527	135115752	135125650	135125721
85364	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135116151	135116172	135115527	135115752	135121881	135122040
85365	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135121881	135122040	135115527	135115752	135125650	135125721
85366	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135121881	135122040	135116151	135116172	135125650	135125721
85367	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115652	135115728	135114720	135115332	135116085	135116262
85368	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115668	135115728	135114761	135115332	135116085	135116262
85369	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115668	135115729	135114761	135115332	135116085	135116129
85370	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115694	135115728	135114761	135115332	135116085	135116262
85371	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740295	134739854	134740011	134740493	134740621
85372	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740295	134739854	134740011	134740531	134740621
85373	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740295	134739854	134740011	134741141	134741257
85374	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134739854	134740011	134740745	134740833
85375	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134739854	134740011	134741141	134741218
85376	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740493	134740621	134739804	134740295	134741141	134741183
85377	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740531	134740621	134739804	134740295	134741141	134741183
85378	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740550	134740621	134739854	134740011	134740745	134740833
85379	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740550	134740621	134739854	134740011	134741141	134741218
85380	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740745	134741230	134740493	134740621	134741367	134741439
85381	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741230	134740493	134740621	134741367	134741439
85382	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741286	134740493	134740621	134741367	134741439
85383	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741601	134741677	134741000	134741439	134741969	134742052
85384	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741601	134741716	134741000	134741439	134741969	134742052
85385	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741673	134741677	134741367	134741439	134741969	134742052
85386	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741673	134741716	134741367	134741439	134741969	134742052
85387	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698536	134698843	134698342	134698378	134741367	134741439
85388	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698771	134698843	134698342	134698378	134741367	134741439
85389	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134741141	134741218	134698342	134698378	134741367	134741439
85390	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134741141	134741230	134698342	134698378	134741367	134741439
85391	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134741141	134741257	134698342	134698378	134741367	134741439
85392	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134741141	134741286	134698342	134698378	134741367	134741439
85393	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134749430	134749488	134746603	134746702	134786097	134787675
85394	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134755310	134755417	134749426	134749488	134786097	134787675
85395	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134788516	134788572	134788009	134788066	134789120	134789228
85396	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134788516	134788601	134788009	134788066	134789120	134789228
85397	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644271	134643481	134643727	134644440	134644480
85398	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644480	134643481	134643727	134645247	134645324
85399	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644654	134643481	134643727	134645247	134645324
85400	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644311	134644480	134643481	134643727	134645247	134645324
85401	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644311	134644654	134643481	134643727	134645247	134645324
85402	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644440	134644480	134643483	134643727	134645247	134645324
85403	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644440	134644480	134644190	134644271	134645247	134645324
85404	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644440	134644654	134643483	134643727	134645247	134645324
85405	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644440	134644654	134644190	134644271	134645247	134645324
85406	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134645667	134645762	134645247	134645324	134649404	134649531
85407	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134651263	134651335	134649404	134649531	134652693	134652766
85408	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134651284	134651335	134649404	134649531	134652693	134652766
85409	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134653178	134653269	134652693	134652766	134679654	134681535
85410	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134662477	134662596	134652693	134652766	134679654	134681535
85411	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134662477	134662596	134652693	134652766	134696890	134697085
85412	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134693164	134693230	134652693	134652766	134696890	134697085
85413	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134652693	134652766	134697659	134697786
85414	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134652693	134652766	134698301	134698378
85415	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134652693	134652766	134698536	134698613
85416	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134652693	134652766	134698301	134698378
85417	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134652693	134652766	134698536	134698613
85418	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134696890	134697085	134698301	134698378
85419	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134696890	134697085	134698536	134698613
85420	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698390	134652693	134652766	134698536	134698613
85421	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698390	134696890	134697085	134698536	134698613
85422	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698390	134697697	134697786	134698536	134698613
