ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
9425	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55248	55187	55248	54720	54867
9426	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55701	55293	55701	54720	54867
9427	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	57267	57499	57410	57499	56985	57151
9428	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	59581	59667	59591	59667	58563	58835
9429	"ENSMUSG00000069049.12"	"Eif2s3y"	chrY	+	1016990	1017102	1016990	1017095	1017363	1017508
9430	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	897787	898115	897787	897899	898549	898627
9431	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	914024	914183	914024	914172	916640	916760
9432	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	916640	916760	916640	916710	916845	917605
9433	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	927212	927509	927212	927439	927602	927891
9434	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	940904	941042	940904	941035	941226	941823
9435	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	942823	942917	942823	942898	953149	953403
9436	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092170	169092591	169092526	169092591	169091285	169091433
9437	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169092925	169093032	169092967	169093032	169092526	169092591
9438	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169093216	169093544	169093429	169093544	169092967	169093032
9439	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092160	169092591	169092526	169092591	169091285	169091433
9440	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092925	169093032	169092967	169093032	169092526	169092689
9441	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092925	169093263	169093216	169093263	169092526	169092689
9442	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169092967	169093392	169093216	169093392	169092526	169092689
9443	"ENSMUSG00000121913.2"	"ENSMUSG00000121913"	chrX	-	169094063	169094319	169094086	169094319	169093216	169093263
9444	"ENSMUSG00000087159.8"	"Gm15246"	chrX	+	168103617	168103693	168103617	168103640	168104750	168104829
9445	"ENSMUSG00000087159.8"	"Gm15246"	chrX	+	168103617	168103693	168103617	168103640	168105745	168105838
9446	"ENSMUSG00000031352.11"	"Hccs"	chrX	-	168102778	168103276	168103110	168103276	168102433	168102586
9447	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166269788	166269930	166269791	166269930	166261459	166262518
9448	"ENSMUSG00000049176.17"	"Frmpd4"	chrX	-	166905781	166906326	166906243	166906326	166680537	166680634
9449	"ENSMUSG00000025742.6"	"Prps2"	chrX	-	166156989	166157182	166156998	166157182	166148114	166148213
9450	"ENSMUSG00000025742.6"	"Prps2"	chrX	-	166156989	166157182	166156998	166157182	166155404	166155578
9451	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165990671	165991047	165990932	165991047	165990287	165990531
9452	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165992003	165992145	165992008	165992145	165990932	165991047
9453	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165992003	165992145	165992102	165992145	165990932	165991047
9454	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165992008	165992145	165992102	165992145	165990932	165991047
9455	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165992008	165992311	165992101	165992311	165990932	165991047
9456	"ENSMUSG00000049775.17"	"Tmsb4x"	chrX	-	165992101	165992311	165992102	165992311	165990932	165991047
9457	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165150023	165150286	165150023	165150174	165155633	165156283
9458	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165158609	165158785	165158609	165158741	165162983	165163155
9459	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165162947	165163304	165162947	165163155	165165444	165165518
9460	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165166930	165167214	165166930	165166996	165168386	165171984
9461	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165166930	165167353	165166930	165166996	165168386	165171984
9462	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165166930	165167353	165166930	165167214	165168386	165171984
9463	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165168555	165168386	165168477	165169947	165171984
9464	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165168706	165168386	165168477	165169947	165171984
9465	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165168706	165168386	165168555	165169947	165171984
9466	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162722301	162722411	162722304	162722411	162718438	162719961
9467	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162723114	162723170	162723132	162723170	162722301	162722411
9468	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162740683	162740991	162740911	162740991	162739467	162739549
9469	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162740683	162740991	162740915	162740991	162739467	162739549
9470	"ENSMUSG00000031370.13"	"Zrsr2"	chrX	-	162740911	162740991	162740915	162740991	162739467	162739549
9471	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161543397	161543694	161543397	161543690	161544570	161544715
9472	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161543397	161543703	161543397	161543690	161544570	161544715
9473	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161543397	161543703	161543397	161543694	161544570	161544715
9474	"ENSMUSG00000031353.14"	"Rbbp7"	chrX	+	161544061	161544292	161544061	161544159	161544570	161544715
9475	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158921251	158921305	158921268	158921305	158916168	158916228
9476	"ENSMUSG00000031299.11"	"Pdha1"	chrX	-	158920882	158921352	158921251	158921352	158919892	158920248
9477	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158466539	158466695	158466539	158466671	158547007	158547131
9478	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158466539	158466697	158466539	158466671	158547007	158547131
9479	"ENSMUSG00000040990.18"	"Sh3kbp1"	chrX	+	158466539	158466697	158466539	158466695	158547007	158547131
9480	"ENSMUSG00000044150.13"	"Bclaf3"	chrX	+	158315663	158315831	158315663	158315812	158331234	158331311
9481	"ENSMUSG00000044150.13"	"Bclaf3"	chrX	+	158349423	158349538	158349423	158349451	158350914	158351010
9482	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158198032	158198495	158198032	158198134	158226918	158226996
9483	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158272272	158272507	158272272	158272495	158273675	158273780
9484	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158274763	158274820	158274763	158274814	158275319	158275407
9485	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158275874	158276080	158275874	158276075	158279030	158279305
9486	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279030	158279122	158279030	158279076	158280579	158281753
9487	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279030	158279305	158279030	158279076	158280579	158281753
9488	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158279030	158279305	158279030	158279122	158280579	158281753
9489	"ENSMUSG00000086188.3"	"Gm15169"	chrX	-	156541837	156542219	156542065	156542219	156540165	156541681
9490	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485447	156485616	156485447	156485571	156485951	156486008
9491	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485447	156485845	156485447	156485571	156485951	156486008
9492	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485447	156485845	156485447	156485616	156485951	156486008
9493	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485593	156485733	156485593	156485616	156485951	156486008
9494	"ENSMUSG00000041476.13"	"Smpx"	chrX	+	156485593	156485845	156485593	156485733	156485951	156486008
9495	"ENSMUSG00000055109.6"	"Gm15155"	chrX	+	155083911	155084205	155083911	155084067	155086178	155086287
9496	"ENSMUSG00000041552.8"	"Ptchd1"	chrX	-	154405028	154405480	154405315	154405480	154369803	154370027
9497	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151027868	151028327	151027868	151028279	151029250	151029747
9498	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151031630	151032110	151031630	151031816	151036419	151036601
9499	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151036419	151036601	151036419	151036600	151036694	151036857
9500	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151044950	151045353	151044950	151045352	151049552	151049734
9501	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151050890	151051006	151050890	151050996	151051760	151052119
9502	"ENSMUSG00000041115.19"	"Iqsec2"	chrX	+	150994205	150994367	150994205	150994361	150995017	150995140
9503	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583802	150583942	150583802	150583804	150584149	150585259
9504	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583878	150584255	150583878	150583942	150586171	150586345
9505	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584362	150584149	150584255	150586171	150586345
9506	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150586171	150586345	150586464	150586565
9507	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586171	150586378	150586171	150586249	150587441	150587536
9508	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586238	150586710	150586238	150586249	150587441	150587536
9509	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586238	150586710	150586238	150586378	150587441	150587536
9510	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586256	150586565	150586256	150586378	150587441	150587536
9511	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586256	150586710	150586256	150586565	150587441	150587536
9512	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586653	150586798	150586653	150586710	150587441	150587536
9513	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583878	150584255	150583878	150583942	150589267	150589403
9514	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586238	150586710	150586238	150586378	150589267	150589403
9515	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586342	150586565	150586342	150586378	150589267	150589403
9516	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586342	150586710	150586342	150586565	150589267	150589403
9517	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586657	150586798	150586657	150586710	150589267	150589403
9518	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583878	150584255	150583878	150583942	150589271	150589403
9519	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150583878	150584255	150583878	150583942	150589715	150589856
9520	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150586238	150586565	150586238	150586378	150589715	150589856
9521	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150619217	150619332	150619217	150619325	150623051	150623150
9522	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150633712	150633775	150633712	150633771	150635470	150636197
9523	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150645647	150645960	150645647	150645825	150646868	150646960
9524	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150647557	150647783	150647557	150647769	150653454	150653512
9525	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656777	150656672	150656741	150657528	150657774
9526	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656808	150656672	150656741	150657528	150657774
9527	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150656672	150656808	150656672	150656777	150657528	150657774
9528	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150659808	150659903	150659808	150659876	150661713	150661905
9529	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150659808	150659909	150659808	150659876	150661713	150661905
9530	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150659808	150659909	150659808	150659903	150661713	150661905
9531	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150664073	150664494	150664073	150664196	150665487	150665725
9532	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150699821	150700036	150699821	150699988	150700114	150700403
9533	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150699821	150700040	150699821	150699988	150700114	150700403
9534	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150699821	150700040	150699821	150700036	150700114	150700403
9535	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150700114	150700415	150700114	150700403	150700546	150700649
9536	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150705691	150705894	150705691	150705885	150706474	150706729
9537	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150706474	150706602	150706474	150706557	150707657	150707757
9538	"ENSMUSG00000041229.16"	"Phf8"	chrX	+	150303667	150304433	150303667	150304084	150305383	150305572
9539	"ENSMUSG00000041229.16"	"Phf8"	chrX	+	150304164	150304553	150304164	150304315	150305383	150305572
9540	"ENSMUSG00000041229.16"	"Phf8"	chrX	+	150353337	150353484	150353337	150353427	150355361	150355664
9541	"ENSMUSG00000041245.15"	"Wnk3"	chrX	+	150077417	150077554	150077417	150077548	150078359	150078970
9542	"ENSMUSG00000025265.15"	"Fgd1"	chrX	+	149862153	149862311	149862153	149862300	149862874	149862967
9543	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149595816	149596148	149596068	149596148	149595666	149595733
9544	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597027	149597265	149597066	149597265	149595666	149595733
9545	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597027	149597265	149597151	149597265	149595666	149595733
9546	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597027	149597265	149597224	149597265	149595666	149595733
9547	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597027	149597277	149597197	149597277	149595666	149595733
9548	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597066	149597265	149597151	149597265	149595666	149595733
9549	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597066	149597265	149597224	149597265	149595666	149595733
9550	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597066	149597277	149597197	149597277	149595666	149595733
9551	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597151	149597265	149597224	149597265	149595666	149595733
9552	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149597151	149597277	149597197	149597277	149595666	149595733
9553	"ENSMUSG00000038344.15"	"Txlng"	chrX	-	161612041	161612450	161612234	161612450	161594531	161594591
9554	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223671	149223785	149223758	149223785	149203337	149203437
9555	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223758	149223901	149223762	149223901	149203337	149203437
9556	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223758	149223901	149223882	149223901	149203337	149203437
9557	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223758	149224102	149223975	149224102	149203337	149203437
9558	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223758	149224102	149223978	149224102	149203337	149203437
9559	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223762	149223901	149223882	149223901	149203337	149203437
9560	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223882	149224102	149223975	149224102	149203337	149203437
9561	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223882	149224102	149223978	149224102	149203337	149203437
9562	"ENSMUSG00000041353.13"	"Vcf2"	chrX	-	149223975	149224102	149223978	149224102	149203337	149203437
9563	"ENSMUSG00000085139.2"	"Sertm2"	chrX	+	142936690	142936948	142936690	142936911	142937073	142937170
9564	"ENSMUSG00000031285.15"	"Dcx"	chrX	-	142713936	142714322	142714138	142714322	142706084	142706425
9565	"ENSMUSG00000031283.18"	"Chrdl1"	chrX	-	142086338	142086513	142086344	142086513	142082864	142083059
9566	"ENSMUSG00000031278.13"	"Acsl4"	chrX	-	141143378	141143432	141143382	141143432	141134374	141134904
9567	"ENSMUSG00000042271.14"	"Nxt2"	chrX	+	141011698	141012016	141011698	141011740	141012519	141012800
9568	"ENSMUSG00000031274.17"	"Col4a5"	chrX	+	140366182	140366224	140366182	140366223	140366388	140366481
9569	"ENSMUSG00000031274.17"	"Col4a5"	chrX	+	140415541	140415691	140415541	140415673	140418849	140418948
9570	"ENSMUSG00000031273.17"	"Col4a6"	chrX	-	139952388	139952746	139952554	139952746	139951589	139951876
9571	"ENSMUSG00000000266.12"	"Mid2"	chrX	+	139651570	139651804	139651570	139651714	139661933	139662095
9572	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139443005	139443417	139443259	139443417	139442853	139442905
9573	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139443005	139443417	139443331	139443417	139442853	139442905
9574	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139443259	139443417	139443331	139443417	139442853	139442905
9575	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139448944	139449278	139449087	139449278	139443851	139444160
9576	"ENSMUSG00000031432.4"	"Prps1"	chrX	+	139357361	139357612	139357361	139357477	139365979	139366191
9577	"ENSMUSG00000031432.4"	"Prps1"	chrX	+	139357361	139357730	139357361	139357477	139365979	139366191
9578	"ENSMUSG00000031432.4"	"Prps1"	chrX	+	139357361	139357730	139357361	139357612	139365979	139366191
9579	"ENSMUSG00000031432.4"	"Prps1"	chrX	+	139365979	139366163	139365979	139366038	139368420	139368519
9580	"ENSMUSG00000042425.19"	"Frmpd3"	chrX	+	139266477	139266580	139266477	139266539	139269567	139269613
9581	"ENSMUSG00000042425.19"	"Frmpd3"	chrX	+	139319742	139319887	139319742	139319883	139328341	139329163
9582	"ENSMUSG00000047230.7"	"Cldn2"	chrX	+	138701576	138701773	138701576	138701759	138709274	138712135
9583	"ENSMUSG00000042515.14"	"Pwwp3b"	chrX	+	138117914	138118058	138117914	138117963	138132034	138132163
9584	"ENSMUSG00000087368.9"	"BC065397"	chrX	+	135642635	135642699	135642635	135642674	135644151	135644421
9585	"ENSMUSG00000087368.9"	"BC065397"	chrX	+	135644148	135644209	135644148	135644151	135645241	135645457
9586	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135608841	135608730	135608837	135609531	135612227
9587	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135609038	135608730	135608837	135609531	135612227
