ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
8979	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55248	55293	55701	54720	54867	58563	59690
8980	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	55187	55248	55293	55701	54720	54867	58563	59690
8981	"ENSMUSG00000095041.8"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	57410	57499	55111	55701	58563	59690
8982	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169093216	169093263	169093429	169093544	169092967	169093032	169094086	169094179
8983	"ENSMUSG00000121929.1"	"ENSMUSG00000121929"	chrX	-	169093216	169093392	169093429	169093544	169092967	169093032	169094086	169094179
8984	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165167146	165167214	165167288	165167353	165166930	165166996	165168386	165171984
8985	"ENSMUSG00000031357.4"	"Syap1"	chrX	-	161647869	161647925	161649184	161649232	161646055	161646204	161655510	161655650
8986	"ENSMUSG00000041020.15"	"Map7d2"	chrX	+	158231298	158231430	158233132	158233214	158229003	158229094	158242373	158242479
8987	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150586171	150586378	150583878	150583942	150589267	150589403
8988	"ENSMUSG00000025261.19"	"Huwe1"	chrX	+	150584149	150584255	150586171	150586378	150583878	150583942	150589715	150589856
8989	"ENSMUSG00000031431.14"	"Tsc22d3"	chrX	-	139443594	139443855	139446512	139446673	139442853	139442905	139448944	139449278
8990	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135115872	135116172	135121881	135122040	135115527	135115752	135125650	135125721
8991	"ENSMUSG00000079428.9"	"Tceal7"	chrX	+	135116151	135116172	135121881	135122040	135115527	135115752	135125650	135125721
8992	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740295	134740550	134740621	134739854	134740011	134741141	134741257
8993	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134741141	134741218	134739854	134740011	134741367	134741439
8994	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134741141	134741230	134739854	134740011	134741367	134741439
8995	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134741141	134741286	134739854	134740011	134741367	134741439
8996	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740550	134740621	134741141	134741218	134739854	134740011	134741367	134741439
8997	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740550	134740621	134741141	134741230	134739854	134740011	134741367	134741439
8998	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740550	134740621	134741141	134741286	134739854	134740011	134741367	134741439
8999	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741601	134741673	134741673	134741677	134741367	134741439	134741969	134742052
9000	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741601	134741673	134741673	134741716	134741367	134741439	134741969	134742052
9001	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698536	134698843	134741141	134741218	134698342	134698378	134741367	134741439
9002	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698536	134698843	134741141	134741230	134698342	134698378	134741367	134741439
