PeakID (cmd=annotatePeaks.pl 20260526_sig_peak_file_for_homer.txt mm10 -annStats 20260526_annotation_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
A_9517	chr3	103801797	103802297	+	0	NA	3' UTR (NM_133865, exon 4 of 4)	3' UTR (NM_133865, exon 4 of 4)	-1082	NR_040412	100503157		NR_040412	ENSMUSG00000084997	Gm15471	-	predicted gene 15471	ncRNA
A_36211	chr14	18303143	18303643	+	0	NA	intron (NM_009455, intron 3 of 5)	intron (NM_009455, intron 3 of 5)	28451	NM_009455	22194		NM_009455	ENSMUSG00000021774	Ube2e1	UbcM3|Ubce5|ubcM2	ubiquitin-conjugating enzyme E2E 1	protein-coding
A_41497	chr16	86536441	86536941	+	0	NA	Intergenic	Intergenic	269822	NR_153789	102635020		NR_153789		Gm32461	-	predicted gene, 32461	ncRNA
A_7843	chr3	20893001	20893501	+	0	NA	Intergenic	Intergenic	-526074	NM_175086	11608		NM_175086	ENSMUSG00000054988	Agtr1b	AT1B|AT2R1B|Agtr-1b|Angtr-1b	angiotensin II receptor, type 1b	protein-coding
A_273	chr1	20845660	20846160	+	0	NA	Intergenic	Intergenic	-25598	NM_008563	17215		NM_008563	ENSMUSG00000041859	Mcm3	Mcmd|P1|P1-MCM3|p1.m	minichromosome maintenance complex component 3	protein-coding
A_20331	chr7	89151311	89151811	+	0	NA	intron (NM_028343, intron 10 of 14)	intron (NM_028343, intron 10 of 14)	187226	NM_028343	72759		NM_028343	ENSMUSG00000039428	Tmem135	2810439K08Rik|PMP52	transmembrane protein 135	protein-coding
A_19509	chr7	29381527	29382027	+	0	NA	intron (NM_001081028, intron 9 of 22)	intron (NM_001081028, intron 9 of 22)	73776	NM_001368371	29861		NM_013874	ENSMUSG00000030584	Dpf1	Neud4	double PHD fingers 1	protein-coding
A_40515	chr16	24483517	24484017	+	0	NA	intron (NM_001145952, intron 2 of 11)	intron (NM_001145952, intron 2 of 11)	35676	NM_001145952	210126		NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|B130055L10Rik|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
A_43527	chr18	14201991	14202491	+	0	NA	Intergenic	Intergenic	-30065	NR_045373	74529		NR_045373	ENSMUSG00000117633	8430422H06Rik	-	RIKEN cDNA 8430422H06 gene	ncRNA
A_33738	chr13	13573674	13574174	+	0	NA	Intergenic	Intergenic	-16485	NM_010748	17101		NM_010748	ENSMUSG00000019726	Lyst	D13Sfk13|beige|bg	lysosomal trafficking regulator	protein-coding
A_27827	chr10	86809962	86810462	+	0	NA	intron (NM_175331, intron 2 of 13)	intron (NM_175331, intron 2 of 13)	31207	NM_175331	103466		NM_175331	ENSMUSG00000054027	Nt5dc3	C630002B14Rik|TU12B1-TY	5'-nucleotidase domain containing 3	protein-coding
A_1308	chr1	68955346	68955846	+	0	NA	intron (NM_010154, intron 1 of 26)	intron (NM_010154, intron 1 of 26)	152463	NM_010154	13869		NM_010154	ENSMUSG00000062209	Erbb4	Her4|c-erbB-4	erb-b2 receptor tyrosine kinase 4	protein-coding
A_91	chr1	9859299	9859799	+	0	NA	intron (NM_001037759, intron 1 of 16)	intron (NM_001037759, intron 1 of 16)	11268	NM_001037759	170755		NM_133220	ENSMUSG00000025915	Sgk3	2510015P22Rik|A330005P07Rik|Cisk|fy|fz	serum/glucocorticoid regulated kinase 3	protein-coding
A_37489	chr14	78383191	78383691	+	0	NA	Intergenic	Intergenic	-51343	NR_168612	102632639		NR_168612		Gm30662	-	predicted gene, 30662	ncRNA
A_37360	chr14	73913793	73914293	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	361257	NM_001361638	20916		NM_011506	ENSMUSG00000022110	Sucla2	4930547K18Rik|A-SCS|SCS-betaA	succinate-Coenzyme A ligase, ADP-forming, beta subunit	protein-coding
A_11052	chr4	16281448	16281948	+	0	NA	Intergenic	Intergenic	117588	NR_045765	100415915		NR_045765	ENSMUSG00000085112	A530072M11Rik	-	RIKEN cDNA gene A530072M11	ncRNA
A_10885	chr4	9444326	9444826	+	0	NA	intron (NM_001355183, intron 5 of 5)	intron (NM_001355183, intron 5 of 5)	175259	NM_028940	74438		NM_028940	ENSMUSG00000041216	Clvs1	4933402J24Rik|Clvl1|Rlbp1l1	clavesin 1	protein-coding
A_8998	chr3	84252820	84253320	+	0	NA	intron (NM_001271726, intron 1 of 11)	intron (NM_001271726, intron 1 of 11)	6709	NM_001271727	80890		NM_030706	ENSMUSG00000027993	Trim2	mKIAA0517|narf	tripartite motif-containing 2	protein-coding
A_28965	chr11	8556899	8557399	+	0	NA	intron (NM_001083587, intron 4 of 30)	intron (NM_001083587, intron 4 of 30)	107386	NM_001083587	319939		NM_001083587	ENSMUSG00000020422	Tns3	F830010I22Rik|TEM6|Tens1	tensin 3	protein-coding
A_7323	chr2	166142685	166143185	+	0	NA	intron (NM_001355619, intron 1 of 21)	intron (NM_001355619, intron 1 of 21)	12350	NM_001252578	72043		NM_028072	ENSMUSG00000006800	Sulf2	2010004N24Rik|MSulf-2|mKIAA1247	sulfatase 2	protein-coding
A_44279	chr18	49166440	49166940	+	0	NA	Intergenic	Intergenic	-356599	NR_033785	67321		NR_033785	ENSMUSG00000100297	1700044K03Rik	-	RIKEN cDNA 1700044K03 gene	ncRNA
A_46733	chrX	77409291	77409791	+	0	NA	Intergenic	Intergenic	-101686	NM_020601	21372		NM_020601	ENSMUSG00000025246	Tbl1x	5330429M20|Tbl1	transducin (beta)-like 1 X-linked	protein-coding
