ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000056673.15"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760	2	38,67,51,70	43,32,40,30	50,27,53	37,28,39	2606	149	1	1.0	0.048,0.107,0.068,0.118	0.072,0.052,0.072	0.02
5	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	5	8001,12632,8489,10420	152,225,182,168	8931,10889,9053	162,160,174	1619	149	1	1.0	0.829,0.838,0.811,0.851	0.835,0.862,0.827	-0.009
6	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151027868	151028279	151027868	151027992	151028097	151028279	6	0,0,0,2	76,149,73,89	4,2,2	104,84,113	254	149	1	1.0	0.0,0.0,0.0,0.013	0.022,0.014,0.01	-0.012
7	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	7	13,14,18,14	124,200,107,151	25,30,42	185,138,250	475	149	1	1.0	0.032,0.021,0.05,0.028	0.041,0.064,0.05	-0.019
8	"ENSMUSG00000025268.16"	"Maged2"	chrX	-	149594818	149595310	149594818	149594944	149595151	149595310	8	331,494,257,258	0,0,1,1	522,471,427	1,1,1	356	149	1	1.0	1.0,1.0,0.991,0.991	0.995,0.995,0.994	0.001
9	"ENSMUSG00000038344.15"	"Txlng"	chrX	-	161569612	161570674	161569612	161569687	161570554	161570674	9	76,93,90,71	4,43,19,29	81,79,61	11,10,20	1016	149	1	1.0	0.736,0.241,0.41,0.264	0.519,0.537,0.309	-0.042
10	"ENSMUSG00000038344.15"	"Txlng"	chrX	-	161594287	161594591	161594287	161594384	161594531	161594591	10	64,130,70,113	0,5,7,2	96,61,83	10,3,6	296	149	1	1.0	1.0,0.929,0.834,0.966	0.829,0.911,0.874	0.061
12	"ENSMUSG00000087368.9"	"BC065397"	chrX	+	135644151	135644421	135644151	135644209	135644291	135644421	12	7,11,2,6	0,0,0,4	4,7,0	0,2,1	231	149	1	1.0	1.0,1.0,1.0,0.492	1.0,0.693,0.0	0.309
18	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619404	133619567	18	17,23,21,12	0,0,4,0	4,9,2	0,0,1	343	149	1	1.0	1.0,1.0,0.695,1.0	1.0,1.0,0.465	0.102
19	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567	19	24,24,23,17	85,149,80,54	4,9,5	99,95,84	413	149	1	1.0	0.092,0.055,0.094,0.102	0.014,0.033,0.021	0.063
20	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	20	100,133,108,123	89,143,79,88	32,108,59	102,75,82	957	149	1	1.0	0.149,0.126,0.175,0.179	0.047,0.183,0.101	0.047
21	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	21	236,415,276,332	14,13,11,19	125,209,173	8,14,17	3377	149	0.61224039038	1.0	0.427,0.585,0.525,0.435	0.408,0.397,0.31	0.121
22	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	22	264,470,307,378	6,13,3,7	151,236,203	5,11,9	3455	149	0.240417893116	1.0	0.655,0.609,0.815,0.7	0.566,0.481,0.493	0.181
23	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104086209	104086910	104086209	104086423	104086735	104086910	23	14,40,19,21	4,0,0,1	20,3,10	1,0,0	461	149	1	1.0	0.531,1.0,1.0,0.872	0.866,1.0,1.0	-0.105
24	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104086209	104087717	104086209	104086423	104087607	104087717	24	53,83,62,68	0,0,0,0	46,36,36	0,0,1	1333	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.801	0.066
25	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104086209	104087717	104086209	104086910	104087607	104087717	25	38,39,41,45	17,9,5,3	23,32,23	17,5,3	846	149	0.972822684372	1.0	0.282,0.433,0.591,0.725	0.192,0.53,0.575	0.075
28	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104110364	104112234	104110364	104110483	104112069	104112234	28	17,27,9,8	55,85,51,96	8,10,9	29,61,40	1735	149	1	1.0	0.026,0.027,0.015,0.007	0.023,0.014,0.019	0.0
30	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104110364	104112234	104110364	104110483	104112176	104112234	30	49,60,39,37	2,2,0,0	25,34,29	2,0,0	1842	149	1	1.0	0.665,0.708,1.0,1.0	0.503,1.0,1.0	0.009
31	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104112069	104112752	104112069	104112234	104112719	104112752	31	30,11,16,2	7,1,7,0	9,18,7	0,1,0	634	149	0.00219466231146	0.40771948719568	0.502,0.721,0.349,1.0	1.0,0.809,1.0	-0.293
32	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104113216	104113720	104113216	104113281	104113605	104113720	32	2,2,4,7	15,34,16,32	0,6,7	13,17,16	473	149	1	1.0	0.04,0.018,0.073,0.064	0.0,0.1,0.121	-0.025
33	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104113216	104113720	104113216	104113281	104113610	104113720	33	3,2,4,7	0,0,1,0	0,6,7	0,0,0	478	149	1	1.0	1.0,1.0,0.555,1.0	NA,1.0,1.0	-0.111
35	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104113216	104113720	104113216	104113281	104113670	104113720	35	3,4,6,12	4,1,2,5	2,7,7	0,2,0	538	149	0.00176449616655	0.3512187607704286	0.172,0.526,0.454,0.399	1.0,0.492,1.0	-0.443
36	"ENSMUSG00000087174.10"	"5530601H04Rik"	chrX	-	104118623	104119465	104118623	104118939	104119291	104119465	36	0,11,13,11	1,1,0,0	5,4,1	0,1,1	501	149	1	1.0	0.0,0.766,1.0,1.0	1.0,0.543,0.229	0.101
39	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102613173	102616167	102613173	102614481	102616105	102616167	39	806,1584,992,1288	18,20,17,14	802,963,719	19,18,13	1773	149	1	1.0	0.79,0.869,0.831,0.885	0.78,0.818,0.823	0.037
40	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102624118	102625621	102624118	102624227	102625507	102625621	40	133,321,170,243	0,1,2,0	205,203,99	0,3,4	1429	149	1	1.0	1.0,0.971,0.899,1.0	1.0,0.876,0.721	0.102
42	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102649577	102650632	102649577	102649988	102650529	102650632	42	0,1,6,0	7,24,14,21	9,4,0	33,14,19	690	149	1	1.0	0.0,0.009,0.085,0.0	0.056,0.058,0.0	-0.014
47	"ENSMUSG00000031311.18"	"Nono"	chrX	+	100488293	100488940	100488293	100488396	100488900	100488940	47	62,28,17,55	327,537,281,378	37,30,35	382,392,395	653	149	1	1.0	0.041,0.012,0.014,0.032	0.022,0.017,0.02	0.005
48	"ENSMUSG00000031310.17"	"Zmym3"	chrX	-	100459366	100460067	100459366	100459544	100459772	100460067	48	20,28,9,7	148,214,159,151	10,8,15	205,181,178	377	149	1	1.0	0.051,0.049,0.022,0.018	0.019,0.017,0.032	0.012
49	"ENSMUSG00000079487.12"	"Med12"	chrX	+	100337563	100337781	100337563	100337618	100337693	100337781	49	47,144,76,95	6,10,11,19	92,65,87	6,5,6	224	149	1	1.0	0.839,0.905,0.821,0.769	0.911,0.896,0.906	-0.071
50	"ENSMUSG00000000881.13"	"Dlg3"	chrX	+	99816428	99817015	99816428	99816565	99816870	99817015	50	9,7,11,2	206,323,195,213	5,13,5	227,289,260	454	149	1	1.0	0.014,0.007,0.018,0.003	0.007,0.015,0.006	0.001
51	"ENSMUSG00000060890.12"	"Arr3"	chrX	+	99655353	99655717	99655353	99655553	99655657	99655717	51	0,3,1,0	0,3,0,0	3,1,0	4,1,4	253	149	1	1.0	NA,0.371,1.0,NA	0.306,0.371,0.0	0.46
52	"ENSMUSG00000060890.12"	"Arr3"	chrX	+	99657736	99658345	99657736	99657809	99658207	99658345	52	4,5,3,1	0,1,0,0	0,4,4	0,0,5	547	149	1	1.0	1.0,0.577,1.0,1.0	NA,1.0,0.179	0.305
57	"ENSMUSG00000057421.13"	"Las1l"	chrX	-	94991375	94994052	94991375	94991461	94993942	94994052	57	111,185,191,180	104,209,104,118	69,64,32	81,155,143	2630	149	1	1.0	0.057,0.048,0.094,0.08	0.046,0.023,0.013	0.042
58	"ENSMUSG00000057421.13"	"Las1l"	chrX	-	94996827	94998817	94996827	94996909	94998747	94998817	58	46,52,98,97	95,175,108,106	58,48,16	118,94,122	1987	149	1	1.0	0.035,0.022,0.064,0.064	0.036,0.037,0.01	0.019
59	"ENSMUSG00000131339.1"	"ENSMUSG00000131339"	chrX	-	92324928	92325835	92324928	92325400	92325761	92325835	59	3,0,2,0	0,0,0,0	0,0,0	0,8,0	510	149	1	1.0	1.0,NA,1.0,NA	NA,0.0,NA	1.0
65	"ENSMUSG00000087396.10"	"4933407K13Rik"	chrX	-	74770552	74771124	74770552	74770813	74771063	74771124	65	10,8,23,40	0,0,1,0	7,34,20	0,0,0	399	149	1	1.0	1.0,1.0,0.896,1.0	1.0,1.0,1.0	-0.026
68	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73377351	73377954	73377351	73377452	73377830	73377954	68	17,32,38,20	22,35,37,26	2,13,22	37,10,14	527	149	1	1.0	0.179,0.205,0.225,0.179	0.015,0.269,0.308	-0.0
69	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73378648	73379104	73378648	73378763	73378903	73379104	69	31,33,36,35	5,17,11,19	18,14,7	32,22,11	289	149	0.000334704295681	0.10110303575742859	0.762,0.5,0.628,0.487	0.225,0.247,0.247	0.355
70	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73379375	73379797	73379375	73379472	73379606	73379797	70	7,20,6,1	19,42,31,33	4,4,9	42,19,37	283	149	1	1.0	0.162,0.2,0.092,0.016	0.048,0.1,0.114	0.03
71	"ENSMUSG00000001962.9"	"Fam50a"	chrX	+	73358469	73359178	73358469	73358569	73359032	73359178	71	37,53,27,36	78,92,70,41	12,44,18	88,72,72	612	149	1	1.0	0.104,0.123,0.086,0.176	0.032,0.13,0.057	0.049
72	"ENSMUSG00000001962.9"	"Fam50a"	chrX	+	73362420	73362704	73362420	73362475	73362655	73362704	72	50,38,48,25	92,156,86,104	36,29,15	104,116,73	329	149	1	1.0	0.198,0.099,0.202,0.098	0.136,0.102,0.085	0.042
73	"ENSMUSG00000015291.11"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867	73	325,484,312,389	1649,2297,1509,1622	312,298,286	1842,1825,1749	408	149	1	1.0	0.067,0.071,0.07,0.081	0.058,0.056,0.056	0.016
74	"ENSMUSG00000015291.11"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740	74	191,268,204,190	1757,2257,1446,1700	145,111,137	1780,1881,1932	936	149	1	1.0	0.017,0.019,0.022,0.017	0.013,0.009,0.011	0.008
