ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
13675	"ENSG00000306402.1"	"ENSG00000306402"	chrKI270742.1	-	20628	21018	20628	20675	20897	21018
13676	"ENSG00000306402.1"	"ENSG00000306402"	chrKI270742.1	-	29036	29282	29036	29135	29237	29282
13677	"ENSG00000306402.1"	"ENSG00000306402"	chrKI270742.1	-	34539	35028	34539	34817	34894	35028
13678	"ENSG00000296618.1"	"ENSG00000296618"	chrGL000219.1	-	97297	97621	97297	97363	97492	97621
13679	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	18511	19683	18511	18685	19564	19683
13680	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	49960	50396	49960	50132	50310	50396
13681	"ENSG00000185973.12"	"TMLHE"	chrX	-	155511672	155511983	155511672	155511792	155511885	155511983
13682	"ENSG00000288258.1"	"ENSG00000288258"	chrX	-	155065037	155065519	155065037	155065399	155065485	155065519
13683	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507231	154507490	154507231	154507329	154507405	154507490
13684	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507885	154507405	154507490	154507810	154507885
13685	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508288	154508665	154508288	154508347	154508473	154508665
13686	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516158	154515759	154515812	154515910	154516158
13687	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516158	154515759	154515812	154516004	154516158
13688	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463390	154463672	154463390	154463519	154463589	154463672
13689	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463411	154463690	154463411	154463508	154463589	154463690
13690	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463950	154464253	154463950	154464074	154464156	154464253
13691	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464448	154464794	154464448	154464501	154464675	154464794
13692	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464448	154464794	154464448	154464501	154464738	154464794
13693	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464401	154464794	154464401	154464501	154464753	154464794
13694	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464738	154465218	154464738	154464794	154465017	154465218
13695	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464738	154465218	154464738	154464868	154465017	154465218
13696	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154465746	154466080	154465746	154465847	154465934	154466080
13697	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466162	154466512	154466162	154466270	154466375	154466512
13698	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466358	154466765	154466358	154466512	154466622	154466765
13699	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466676	154467150	154466676	154466793	154467056	154467150
