ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
13728	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	52410	53024	52410	52615	52683	53024
13729	"ENSG00000293919.1"	"ENSG00000293919"	chrKI270706.1	+	44121	44720	44121	44347	44425	44720
13730	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	18511	19683	18511	18685	19564	19683
13731	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	49960	50396	49960	50132	50310	50396
13732	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065162	155065532	155065162	155065399	155065485	155065532
13733	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562638	154562953
13734	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507885	154507405	154507490	154507810	154507885
13735	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516158	154515759	154515812	154515910	154516158
13736	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516158	154515759	154515812	154516004	154516158
13737	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463917	154464313	154463917	154464074	154464156	154464313
13738	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464184	154464501	154464184	154464313	154464401	154464501
13739	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154464799	154465218	154464799	154464868	154465017	154465218
13740	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154465635	154466080	154465635	154465847	154465934	154466080
13741	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154465934	154466255	154465934	154466080	154466149	154466255
13742	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154465934	154466255	154465934	154466080	154466162	154466255
13743	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466162	154466512	154466162	154466255	154466375	154466512
13744	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466162	154466512	154466162	154466270	154466375	154466512
13745	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466358	154466765	154466358	154466512	154466622	154466765
13746	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154466676	154467150	154466676	154466793	154467056	154467150
13747	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154467056	154467265	154467056	154467150	154467231	154467265
13748	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468302	154468738	154468302	154468559	154468636	154468738
13749	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468302	154468738	154468302	154468559	154468662	154468738
13750	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468636	154468869	154468636	154468729	154468822	154468869
13751	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468636	154468969	154468636	154468738	154468822	154468969
13752	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154469416	154469784	154469416	154469482	154469687	154469784
13753	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154469776	154470167	154469776	154469784	154469976	154470167
13754	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154470846	154471317	154470846	154471009	154471104	154471317
13755	"ENSG00000203879.12"	"GDI1"	chrX	+	154438215	154438564	154438215	154438386	154438522	154438564
13756	"ENSG00000203879.12"	"GDI1"	chrX	+	154438463	154438864	154438463	154438630	154438764	154438864
13757	"ENSG00000203879.12"	"GDI1"	chrX	+	154439709	154440073	154439709	154439797	154439940	154440073
13758	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154440424	154439940	154440139	154440374	154440424
13759	"ENSG00000203879.12"	"GDI1"	chrX	+	154439992	154440506	154439992	154440073	154440374	154440506
13760	"ENSG00000203879.12"	"GDI1"	chrX	+	154441622	154442098	154441622	154441794	154442070	154442098
13761	"ENSG00000203879.12"	"GDI1"	chrX	+	154442070	154442428	154442070	154442255	154442373	154442428
13762	"ENSG00000203879.12"	"GDI1"	chrX	+	154442342	154442728	154442342	154442428	154442519	154442728
13763	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154431642	154431904	154431642	154431657	154431829	154431904
13764	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154434207	154435186	154434207	154434294	154435138	154435186
13765	"ENSG00000169057.26"	"MECP2"	chrX	-	154031203	154031450	154031203	154031286	154031395	154031450
13766	"ENSG00000184216.15"	"IRAK1"	chrX	-	154012528	154013433	154012528	154012678	154012983	154013433
13767	"ENSG00000184216.15"	"IRAK1"	chrX	-	154018290	154018754	154018290	154018355	154018598	154018754
13768	"ENSG00000184216.15"	"IRAK1"	chrX	-	154018598	154019069	154018598	154018787	154018974	154019069
13769	"ENSG00000184216.15"	"IRAK1"	chrX	-	154018974	154019298	154018974	154019078	154019196	154019298
13770	"ENSG00000172534.14"	"HCFC1"	chrX	-	153956280	153956763	153956280	153956411	153956624	153956763
13771	"ENSG00000102030.16"	"NAA10"	chrX	-	153931953	153932141	153931953	153931981	153932070	153932141
13772	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930846	153932070	153932431
13773	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930923	153932070	153932431
13774	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930966	153932070	153932431
13775	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930846	153932315	153932431
13776	"ENSG00000102030.16"	"NAA10"	chrX	-	153932066	153932431	153932066	153932141	153932315	153932431
13777	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932326	153932431
13778	"ENSG00000102030.16"	"NAA10"	chrX	-	153932326	153932584	153932326	153932431	153932538	153932584
13779	"ENSG00000067829.20"	"IDH3G"	chrX	-	153785765	153786272	153785765	153785946	153786211	153786272
13780	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786819	153787153	153786819	153786947	153787050	153787153
13781	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786819	153787153	153786819	153786970	153787050	153787153
13782	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787949	153787463	153787597	153787822	153787949
13783	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790887	153790563	153790575	153790809	153790887
13784	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153768968	153769262	153768968	153769076	153769161	153769262
13785	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153772927	153773406	153772927	153772955	153773229	153773406
